
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
32.3576,,Surface,2,Image 1,1,0,
26.6439,,Surface,2,Image 1,1,1,
24.5208,,Surface,2,Image 1,1,2,
28.7375,,Surface,2,Image 1,1,3,
22.2932,,Surface,2,Image 1,1,4,
32.8175,,Surface,2,Image 1,1,5,
27.5545,,Surface,2,Image 1,1,6,
21.2526,,Surface,2,Image 1,1,7,
25.876,,Surface,2,Image 1,1,8,
27.7582,,Surface,2,Image 1,1,9,
34.7053,,Surface,2,Image 1,1,10,
20.7883,,Surface,2,Image 1,1,12,
24.8356,,Surface,2,Image 1,1,13,
26.1438,,Surface,2,Image 1,1,14,
20.9994,,Surface,2,Image 1,1,15,
30.89,,Surface,2,Image 1,1,16,
31.3349,,Surface,2,Image 1,1,17,
36.8657,,Surface,2,Image 1,1,18,
42.0645,,Surface,2,Image 1,1,19,
22.4999,,Surface,2,Image 1,1,20,
30.3269,,Surface,2,Image 1,1,21,
22.8188,,Surface,2,Image 1,1,22,
27.1734,,Surface,2,Image 1,1,23,
19.8887,,Surface,2,Image 1,1,26,
25.3818,,Surface,2,Image 1,1,28,
22.631,,Surface,2,Image 1,1,29,
31.4568,,Surface,2,Image 1,1,30,
30.8389,,Surface,2,Image 1,1,31,
23.2552,,Surface,2,Image 1,1,32,
34.193,,Surface,2,Image 1,1,33,
32.4014,,Surface,2,Image 1,1,34,
29.4753,,Surface,2,Image 1,1,35,
28.0662,,Surface,2,Image 1,1,37,
26.7586,,Surface,2,Image 1,1,38,
22.2895,,Surface,2,Image 1,1,39,
26.0735,,Surface,2,Image 1,1,40,
32.8927,,Surface,2,Image 1,1,41,
22.6766,,Surface,2,Image 1,1,42,
23.2111,,Surface,2,Image 1,1,43,
28.1104,,Surface,2,Image 1,1,44,
21.2182,,Surface,2,Image 1,1,45,
24.3607,,Surface,2,Image 1,1,46,
23.6579,,Surface,2,Image 1,1,47,
21.2409,,Surface,2,Image 1,1,48,
21.4003,,Surface,2,Image 1,1,49,
21.7437,,Surface,2,Image 1,1,51,
25.3069,,Surface,2,Image 1,1,52,
22.4396,,Surface,2,Image 1,1,53,
29.9452,,Surface,2,Image 1,1,55,
24.0915,,Surface,2,Image 1,1,56,
27.2581,,Surface,2,Image 1,1,57,
22.8428,,Surface,2,Image 1,1,58,
24.8918,,Surface,2,Image 1,1,59,
21.1634,,Surface,2,Image 1,1,60,
21.6148,,Surface,2,Image 1,1,61,
23.7898,,Surface,2,Image 1,1,62,
26.0325,,Surface,2,Image 1,1,63,
17.5,,Surface,2,Image 1,1,65,
17.24,,Surface,2,Image 1,1,66,
18.443,,Surface,2,Image 1,1,69,
18.686,,Surface,2,Image 1,1,70,
6,,Surface,2,Image 1,1,71,
6,,Surface,2,Image 1,1,72,
22.106,,Surface,2,Image 1,1,73,
18.5866,,Surface,2,Image 1,1,74,
23.5,,Surface,2,Image 1,1,75,
22.0149,,Surface,2,Image 1,1,76,
11,,Surface,2,Image 1,1,77,
43.4601,,Surface,2,Image 1,1,78,
60,,Surface,2,Image 1,1,79,
29.0981,,Surface,2,Image 1,1,80,
72,,Surface,2,Image 1,1,81,
38,,Surface,2,Image 1,1,82,
97,,Surface,2,Image 1,1,83,
78.3333,,Surface,2,Image 1,1,84,
120,,Surface,2,Image 1,1,85,
26,,Surface,2,Image 1,1,86,
30,,Surface,2,Image 1,1,87,
28.75,,Surface,2,Image 1,1,88,
20.194,,Surface,2,Image 1,1,90,
26,,Surface,2,Image 1,1,92,
17.8333,,Surface,2,Image 1,1,93,
22.1644,,Surface,2,Image 1,1,94,
14,,Surface,2,Image 1,1,95,
13,,Surface,2,Image 1,1,96,
29,,Surface,2,Image 1,1,97,
13,,Surface,2,Image 1,1,98,
15,,Surface,2,Image 1,1,99,
18.0225,,Surface,2,Image 1,1,103,
7,,Surface,2,Image 1,1,105,
