
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
75,,Surface,2,Image 1,1,0,
192,,Surface,2,Image 1,1,1,
60,,Surface,2,Image 1,1,2,
58,,Surface,2,Image 1,1,3,
65,,Surface,2,Image 1,1,4,
58,,Surface,2,Image 1,1,5,
59,,Surface,2,Image 1,1,6,
59,,Surface,2,Image 1,1,7,
100,,Surface,2,Image 1,1,8,
65,,Surface,2,Image 1,1,9,
60,,Surface,2,Image 1,1,10,
71,,Surface,2,Image 1,1,11,
117,,Surface,2,Image 1,1,12,
123,,Surface,2,Image 1,1,13,
64,,Surface,2,Image 1,1,14,
104,,Surface,2,Image 1,1,15,
138,,Surface,2,Image 1,1,16,
134,,Surface,2,Image 1,1,17,
64,,Surface,2,Image 1,1,18,
74,,Surface,2,Image 1,1,19,
61,,Surface,2,Image 1,1,20,
94,,Surface,2,Image 1,1,21,
88,,Surface,2,Image 1,1,22,
96,,Surface,2,Image 1,1,23,
86,,Surface,2,Image 1,1,24,
90,,Surface,2,Image 1,1,25,
66,,Surface,2,Image 1,1,26,
64,,Surface,2,Image 1,1,27,
110,,Surface,2,Image 1,1,28,
83,,Surface,2,Image 1,1,29,
129,,Surface,2,Image 1,1,30,
182,,Surface,2,Image 1,1,31,
102,,Surface,2,Image 1,1,32,
149,,Surface,2,Image 1,1,33,
111,,Surface,2,Image 1,1,34,
62,,Surface,2,Image 1,1,35,
114,,Surface,2,Image 1,1,36,
66,,Surface,2,Image 1,1,37,
60,,Surface,2,Image 1,1,38,
160,,Surface,2,Image 1,1,39,
69,,Surface,2,Image 1,1,40,
61,,Surface,2,Image 1,1,41,
76,,Surface,2,Image 1,1,42,
60,,Surface,2,Image 1,1,43,
64,,Surface,2,Image 1,1,44,
99,,Surface,2,Image 1,1,45,
67,,Surface,2,Image 1,1,46,
77,,Surface,2,Image 1,1,47,
152,,Surface,2,Image 1,1,48,
163,,Surface,2,Image 1,1,49,
121,,Surface,2,Image 1,1,50,
154,,Surface,2,Image 1,1,51,
83,,Surface,2,Image 1,1,52,
73,,Surface,2,Image 1,1,53,
73,,Surface,2,Image 1,1,54,
72,,Surface,2,Image 1,1,55,
58,,Surface,2,Image 1,1,56,
