
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
203,,Surface,5,Image 1,1,0,
142,,Surface,5,Image 1,1,1,
144,,Surface,5,Image 1,1,2,
164,,Surface,5,Image 1,1,3,
180,,Surface,5,Image 1,1,4,
230,,Surface,5,Image 1,1,5,
187,,Surface,5,Image 1,1,6,
207,,Surface,5,Image 1,1,7,
202,,Surface,5,Image 1,1,8,
187,,Surface,5,Image 1,1,9,
247,,Surface,5,Image 1,1,10,
253,,Surface,5,Image 1,1,11,
255,,Surface,5,Image 1,1,12,
184,,Surface,5,Image 1,1,13,
134,,Surface,5,Image 1,1,14,
208,,Surface,5,Image 1,1,15,
159,,Surface,5,Image 1,1,16,
155,,Surface,5,Image 1,1,17,
235,,Surface,5,Image 1,1,18,
184,,Surface,5,Image 1,1,19,
144,,Surface,5,Image 1,1,20,
206,,Surface,5,Image 1,1,21,
210,,Surface,5,Image 1,1,22,
182,,Surface,5,Image 1,1,23,
189,,Surface,5,Image 1,1,24,
227,,Surface,5,Image 1,1,25,
196,,Surface,5,Image 1,1,26,
195,,Surface,5,Image 1,1,27,
152,,Surface,5,Image 1,1,28,
193,,Surface,5,Image 1,1,29,
136,,Surface,5,Image 1,1,30,
201,,Surface,5,Image 1,1,31,
141,,Surface,5,Image 1,1,32,
194,,Surface,5,Image 1,1,33,
211,,Surface,5,Image 1,1,34,
254,,Surface,5,Image 1,1,35,
206,,Surface,5,Image 1,1,36,
182,,Surface,5,Image 1,1,37,
254,,Surface,5,Image 1,1,38,
217,,Surface,5,Image 1,1,39,
184,,Surface,5,Image 1,1,40,
178,,Surface,5,Image 1,1,41,
215,,Surface,5,Image 1,1,42,
150,,Surface,5,Image 1,1,43,
181,,Surface,5,Image 1,1,44,
184,,Surface,5,Image 1,1,45,
208,,Surface,5,Image 1,1,46,
252,,Surface,5,Image 1,1,47,
255,,Surface,5,Image 1,1,48,
167,,Surface,5,Image 1,1,49,
192,,Surface,5,Image 1,1,50,
232,,Surface,5,Image 1,1,51,
217,,Surface,5,Image 1,1,52,
228,,Surface,5,Image 1,1,53,
186,,Surface,5,Image 1,1,54,
199,,Surface,5,Image 1,1,55,
188,,Surface,5,Image 1,1,56,
217,,Surface,5,Image 1,1,57,
161,,Surface,5,Image 1,1,58,
237,,Surface,5,Image 1,1,59,
233,,Surface,5,Image 1,1,60,
254,,Surface,5,Image 1,1,61,
218,,Surface,5,Image 1,1,62,
248,,Surface,5,Image 1,1,63,
244,,Surface,5,Image 1,1,64,
228,,Surface,5,Image 1,1,65,
255,,Surface,5,Image 1,1,66,
202,,Surface,5,Image 1,1,67,
208,,Surface,5,Image 1,1,68,
139,,Surface,5,Image 1,1,69,
197,,Surface,5,Image 1,1,70,
248,,Surface,5,Image 1,1,71,
221,,Surface,5,Image 1,1,72,
232,,Surface,5,Image 1,1,73,
222,,Surface,5,Image 1,1,74,
208,,Surface,5,Image 1,1,75,
144,,Surface,5,Image 1,1,76,
208,,Surface,5,Image 1,1,77,
217,,Surface,5,Image 1,1,78,
255,,Surface,5,Image 1,1,79,
139,,Surface,5,Image 1,1,80,
161,,Surface,5,Image 1,1,81,
146,,Surface,5,Image 1,1,82,
185,,Surface,5,Image 1,1,83,
182,,Surface,5,Image 1,1,84,
141,,Surface,5,Image 1,1,85,
213,,Surface,5,Image 1,1,86,
247,,Surface,5,Image 1,1,87,
246,,Surface,5,Image 1,1,88,
203,,Surface,5,Image 1,1,89,
225,,Surface,5,Image 1,1,90,
222,,Surface,5,Image 1,1,91,
196,,Surface,5,Image 1,1,92,
228,,Surface,5,Image 1,1,93,
216,,Surface,5,Image 1,1,94,
250,,Surface,5,Image 1,1,95,
231,,Surface,5,Image 1,1,96,
246,,Surface,5,Image 1,1,97,
181,,Surface,5,Image 1,1,98,
237,,Surface,5,Image 1,1,99,
217,,Surface,5,Image 1,1,100,
240,,Surface,5,Image 1,1,101,
213,,Surface,5,Image 1,1,102,
207,,Surface,5,Image 1,1,103,
206,,Surface,5,Image 1,1,104,
211,,Surface,5,Image 1,1,105,
142,,Surface,5,Image 1,1,106,
138,,Surface,5,Image 1,1,107,
205,,Surface,5,Image 1,1,108,
138,,Surface,5,Image 1,1,109,
242,,Surface,5,Image 1,1,110,
175,,Surface,5,Image 1,1,111,
223,,Surface,5,Image 1,1,112,
222,,Surface,5,Image 1,1,113,
155,,Surface,5,Image 1,1,114,
192,,Surface,5,Image 1,1,115,
169,,Surface,5,Image 1,1,116,
168,,Surface,5,Image 1,1,117,
228,,Surface,5,Image 1,1,118,
209,,Surface,5,Image 1,1,119,
164,,Surface,5,Image 1,1,120,
232,,Surface,5,Image 1,1,121,
192,,Surface,5,Image 1,1,122,
225,,Surface,5,Image 1,1,123,
203,,Surface,5,Image 1,1,124,
163,,Surface,5,Image 1,1,125,
151,,Surface,5,Image 1,1,126,
226,,Surface,5,Image 1,1,127,
236,,Surface,5,Image 1,1,128,
136,,Surface,5,Image 1,1,129,
222,,Surface,5,Image 1,1,130,
238,,Surface,5,Image 1,1,131,
219,,Surface,5,Image 1,1,132,
203,,Surface,5,Image 1,1,133,
193,,Surface,5,Image 1,1,134,
203,,Surface,5,Image 1,1,135,
197,,Surface,5,Image 1,1,136,
210,,Surface,5,Image 1,1,137,
170,,Surface,5,Image 1,1,138,
149,,Surface,5,Image 1,1,139,
181,,Surface,5,Image 1,1,140,
240,,Surface,5,Image 1,1,141,
132,,Surface,5,Image 1,1,142,
224,,Surface,5,Image 1,1,143,
239,,Surface,5,Image 1,1,144,
192,,Surface,5,Image 1,1,145,
199,,Surface,5,Image 1,1,146,
186,,Surface,5,Image 1,1,147,
214,,Surface,5,Image 1,1,148,
204,,Surface,5,Image 1,1,149,
210,,Surface,5,Image 1,1,150,
205,,Surface,5,Image 1,1,151,
191,,Surface,5,Image 1,1,152,
225,,Surface,5,Image 1,1,153,
151,,Surface,5,Image 1,1,154,
215,,Surface,5,Image 1,1,155,
211,,Surface,5,Image 1,1,156,
199,,Surface,5,Image 1,1,157,
176,,Surface,5,Image 1,1,158,
248,,Surface,5,Image 1,1,159,
155,,Surface,5,Image 1,1,160,
178,,Surface,5,Image 1,1,161,
151,,Surface,5,Image 1,1,162,
232,,Surface,5,Image 1,1,163,
216,,Surface,5,Image 1,1,164,
191,,Surface,5,Image 1,1,165,
212,,Surface,5,Image 1,1,166,
233,,Surface,5,Image 1,1,167,
200,,Surface,5,Image 1,1,168,
225,,Surface,5,Image 1,1,169,
191,,Surface,5,Image 1,1,170,
245,,Surface,5,Image 1,1,171,
212,,Surface,5,Image 1,1,172,
242,,Surface,5,Image 1,1,173,
217,,Surface,5,Image 1,1,174,
181,,Surface,5,Image 1,1,175,
178,,Surface,5,Image 1,1,176,
142,,Surface,5,Image 1,1,177,
132,,Surface,5,Image 1,1,178,
239,,Surface,5,Image 1,1,179,
136,,Surface,5,Image 1,1,180,
178,,Surface,5,Image 1,1,181,
255,,Surface,5,Image 1,1,182,
213,,Surface,5,Image 1,1,183,
230,,Surface,5,Image 1,1,184,
208,,Surface,5,Image 1,1,185,
186,,Surface,5,Image 1,1,186,
210,,Surface,5,Image 1,1,187,
242,,Surface,5,Image 1,1,188,
144,,Surface,5,Image 1,1,189,
188,,Surface,5,Image 1,1,190,
152,,Surface,5,Image 1,1,191,
216,,Surface,5,Image 1,1,192,
223,,Surface,5,Image 1,1,193,
214,,Surface,5,Image 1,1,194,
178,,Surface,5,Image 1,1,195,
217,,Surface,5,Image 1,1,196,
156,,Surface,5,Image 1,1,197,
141,,Surface,5,Image 1,1,198,
241,,Surface,5,Image 1,1,199,
254,,Surface,5,Image 1,1,200,
240,,Surface,5,Image 1,1,201,
191,,Surface,5,Image 1,1,202,
221,,Surface,5,Image 1,1,203,
255,,Surface,5,Image 1,1,204,
188,,Surface,5,Image 1,1,205,
249,,Surface,5,Image 1,1,206,
167,,Surface,5,Image 1,1,207,
211,,Surface,5,Image 1,1,208,
175,,Surface,5,Image 1,1,209,
135,,Surface,5,Image 1,1,210,
236,,Surface,5,Image 1,1,211,
145,,Surface,5,Image 1,1,212,
218,,Surface,5,Image 1,1,213,
233,,Surface,5,Image 1,1,214,
253,,Surface,5,Image 1,1,215,
209,,Surface,5,Image 1,1,216,
190,,Surface,5,Image 1,1,217,
195,,Surface,5,Image 1,1,218,
254,,Surface,5,Image 1,1,219,
232,,Surface,5,Image 1,1,220,
200,,Surface,5,Image 1,1,221,
223,,Surface,5,Image 1,1,222,
195,,Surface,5,Image 1,1,223,
248,,Surface,5,Image 1,1,224,
253,,Surface,5,Image 1,1,225,
176,,Surface,5,Image 1,1,226,
243,,Surface,5,Image 1,1,227,
177,,Surface,5,Image 1,1,228,
170,,Surface,5,Image 1,1,229,
215,,Surface,5,Image 1,1,230,
139,,Surface,5,Image 1,1,231,
194,,Surface,5,Image 1,1,232,
150,,Surface,5,Image 1,1,233,
188,,Surface,5,Image 1,1,234,
190,,Surface,5,Image 1,1,235,
179,,Surface,5,Image 1,1,236,
180,,Surface,5,Image 1,1,237,
137,,Surface,5,Image 1,1,238,
151,,Surface,5,Image 1,1,239,
239,,Surface,5,Image 1,1,240,
174,,Surface,5,Image 1,1,241,
211,,Surface,5,Image 1,1,242,
220,,Surface,5,Image 1,1,243,
232,,Surface,5,Image 1,1,244,
232,,Surface,5,Image 1,1,245,
171,,Surface,5,Image 1,1,246,
223,,Surface,5,Image 1,1,247,
212,,Surface,5,Image 1,1,248,
191,,Surface,5,Image 1,1,249,
209,,Surface,5,Image 1,1,250,
152,,Surface,5,Image 1,1,251,
242,,Surface,5,Image 1,1,252,
248,,Surface,5,Image 1,1,253,
231,,Surface,5,Image 1,1,254,
188,,Surface,5,Image 1,1,255,
188,,Surface,5,Image 1,1,256,
211,,Surface,5,Image 1,1,257,
153,,Surface,5,Image 1,1,258,
174,,Surface,5,Image 1,1,259,
140,,Surface,5,Image 1,1,260,
166,,Surface,5,Image 1,1,261,
164,,Surface,5,Image 1,1,262,
145,,Surface,5,Image 1,1,263,
228,,Surface,5,Image 1,1,264,
208,,Surface,5,Image 1,1,265,
232,,Surface,5,Image 1,1,266,
251,,Surface,5,Image 1,1,267,
