
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
172.478,110.441,-34.1878,um,Surface,Position,1,0,
163.388,127.57,-41.9215,um,Surface,Position,1,1,
151.499,125.773,-35.0879,um,Surface,Position,1,2,
179.749,122.884,-38.1197,um,Surface,Position,1,3,
123.387,147.24,-45.2446,um,Surface,Position,1,4,
155.849,151.048,-45.3795,um,Surface,Position,1,5,
149.21,147.558,-44.1294,um,Surface,Position,1,6,
148.717,151.08,-43.5316,um,Surface,Position,1,7,
166.245,77.2729,-45.6377,um,Surface,Position,1,8,
164.363,93.6834,-44.2864,um,Surface,Position,1,9,
155.11,86.4143,-42.4417,um,Surface,Position,1,10,
164.711,87.7161,-41.0582,um,Surface,Position,1,11,
169.182,93.6485,-37.6922,um,Surface,Position,1,12,
178.066,85.7516,-44.7784,um,Surface,Position,1,13,
172.051,82.5004,-44.0655,um,Surface,Position,1,14,
174.472,90.6465,-40.8046,um,Surface,Position,1,15,
169.241,109.681,-38.89,um,Surface,Position,1,16,
169.736,99.3418,-38.7732,um,Surface,Position,1,17,
181.639,111.182,-44.8572,um,Surface,Position,1,18,
179.73,119.466,-45.8466,um,Surface,Position,1,19,
173.878,103.217,-42.6905,um,Surface,Position,1,20,
172.406,120.735,-43.3518,um,Surface,Position,1,21,
177.676,107.796,-41.7462,um,Surface,Position,1,22,
178.793,117.295,-34.7004,um,Surface,Position,1,23,
123.988,104.002,-55.0049,um,Surface,Position,1,24,
126.279,107.027,-52.4812,um,Surface,Position,1,25,
168.45,102.312,-53.521,um,Surface,Position,1,26,
173.483,108.833,-56.111,um,Surface,Position,1,27,
171.484,120.627,-55.7837,um,Surface,Position,1,28,
170.321,113.271,-55.2463,um,Surface,Position,1,29,
179.225,120.523,-54.0173,um,Surface,Position,1,30,
182,107.148,-54.1214,um,Surface,Position,1,31,
176.558,103.775,-52.2332,um,Surface,Position,1,32,
178.533,112.598,-52.7204,um,Surface,Position,1,33,
171.987,97.8256,-50.3326,um,Surface,Position,1,34,
174.74,117.341,-51.0762,um,Surface,Position,1,35,
178.564,97.671,-46.8385,um,Surface,Position,1,36,
173.167,110.823,-47.6265,um,Surface,Position,1,37,
180.829,104.043,-47.1141,um,Surface,Position,1,38,
133.484,138.116,-52.905,um,Surface,Position,1,39,
134.293,142.365,-47.3239,um,Surface,Position,1,40,
166.86,132.101,-55.1704,um,Surface,Position,1,41,
