
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
12.3909,,Surface,2,Image 1,1,0,
11.3796,,Surface,2,Image 1,1,1,
12.8884,,Surface,2,Image 1,1,2,
13.5943,,Surface,2,Image 1,1,3,
13.3568,,Surface,2,Image 1,1,4,
13.9086,,Surface,2,Image 1,1,5,
12.215,,Surface,2,Image 1,1,6,
14.7518,,Surface,2,Image 1,1,7,
11.0818,,Surface,2,Image 1,1,8,
11.9114,,Surface,2,Image 1,1,9,
14.0838,,Surface,2,Image 1,1,10,
14.1511,,Surface,2,Image 1,1,11,
13.1828,,Surface,2,Image 1,1,12,
20.1041,,Surface,2,Image 1,1,13,
14.4161,,Surface,2,Image 1,1,14,
15.7856,,Surface,2,Image 1,1,15,
12.2938,,Surface,2,Image 1,1,16,
12.7901,,Surface,2,Image 1,1,17,
18.4464,,Surface,2,Image 1,1,18,
19.713,,Surface,2,Image 1,1,19,
14.0116,,Surface,2,Image 1,1,20,
11.2471,,Surface,2,Image 1,1,21,
14.0138,,Surface,2,Image 1,1,22,
11.7753,,Surface,2,Image 1,1,23,
13.2663,,Surface,2,Image 1,1,24,
11.9233,,Surface,2,Image 1,1,25,
13.0716,,Surface,2,Image 1,1,26,
11.9686,,Surface,2,Image 1,1,27,
13.3202,,Surface,2,Image 1,1,28,
14.4887,,Surface,2,Image 1,1,29,
19.4061,,Surface,2,Image 1,1,30,
13.9804,,Surface,2,Image 1,1,31,
14.0222,,Surface,2,Image 1,1,32,
13.7337,,Surface,2,Image 1,1,33,
13.8059,,Surface,2,Image 1,1,34,
20.4955,,Surface,2,Image 1,1,35,
13.5192,,Surface,2,Image 1,1,36,
12.7828,,Surface,2,Image 1,1,37,
14.6619,,Surface,2,Image 1,1,38,
11.897,,Surface,2,Image 1,1,39,
11.2975,,Surface,2,Image 1,1,40,
11.2785,,Surface,2,Image 1,1,41,
15.3944,,Surface,2,Image 1,1,42,
11.7574,,Surface,2,Image 1,1,43,
11.5883,,Surface,2,Image 1,1,44,
11.7604,,Surface,2,Image 1,1,45,
13.7194,,Surface,2,Image 1,1,46,
17.9542,,Surface,2,Image 1,1,47,
11.1833,,Surface,2,Image 1,1,48,
12.249,,Surface,2,Image 1,1,49,
14.7715,,Surface,2,Image 1,1,50,
16.2549,,Surface,2,Image 1,1,51,
18.7753,,Surface,2,Image 1,1,52,
17.8162,,Surface,2,Image 1,1,53,
13.1796,,Surface,2,Image 1,1,54,
13.0039,,Surface,2,Image 1,1,55,
18.5508,,Surface,2,Image 1,1,56,
14.7711,,Surface,2,Image 1,1,57,
17.2756,,Surface,2,Image 1,1,58,
13.8752,,Surface,2,Image 1,1,59,
14.0739,,Surface,2,Image 1,1,60,
17.3446,,Surface,2,Image 1,1,61,
12.8288,,Surface,2,Image 1,1,62,
14.0443,,Surface,2,Image 1,1,63,
25.7273,,Surface,2,Image 1,1,64,
24.3346,,Surface,2,Image 1,1,65,
25.0328,,Surface,2,Image 1,1,66,
29.1849,,Surface,2,Image 1,1,67,
13.4609,,Surface,2,Image 1,1,68,
26.0581,,Surface,2,Image 1,1,69,
24.8176,,Surface,2,Image 1,1,70,
11.5235,,Surface,2,Image 1,1,71,
12.4406,,Surface,2,Image 1,1,72,
13.5208,,Surface,2,Image 1,1,73,
12.0933,,Surface,2,Image 1,1,74,
16.8055,,Surface,2,Image 1,1,75,
19.939,,Surface,2,Image 1,1,76,
12.4832,,Surface,2,Image 1,1,77,
21.1485,,Surface,2,Image 1,1,78,
14.937,,Surface,2,Image 1,1,79,
12.3174,,Surface,2,Image 1,1,80,
15.4239,,Surface,2,Image 1,1,81,
13.6851,,Surface,2,Image 1,1,82,
11.2754,,Surface,2,Image 1,1,83,
14.4964,,Surface,2,Image 1,1,84,
12.1611,,Surface,2,Image 1,1,85,
16.8928,,Surface,2,Image 1,1,86,
12.3162,,Surface,2,Image 1,1,87,
11.1274,,Surface,2,Image 1,1,88,
21.179,,Surface,2,Image 1,1,89,
17.8676,,Surface,2,Image 1,1,90,
18.9567,,Surface,2,Image 1,1,91,
24.3128,,Surface,2,Image 1,1,92,
23.0415,,Surface,2,Image 1,1,93,
13.0751,,Surface,2,Image 1,1,94,
11.194,,Surface,2,Image 1,1,95,
19.3256,,Surface,2,Image 1,1,96,
13.7564,,Surface,2,Image 1,1,97,
14.3865,,Surface,2,Image 1,1,98,
13.3673,,Surface,2,Image 1,1,99,
26.344,,Surface,2,Image 1,1,100,
24.1533,,Surface,2,Image 1,1,101,
11.0023,,Surface,2,Image 1,1,102,
16.2039,,Surface,2,Image 1,1,103,
11.6947,,Surface,2,Image 1,1,104,
17.6202,,Surface,2,Image 1,1,105,
11.0649,,Surface,2,Image 1,1,106,
11.5808,,Surface,2,Image 1,1,107,
11.0111,,Surface,2,Image 1,1,108,
12.2353,,Surface,2,Image 1,1,109,
17.3414,,Surface,2,Image 1,1,110,
15.2123,,Surface,2,Image 1,1,111,
11.693,,Surface,2,Image 1,1,112,
31.1929,,Surface,2,Image 1,1,113,
30.0542,,Surface,2,Image 1,1,114,
26.092,,Surface,2,Image 1,1,115,
24.7666,,Surface,2,Image 1,1,116,
24.1983,,Surface,2,Image 1,1,117,
24.02,,Surface,2,Image 1,1,118,
