
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
20.3578,,Surface,5,Image 1,1,0,
32.2315,,Surface,5,Image 1,1,1,
30.041,,Surface,5,Image 1,1,2,
24.2199,,Surface,5,Image 1,1,3,
19.7911,,Surface,5,Image 1,1,4,
28.418,,Surface,5,Image 1,1,5,
27.9368,,Surface,5,Image 1,1,6,
25.9326,,Surface,5,Image 1,1,7,
21.2514,,Surface,5,Image 1,1,8,
29.3116,,Surface,5,Image 1,1,9,
22.2594,,Surface,5,Image 1,1,10,
21.6946,,Surface,5,Image 1,1,11,
23.0129,,Surface,5,Image 1,1,12,
25.5746,,Surface,5,Image 1,1,13,
23.6533,,Surface,5,Image 1,1,14,
21.5071,,Surface,5,Image 1,1,15,
25.7878,,Surface,5,Image 1,1,16,
29.2153,,Surface,5,Image 1,1,17,
28.8271,,Surface,5,Image 1,1,18,
30.5873,,Surface,5,Image 1,1,19,
31.2854,,Surface,5,Image 1,1,20,
34.9109,,Surface,5,Image 1,1,21,
29.6412,,Surface,5,Image 1,1,22,
25.8831,,Surface,5,Image 1,1,23,
35.5091,,Surface,5,Image 1,1,24,
34.8335,,Surface,5,Image 1,1,25,
40.5899,,Surface,5,Image 1,1,26,
40.2016,,Surface,5,Image 1,1,27,
36.0671,,Surface,5,Image 1,1,28,
37.2463,,Surface,5,Image 1,1,29,
32.7032,,Surface,5,Image 1,1,30,
19.7039,,Surface,5,Image 1,1,31,
32.1214,,Surface,5,Image 1,1,32,
33.9837,,Surface,5,Image 1,1,33,
31.528,,Surface,5,Image 1,1,34,
39.6081,,Surface,5,Image 1,1,35,
22.0971,,Surface,5,Image 1,1,36,
34.437,,Surface,5,Image 1,1,37,
27.2379,,Surface,5,Image 1,1,38,
20.7945,,Surface,5,Image 1,1,39,
28.1767,,Surface,5,Image 1,1,40,
30.8393,,Surface,5,Image 1,1,41,
35.8606,,Surface,5,Image 1,1,42,
45.1262,,Surface,5,Image 1,1,43,
23.2609,,Surface,5,Image 1,1,44,
25.9903,,Surface,5,Image 1,1,45,
24.0672,,Surface,5,Image 1,1,46,
28.9286,,Surface,5,Image 1,1,47,
25.2333,,Surface,5,Image 1,1,48,
37.8106,,Surface,5,Image 1,1,49,
33.1498,,Surface,5,Image 1,1,50,
28.2521,,Surface,5,Image 1,1,51,
42.5388,,Surface,5,Image 1,1,52,
31.3858,,Surface,5,Image 1,1,53,
44.4395,,Surface,5,Image 1,1,54,
31.2489,,Surface,5,Image 1,1,55,
36.8202,,Surface,5,Image 1,1,56,
34.365,,Surface,5,Image 1,1,57,
24.255,,Surface,5,Image 1,1,58,
31.1524,,Surface,5,Image 1,1,59,
23.8658,,Surface,5,Image 1,1,60,
41.6112,,Surface,5,Image 1,1,61,
37.4341,,Surface,5,Image 1,1,62,
23.9834,,Surface,5,Image 1,1,63,
25.0085,,Surface,5,Image 1,1,64,
19.9767,,Surface,5,Image 1,1,65,
21.2291,,Surface,5,Image 1,1,66,
21.309,,Surface,5,Image 1,1,67,
27.6506,,Surface,5,Image 1,1,68,
21.5006,,Surface,5,Image 1,1,69,
27.1443,,Surface,5,Image 1,1,70,
22.4882,,Surface,5,Image 1,1,71,
26.2131,,Surface,5,Image 1,1,72,
31.3813,,Surface,5,Image 1,1,73,
20.1228,,Surface,5,Image 1,1,74,
20.3825,,Surface,5,Image 1,1,75,
26.8912,,Surface,5,Image 1,1,76,
25.0623,,Surface,5,Image 1,1,77,
22.4767,,Surface,5,Image 1,1,78,
25.9792,,Surface,5,Image 1,1,79,
22.3811,,Surface,5,Image 1,1,80,
28.9111,,Surface,5,Image 1,1,81,
22.5085,,Surface,5,Image 1,1,82,
29.0934,,Surface,5,Image 1,1,83,
40.0388,,Surface,5,Image 1,1,84,
29.0422,,Surface,5,Image 1,1,85,
39.7527,,Surface,5,Image 1,1,86,
24.2741,,Surface,5,Image 1,1,87,
22.2119,,Surface,5,Image 1,1,88,
36.7079,,Surface,5,Image 1,1,89,
29.8663,,Surface,5,Image 1,1,90,
33.8197,,Surface,5,Image 1,1,91,
39.3456,,Surface,5,Image 1,1,92,
40.6001,,Surface,5,Image 1,1,93,
39.6198,,Surface,5,Image 1,1,94,
29.1203,,Surface,5,Image 1,1,95,
31.4867,,Surface,5,Image 1,1,96,
29.9548,,Surface,5,Image 1,1,97,
42.9661,,Surface,5,Image 1,1,98,
26.5904,,Surface,5,Image 1,1,99,
32.7586,,Surface,5,Image 1,1,100,
24.8312,,Surface,5,Image 1,1,101,
47.0805,,Surface,5,Image 1,1,102,
20.6138,,Surface,5,Image 1,1,103,
33.7685,,Surface,5,Image 1,1,104,
30.9604,,Surface,5,Image 1,1,105,
33.9727,,Surface,5,Image 1,1,106,
35.0641,,Surface,5,Image 1,1,107,
20.3006,,Surface,5,Image 1,1,108,
21.5347,,Surface,5,Image 1,1,109,
52.0165,,Surface,5,Image 1,1,110,
35.241,,Surface,5,Image 1,1,111,
25.5235,,Surface,5,Image 1,1,112,
27.5179,,Surface,5,Image 1,1,113,
21.4673,,Surface,5,Image 1,1,114,
21.4653,,Surface,5,Image 1,1,115,
21.3299,,Surface,5,Image 1,1,116,
23.5066,,Surface,5,Image 1,1,117,
23.5999,,Surface,5,Image 1,1,118,
