
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
43.4846,116.939,9.07209,um,Surface,Position,1,0,
20.1425,63.4176,9.39442,um,Surface,Position,1,1,
22.365,101.394,8.96531,um,Surface,Position,1,2,
29.0872,100.094,12.4218,um,Surface,Position,1,3,
25.801,94.7183,12.9824,um,Surface,Position,1,4,
31.0202,105.75,13.1772,um,Surface,Position,1,5,
37.7334,108.206,8.69291,um,Surface,Position,1,6,
45.2443,110.162,9.09718,um,Surface,Position,1,7,
41.2934,112.751,15.0147,um,Surface,Position,1,8,
51.9807,111.923,11.1985,um,Surface,Position,1,9,
55.0881,107.959,15.5287,um,Surface,Position,1,10,
11.0541,96.7826,-4.12127,um,Surface,Position,1,11,
17.1715,95.4186,-2.45657,um,Surface,Position,1,12,
18.5558,97.8912,6.36727,um,Surface,Position,1,13,
32.7293,98.8179,-4.99681,um,Surface,Position,1,14,
27.0362,100.355,-0.697949,um,Surface,Position,1,15,
28.7821,93.647,2.07696,um,Surface,Position,1,16,
56.7611,98.9962,-1.57922,um,Surface,Position,1,17,
60.7574,101.762,2.18653,um,Surface,Position,1,18,
86.2387,98.6665,-0.838381,um,Surface,Position,1,19,
80.5444,97.4155,-2.51938,um,Surface,Position,1,20,
82.1085,102.251,-0.168514,um,Surface,Position,1,21,
17.5421,106.274,0.437685,um,Surface,Position,1,22,
22.6152,107.487,2.36446,um,Surface,Position,1,23,
22.5739,104.195,3.85629,um,Surface,Position,1,24,
29.4444,112.714,-5.97128,um,Surface,Position,1,25,
38.0193,115.226,1.58349,um,Surface,Position,1,26,
42.2681,112.855,-4.43101,um,Surface,Position,1,27,
50.9114,103.895,2.24745,um,Surface,Position,1,28,
48.8319,110.068,5.13476,um,Surface,Position,1,29,
41.7212,124.465,-5.11646,um,Surface,Position,1,30,
43.0629,121.01,1.56039,um,Surface,Position,1,31,
49.9997,119.98,-0.500895,um,Surface,Position,1,32,
50.4382,116.564,0.918149,um,Surface,Position,1,33,
48.6167,125.363,1.50081,um,Surface,Position,1,34,
58.1857,129.502,-3.5672,um,Surface,Position,1,35,
11.9227,56.6659,2.31439,um,Surface,Position,1,36,
10.9628,62.6788,4.91052,um,Surface,Position,1,37,
50.5664,70.3788,-3.67751,um,Surface,Position,1,38,
28.9348,79.8396,4.07508,um,Surface,Position,1,39,
33.1161,81.7899,8.6984,um,Surface,Position,1,40,
63.149,92.575,-6.18714,um,Surface,Position,1,41,
59.1068,91.345,0.307614,um,Surface,Position,1,42,
69.7575,87.1575,-3.94814,um,Surface,Position,1,43,
85.8224,104.116,-4.64121,um,Surface,Position,1,44,
34.6443,117.333,-15.8529,um,Surface,Position,1,45,
28.0643,117.079,-9.76617,um,Surface,Position,1,46,
35.8722,121.431,-6.30915,um,Surface,Position,1,47,
46.9616,114.994,-10.1411,um,Surface,Position,1,48,
58.0394,116.985,-7.24284,um,Surface,Position,1,49,
52.1577,68.1002,-11.6206,um,Surface,Position,1,50,
0.680984,73.9732,-5.7273,um,Surface,Position,1,52,
54.3431,81.0817,-15.5178,um,Surface,Position,1,53,
48.4658,75.9362,-16.5074,um,Surface,Position,1,54,
49.8522,81.222,-14.6447,um,Surface,Position,1,55,
61.6782,75.9872,-11.8232,um,Surface,Position,1,56,
107.567,91.106,-9.52126,um,Surface,Position,1,57,
14.7332,97.3932,-14.4219,um,Surface,Position,1,58,
18.0666,102.819,-5.88534,um,Surface,Position,1,59,
51.7084,99.9489,-9.90105,um,Surface,Position,1,60,
64.7691,96.3462,-15.9492,um,Surface,Position,1,61,
58.4245,92.53,-6.35577,um,Surface,Position,1,62,
69.4878,95.9567,-5.66013,um,Surface,Position,1,63,
100.043,100.953,-12.7017,um,Surface,Position,1,64,
95.4944,102.666,-7.44485,um,Surface,Position,1,65,
108.047,97.55,-16.9787,um,Surface,Position,1,66,
18.009,108.981,-12.6092,um,Surface,Position,1,67,
44.8684,104.453,-13.2585,um,Surface,Position,1,68,
46.7329,111.525,-5.91774,um,Surface,Position,1,69,
53.8327,112.777,-14.6788,um,Surface,Position,1,70,
52.5269,108.25,-13.1047,um,Surface,Position,1,71,
60.5813,109.87,-11.1369,um,Surface,Position,1,72,
74.8114,105.426,-13.3811,um,Surface,Position,1,73,
79.056,108.428,-6.41139,um,Surface,Position,1,74,
74.9689,31.3391,-11.3871,um,Surface,Position,1,75,
57.787,57.8418,-20.1035,um,Surface,Position,1,80,
17.0797,106.278,-29.8008,um,Surface,Position,1,83,
22.4488,111.984,-24.5801,um,Surface,Position,1,84,
15.3759,104.826,-23.7799,um,Surface,Position,1,85,
31.6123,110.387,-21.5474,um,Surface,Position,1,86,
35.558,111.385,-18.7077,um,Surface,Position,1,87,
40.7627,112.099,-26.8018,um,Surface,Position,1,88,
41.8638,111.328,-22.1906,um,Surface,Position,1,89,
44.1945,119.241,-24.0836,um,Surface,Position,1,90,
44.7637,116.622,-20.5704,um,Surface,Position,1,91,
55.2769,115.56,-24.6058,um,Surface,Position,1,92,
52.8784,63.3447,-20.986,um,Surface,Position,1,93,
68.3499,63.1169,-28.0129,um,Surface,Position,1,94,
54.0366,79.7665,-28.7128,um,Surface,Position,1,95,
57.7953,77.0754,-26.9943,um,Surface,Position,1,96,
12.5119,102.824,-22.9756,um,Surface,Position,1,97,
8.11951,97.0418,-21.6329,um,Surface,Position,1,98,
16.6417,100.109,-24.8661,um,Surface,Position,1,99,
62.0721,95.0599,-24.4343,um,Surface,Position,1,100,
77.1698,102.428,-22.0583,um,Surface,Position,1,101,
72.9595,99.8209,-18.5304,um,Surface,Position,1,102,
49.1638,53.5571,-21.9721,um,Surface,Position,1,108,
57.3203,84.1506,-33.2913,um,Surface,Position,1,111,
14.5442,98.4296,-36.3076,um,Surface,Position,1,112,
