
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
9.54486,,Surface,5,Image 1,1,0,
11.1302,,Surface,5,Image 1,1,1,
16.2652,,Surface,5,Image 1,1,2,
15.5829,,Surface,5,Image 1,1,3,
12.0276,,Surface,5,Image 1,1,4,
14.2003,,Surface,5,Image 1,1,5,
11.9101,,Surface,5,Image 1,1,6,
11.8287,,Surface,5,Image 1,1,7,
10.5907,,Surface,5,Image 1,1,8,
10.9853,,Surface,5,Image 1,1,9,
10.2594,,Surface,5,Image 1,1,10,
11.6073,,Surface,5,Image 1,1,11,
9.85115,,Surface,5,Image 1,1,12,
9.83826,,Surface,5,Image 1,1,13,
13.4818,,Surface,5,Image 1,1,14,
16.6665,,Surface,5,Image 1,1,15,
11.5587,,Surface,5,Image 1,1,16,
12.9905,,Surface,5,Image 1,1,17,
11.2346,,Surface,5,Image 1,1,18,
17.3387,,Surface,5,Image 1,1,19,
11.9663,,Surface,5,Image 1,1,20,
13.4831,,Surface,5,Image 1,1,21,
12.1415,,Surface,5,Image 1,1,22,
9.61954,,Surface,5,Image 1,1,23,
9.95598,,Surface,5,Image 1,1,24,
11.9897,,Surface,5,Image 1,1,25,
12.6337,,Surface,5,Image 1,1,26,
12.393,,Surface,5,Image 1,1,27,
12.13,,Surface,5,Image 1,1,28,
13.3575,,Surface,5,Image 1,1,29,
11.4513,,Surface,5,Image 1,1,30,
10.7794,,Surface,5,Image 1,1,31,
15.5023,,Surface,5,Image 1,1,32,
13.0178,,Surface,5,Image 1,1,33,
11.8958,,Surface,5,Image 1,1,34,
11.6009,,Surface,5,Image 1,1,35,
16.2842,,Surface,5,Image 1,1,36,
12.569,,Surface,5,Image 1,1,37,
13.3517,,Surface,5,Image 1,1,38,
11.3062,,Surface,5,Image 1,1,39,
9.29114,,Surface,5,Image 1,1,40,
15.4148,,Surface,5,Image 1,1,41,
11.7402,,Surface,5,Image 1,1,42,
16.2279,,Surface,5,Image 1,1,43,
12.9649,,Surface,5,Image 1,1,44,
14.6339,,Surface,5,Image 1,1,45,
9.34108,,Surface,5,Image 1,1,46,
12.3998,,Surface,5,Image 1,1,47,
13.9394,,Surface,5,Image 1,1,48,
9.94027,,Surface,5,Image 1,1,49,
13.5646,,Surface,5,Image 1,1,50,
11.0558,,Surface,5,Image 1,1,52,
15.5753,,Surface,5,Image 1,1,53,
13.2668,,Surface,5,Image 1,1,54,
12.6717,,Surface,5,Image 1,1,55,
12.7714,,Surface,5,Image 1,1,56,
12.7197,,Surface,5,Image 1,1,57,
12.8537,,Surface,5,Image 1,1,58,
12.8335,,Surface,5,Image 1,1,59,
12.5795,,Surface,5,Image 1,1,60,
16.774,,Surface,5,Image 1,1,61,
12.3403,,Surface,5,Image 1,1,62,
17.3273,,Surface,5,Image 1,1,63,
12.8449,,Surface,5,Image 1,1,64,
10.4577,,Surface,5,Image 1,1,65,
9.86946,,Surface,5,Image 1,1,66,
11.636,,Surface,5,Image 1,1,67,
13.6631,,Surface,5,Image 1,1,68,
12.3793,,Surface,5,Image 1,1,69,
11.213,,Surface,5,Image 1,1,70,
10.7644,,Surface,5,Image 1,1,71,
9.86982,,Surface,5,Image 1,1,72,
11.0466,,Surface,5,Image 1,1,73,
9.18395,,Surface,5,Image 1,1,74,
10.4905,,Surface,5,Image 1,1,75,
12.9801,,Surface,5,Image 1,1,80,
16.7815,,Surface,5,Image 1,1,83,
11.9889,,Surface,5,Image 1,1,84,
11.1692,,Surface,5,Image 1,1,85,
15.9579,,Surface,5,Image 1,1,86,
11.9002,,Surface,5,Image 1,1,87,
9.89404,,Surface,5,Image 1,1,88,
13.8403,,Surface,5,Image 1,1,89,
11.3833,,Surface,5,Image 1,1,90,
9.56822,,Surface,5,Image 1,1,91,
9.18306,,Surface,5,Image 1,1,92,
17.5178,,Surface,5,Image 1,1,93,
17.5907,,Surface,5,Image 1,1,94,
13.3193,,Surface,5,Image 1,1,95,
13.4849,,Surface,5,Image 1,1,96,
15.5214,,Surface,5,Image 1,1,97,
9.57687,,Surface,5,Image 1,1,98,
18.6288,,Surface,5,Image 1,1,99,
18.0301,,Surface,5,Image 1,1,100,
13.0645,,Surface,5,Image 1,1,101,
13.3383,,Surface,5,Image 1,1,102,
12.7183,,Surface,5,Image 1,1,108,
13.4723,,Surface,5,Image 1,1,111,
10.4293,,Surface,5,Image 1,1,112,
