
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
84.0145,,Surface,2,Image 1,1,0,
82.2874,,Surface,2,Image 1,1,1,
144.042,,Surface,2,Image 1,1,2,
82.5578,,Surface,2,Image 1,1,3,
166.724,,Surface,2,Image 1,1,4,
115.243,,Surface,2,Image 1,1,5,
160.212,,Surface,2,Image 1,1,6,
89.9227,,Surface,2,Image 1,1,7,
93.4238,,Surface,2,Image 1,1,8,
98.9118,,Surface,2,Image 1,1,9,
84.9954,,Surface,2,Image 1,1,10,
116.3,,Surface,2,Image 1,1,11,
91.4285,,Surface,2,Image 1,1,12,
139.063,,Surface,2,Image 1,1,13,
100.142,,Surface,2,Image 1,1,14,
155.918,,Surface,2,Image 1,1,15,
99.0526,,Surface,2,Image 1,1,16,
81.0529,,Surface,2,Image 1,1,17,
123.892,,Surface,2,Image 1,1,18,
125.791,,Surface,2,Image 1,1,19,
98.1007,,Surface,2,Image 1,1,20,
122.231,,Surface,2,Image 1,1,21,
112.071,,Surface,2,Image 1,1,22,
79.8737,,Surface,2,Image 1,1,23,
81.8555,,Surface,2,Image 1,1,24,
97.7328,,Surface,2,Image 1,1,25,
81,,Surface,2,Image 1,1,26,
86.0413,,Surface,2,Image 1,1,27,
