
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
233.277,,Surface,3,Image 1,1,0,
183.861,,Surface,3,Image 1,1,1,
272.696,,Surface,3,Image 1,1,2,
102.009,,Surface,3,Image 1,1,3,
112.915,,Surface,3,Image 1,1,4,
130.48,,Surface,3,Image 1,1,5,
109.091,,Surface,3,Image 1,1,6,
187.752,,Surface,3,Image 1,1,7,
152.976,,Surface,3,Image 1,1,8,
171.208,,Surface,3,Image 1,1,9,
113.613,,Surface,3,Image 1,1,10,
136.107,,Surface,3,Image 1,1,11,
142.386,,Surface,3,Image 1,1,12,
188.239,,Surface,3,Image 1,1,13,
167.084,,Surface,3,Image 1,1,14,
178.743,,Surface,3,Image 1,1,15,
197.469,,Surface,3,Image 1,1,16,
149.669,,Surface,3,Image 1,1,17,
127.336,,Surface,3,Image 1,1,18,
99.2206,,Surface,3,Image 1,1,19,
72.071,,Surface,3,Image 1,1,20,
88.0946,,Surface,3,Image 1,1,21,
225.679,,Surface,3,Image 1,1,22,
130.941,,Surface,3,Image 1,1,23,
76.1908,,Surface,3,Image 1,1,24,
111.201,,Surface,3,Image 1,1,25,
60,,Surface,3,Image 1,1,26,
148.207,,Surface,3,Image 1,1,27,
