
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
92.3064,,Surface,4,Image 1,1,0,
94.1243,,Surface,4,Image 1,1,1,
103.251,,Surface,4,Image 1,1,2,
107.672,,Surface,4,Image 1,1,3,
102.071,,Surface,4,Image 1,1,4,
116.291,,Surface,4,Image 1,1,5,
105.152,,Surface,4,Image 1,1,6,
95.5418,,Surface,4,Image 1,1,7,
100.349,,Surface,4,Image 1,1,8,
112.852,,Surface,4,Image 1,1,9,
140.247,,Surface,4,Image 1,1,10,
104.754,,Surface,4,Image 1,1,11,
121.959,,Surface,4,Image 1,1,12,
100.73,,Surface,4,Image 1,1,13,
92.2664,,Surface,4,Image 1,1,14,
92.3249,,Surface,4,Image 1,1,15,
138.285,,Surface,4,Image 1,1,16,
130.22,,Surface,4,Image 1,1,17,
121.714,,Surface,4,Image 1,1,18,
119.437,,Surface,4,Image 1,1,19,
168.199,,Surface,4,Image 1,1,20,
101.011,,Surface,4,Image 1,1,21,
127.72,,Surface,4,Image 1,1,22,
96.9664,,Surface,4,Image 1,1,23,
104.056,,Surface,4,Image 1,1,24,
150.028,,Surface,4,Image 1,1,25,
63,,Surface,4,Image 1,1,26,
100.034,,Surface,4,Image 1,1,27,
