
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
104.377,35.4973,69.0827,um,Surface,Position,1,0,
111.423,50.7901,70.9475,um,Surface,Position,1,3,
126.813,146.954,56.656,um,Surface,Position,1,4,
129.576,139.667,60.0423,um,Surface,Position,1,5,
122.628,156.707,60.4171,um,Surface,Position,1,6,
135.157,85.8086,54.9955,um,Surface,Position,1,13,
119.569,47.1579,62.3454,um,Surface,Position,1,20,
104.073,45.2863,64.2421,um,Surface,Position,1,21,
120.822,54.9208,54.5382,um,Surface,Position,1,22,
127.328,62.4585,56.89,um,Surface,Position,1,23,
129.543,71.7161,58.6257,um,Surface,Position,1,24,
120.866,43.2026,57.7511,um,Surface,Position,1,25,
125.894,58.2487,59.5179,um,Surface,Position,1,26,
130.779,77.8603,61.1755,um,Surface,Position,1,27,
120.25,56.5339,64.3549,um,Surface,Position,1,28,
121.362,61.5644,65.0979,um,Surface,Position,1,29,
107.118,159.768,49.1103,um,Surface,Position,1,32,
131.362,140.817,47.0121,um,Surface,Position,1,33,
134.536,125.397,51.5095,um,Surface,Position,1,34,
135.02,132.257,51.7175,um,Surface,Position,1,35,
129.401,144.948,52.2766,um,Surface,Position,1,36,
123.856,157.899,53.1189,um,Surface,Position,1,37,
50.5503,24.0941,57.6625,um,Surface,Position,1,38,
104.389,25.8049,55.0212,um,Surface,Position,1,39,
118.569,36.391,55.514,um,Surface,Position,1,40,
110.835,32.6727,56.4581,um,Surface,Position,1,41,
89.9327,20.8025,57.7731,um,Surface,Position,1,42,
108.084,23.4453,58.5029,um,Surface,Position,1,43,
115.123,30.2279,58.5759,um,Surface,Position,1,44,
102.216,21.3261,58.511,um,Surface,Position,1,45,
109.532,26.8447,65.2825,um,Surface,Position,1,46,
135.88,89.2521,49.6976,um,Surface,Position,1,48,
137.885,110.586,48.3229,um,Surface,Position,1,49,
136.879,117.238,50.067,um,Surface,Position,1,50,
126.921,85.7883,50.8372,um,Surface,Position,1,51,
135.378,94.7815,52.0574,um,Surface,Position,1,52,
119.792,47.1692,46.9232,um,Surface,Position,1,53,
115.712,69.9061,47.0349,um,Surface,Position,1,55,
114.403,48.4911,49.0017,um,Surface,Position,1,56,
102.143,42.3211,52.4907,um,Surface,Position,1,57,
116.926,44.6754,52.5914,um,Surface,Position,1,58,
113.082,59.1243,52.1676,um,Surface,Position,1,59,
129.259,67.2374,49.842,um,Surface,Position,1,60,
123.124,65.1297,51.3474,um,Surface,Position,1,61,
128.041,58.5745,52.5833,um,Surface,Position,1,62,
99.488,27.1049,46.4068,um,Surface,Position,1,63,
119.375,39.3078,47.8496,um,Surface,Position,1,64,
95.3893,20.2681,49.605,um,Surface,Position,1,65,
92.3454,15.9731,51.5662,um,Surface,Position,1,66,
83.4749,21.3334,50.7424,um,Surface,Position,1,67,
115.197,30.7816,50.2806,um,Surface,Position,1,68,
109.107,24.3841,52.5367,um,Surface,Position,1,69,
97.9445,24.878,51.5674,um,Surface,Position,1,70,
83.3192,15.957,52.7266,um,Surface,Position,1,71,
62.5879,18.4172,48.9493,um,Surface,Position,1,74,
76.0379,23.7436,48.45,um,Surface,Position,1,75,
124.516,65.2045,59.545,um,Surface,Position,1,76,
127.304,67.3948,60.2979,um,Surface,Position,1,77,
120.598,49.6969,59.4224,um,Surface,Position,1,78,
124.441,48.7552,54.1353,um,Surface,Position,1,79,
98.6007,65.1542,64.7917,um,Surface,Position,1,81,
132.639,76.9105,52.2228,um,Surface,Position,1,82,
