
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5.19352,,Surface,3,Image 1,1,0,
3.0265,,Surface,3,Image 1,1,1,
3.12947,,Surface,3,Image 1,1,2,
4.02471,,Surface,3,Image 1,1,3,
4.16803,,Surface,3,Image 1,1,4,
2.63679,,Surface,3,Image 1,1,6,
4.84145,,Surface,3,Image 1,1,7,
2.94226,,Surface,3,Image 1,1,8,
3.9064,,Surface,3,Image 1,1,9,
3.60482,,Surface,3,Image 1,1,10,
2.20232,,Surface,3,Image 1,1,11,
2.71568,,Surface,3,Image 1,1,12,
2.14323,,Surface,3,Image 1,1,13,
2.9924,,Surface,3,Image 1,1,14,
2.59133,,Surface,3,Image 1,1,15,
2.61591,,Surface,3,Image 1,1,16,
4.04679,,Surface,3,Image 1,1,17,
2.15185,,Surface,3,Image 1,1,18,
2.2734,,Surface,3,Image 1,1,19,
2.39204,,Surface,3,Image 1,1,20,
2.1795,,Surface,3,Image 1,1,21,
2.47887,,Surface,3,Image 1,1,22,
2.36042,,Surface,3,Image 1,1,23,
2.42556,,Surface,3,Image 1,1,24,
2.38235,,Surface,3,Image 1,1,25,
2.21264,,Surface,3,Image 1,1,26,
2.17368,,Surface,3,Image 1,1,27,
3.46252,,Surface,3,Image 1,1,28,
2.34475,,Surface,3,Image 1,1,29,
2.68794,,Surface,3,Image 1,1,30,
2.32568,,Surface,3,Image 1,1,31,
2.17644,,Surface,3,Image 1,1,32,
2.28897,,Surface,3,Image 1,1,33,
2.25728,,Surface,3,Image 1,1,34,
3.06906,,Surface,3,Image 1,1,35,
2.53973,,Surface,3,Image 1,1,36,
3.4309,,Surface,3,Image 1,1,37,
2.26153,,Surface,3,Image 1,1,38,
3.20976,,Surface,3,Image 1,1,39,
2.52621,,Surface,3,Image 1,1,40,
2.44741,,Surface,3,Image 1,1,41,
2.12933,,Surface,3,Image 1,1,42,
3.26238,,Surface,3,Image 1,1,43,
2.8205,,Surface,3,Image 1,1,44,
3.17619,,Surface,3,Image 1,1,45,
3.55197,,Surface,3,Image 1,1,46,
3.63625,,Surface,3,Image 1,1,47,
2.66992,,Surface,3,Image 1,1,48,
2.64577,,Surface,3,Image 1,1,49,
3.66432,,Surface,3,Image 1,1,50,
2.27811,,Surface,3,Image 1,1,51,
3.60163,,Surface,3,Image 1,1,52,
2.83743,,Surface,3,Image 1,1,53,
3.01164,,Surface,3,Image 1,1,54,
2.33678,,Surface,3,Image 1,1,56,
3.03162,,Surface,3,Image 1,1,57,
3.11644,,Surface,3,Image 1,1,58,
5.39258,,Surface,3,Image 1,1,59,
2.56074,,Surface,3,Image 1,1,60,
3.96964,,Surface,3,Image 1,1,61,
4.12076,,Surface,3,Image 1,1,62,
7.65762,,Surface,3,Image 1,1,63,
4.49596,,Surface,3,Image 1,1,64,
5.00186,,Surface,3,Image 1,1,65,
4.16865,,Surface,3,Image 1,1,66,
2.79454,,Surface,3,Image 1,1,67,
7.99538,,Surface,3,Image 1,1,68,
5.93647,,Surface,3,Image 1,1,69,
3.32595,,Surface,3,Image 1,1,70,
2.65828,,Surface,3,Image 1,1,71,
3.29772,,Surface,3,Image 1,1,72,
4.17927,,Surface,3,Image 1,1,73,
4.76121,,Surface,3,Image 1,1,74,
4.08684,,Surface,3,Image 1,1,75,
3.25843,,Surface,3,Image 1,1,76,
2.63347,,Surface,3,Image 1,1,77,
3.70395,,Surface,3,Image 1,1,78,
3.0847,,Surface,3,Image 1,1,79,
2.21269,,Surface,3,Image 1,1,80,
3.19378,,Surface,3,Image 1,1,81,
3.5259,,Surface,3,Image 1,1,82,
2.30963,,Surface,3,Image 1,1,83,
2.78596,,Surface,3,Image 1,1,84,
2.49949,,Surface,3,Image 1,1,85,
5.71942,,Surface,3,Image 1,1,86,
7.77083,,Surface,3,Image 1,1,87,
3.35401,,Surface,3,Image 1,1,88,
3,,Surface,3,Image 1,1,89,
3.7709,,Surface,3,Image 1,1,90,
5,,Surface,3,Image 1,1,91,
2.47115,,Surface,3,Image 1,1,92,
2.973,,Surface,3,Image 1,1,93,
2.15945,,Surface,3,Image 1,1,94,
