
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
89.0375,175.254,76.0336,um,Surface,Position,1,0,
62.1583,163.308,59.0792,um,Surface,Position,1,1,
68.8324,167.28,62.3932,um,Surface,Position,1,2,
72.1901,172.986,63.9055,um,Surface,Position,1,3,
60.4671,162.092,46.6156,um,Surface,Position,1,4,
55.0394,158.256,49.7453,um,Surface,Position,1,5,
72.0087,166.845,50.1813,um,Surface,Position,1,6,
66.0861,160.71,53.8177,um,Surface,Position,1,7,
60.1405,158.919,54.338,um,Surface,Position,1,8,
72.9689,163.312,55.8698,um,Surface,Position,1,9,
38.0968,139.09,52.7989,um,Surface,Position,1,10,
39.0387,144.455,54.439,um,Surface,Position,1,11,
42.0772,137.43,55.7486,um,Surface,Position,1,12,
68.9779,125.297,39.4786,um,Surface,Position,1,13,
57.1281,129.182,39.4216,um,Surface,Position,1,14,
52.2067,125.325,40.2817,um,Surface,Position,1,15,
64.7821,143.459,41.7198,um,Surface,Position,1,16,
58.8061,145.9,42.4458,um,Surface,Position,1,17,
58.3765,141.024,43.059,um,Surface,Position,1,18,
62.2326,140.679,44.2271,um,Surface,Position,1,19,
54.2304,148.428,49.2495,um,Surface,Position,1,20,
71.8207,148.132,49.1106,um,Surface,Position,1,21,
57.0711,146.82,55.0536,um,Surface,Position,1,22,
100.555,139.765,47.1114,um,Surface,Position,1,23,
61.365,166.06,38.4891,um,Surface,Position,1,24,
72.351,157.868,37.2579,um,Surface,Position,1,25,
66.0155,154.547,38.4945,um,Surface,Position,1,26,
64.721,149.596,40.9901,um,Surface,Position,1,27,
65.8925,159.95,42.0718,um,Surface,Position,1,28,
71.8245,153.46,42.7589,um,Surface,Position,1,29,
64.2437,173.57,42.7055,um,Surface,Position,1,30,
68.255,167.624,44.2816,um,Surface,Position,1,31,
51.1073,156.529,42.1715,um,Surface,Position,1,32,
67.4925,115.169,38.334,um,Surface,Position,1,33,
66.9816,119.112,38.5468,um,Surface,Position,1,34,
63.3347,123.809,46.7529,um,Surface,Position,1,35,
72.52,94.7625,36.7758,um,Surface,Position,1,36,
84.0004,149.989,27.7928,um,Surface,Position,1,37,
84.4347,121.229,17.0966,um,Surface,Position,1,38,
57.4874,121.391,39.6126,um,Surface,Position,1,39,
