
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
35.9117,,Surface,3,Image 1,1,0,
43.7785,,Surface,3,Image 1,1,1,
54.0781,,Surface,3,Image 1,1,2,
41.5485,,Surface,3,Image 1,1,3,
37.3711,,Surface,3,Image 1,1,4,
45.9454,,Surface,3,Image 1,1,5,
34.8723,,Surface,3,Image 1,1,6,
46.4434,,Surface,3,Image 1,1,7,
45.7067,,Surface,3,Image 1,1,8,
42.8436,,Surface,3,Image 1,1,9,
42.2849,,Surface,3,Image 1,1,10,
36.3404,,Surface,3,Image 1,1,11,
37.541,,Surface,3,Image 1,1,12,
34.9665,,Surface,3,Image 1,1,13,
34.9885,,Surface,3,Image 1,1,14,
40.2923,,Surface,3,Image 1,1,15,
41.4939,,Surface,3,Image 1,1,16,
37.4693,,Surface,3,Image 1,1,17,
43.7044,,Surface,3,Image 1,1,18,
34.9848,,Surface,3,Image 1,1,19,
39.6204,,Surface,3,Image 1,1,20,
50.3381,,Surface,3,Image 1,1,21,
42.728,,Surface,3,Image 1,1,22,
