
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
206.52,,Surface,4,Image 1,1,0,
188.349,,Surface,4,Image 1,1,1,
201.461,,Surface,4,Image 1,1,2,
289.702,,Surface,4,Image 1,1,3,
109.419,,Surface,4,Image 1,1,4,
114.518,,Surface,4,Image 1,1,5,
232.633,,Surface,4,Image 1,1,6,
152.94,,Surface,4,Image 1,1,7,
124.082,,Surface,4,Image 1,1,8,
203.144,,Surface,4,Image 1,1,9,
148.593,,Surface,4,Image 1,1,10,
211.588,,Surface,4,Image 1,1,11,
228.871,,Surface,4,Image 1,1,12,
151.206,,Surface,4,Image 1,1,13,
238.092,,Surface,4,Image 1,1,14,
114.709,,Surface,4,Image 1,1,15,
108.859,,Surface,4,Image 1,1,16,
155.834,,Surface,4,Image 1,1,17,
168.793,,Surface,4,Image 1,1,18,
213.296,,Surface,4,Image 1,1,19,
188.682,,Surface,4,Image 1,1,20,
179.759,,Surface,4,Image 1,1,21,
212.236,,Surface,4,Image 1,1,22,
