
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
77.0755,,Surface,5,Image 1,1,0,
51.5406,,Surface,5,Image 1,1,1,
47.8797,,Surface,5,Image 1,1,2,
55.0877,,Surface,5,Image 1,1,3,
93.1833,,Surface,5,Image 1,1,4,
73.7241,,Surface,5,Image 1,1,5,
68.6741,,Surface,5,Image 1,1,6,
107.248,,Surface,5,Image 1,1,7,
126.067,,Surface,5,Image 1,1,8,
86.8909,,Surface,5,Image 1,1,9,
97.9654,,Surface,5,Image 1,1,10,
81.2564,,Surface,5,Image 1,1,11,
79.0579,,Surface,5,Image 1,1,12,
56.1837,,Surface,5,Image 1,1,13,
57.2222,,Surface,5,Image 1,1,14,
57.3197,,Surface,5,Image 1,1,15,
67.5202,,Surface,5,Image 1,1,16,
85.675,,Surface,5,Image 1,1,17,
51.2935,,Surface,5,Image 1,1,18,
49.4297,,Surface,5,Image 1,1,19,
55.6078,,Surface,5,Image 1,1,20,
52.2582,,Surface,5,Image 1,1,21,
83.3444,,Surface,5,Image 1,1,22,
101.778,,Surface,5,Image 1,1,23,
89.0028,,Surface,5,Image 1,1,24,
74.4541,,Surface,5,Image 1,1,25,
69.2065,,Surface,5,Image 1,1,26,
78.801,,Surface,5,Image 1,1,27,
84.2378,,Surface,5,Image 1,1,28,
74.226,,Surface,5,Image 1,1,29,
96.7509,,Surface,5,Image 1,1,30,
111.393,,Surface,5,Image 1,1,31,
72.0683,,Surface,5,Image 1,1,32,
49.507,,Surface,5,Image 1,1,33,
65.9347,,Surface,5,Image 1,1,34,
61.6696,,Surface,5,Image 1,1,35,
65.9466,,Surface,5,Image 1,1,36,
57.9163,,Surface,5,Image 1,1,37,
69.4343,,Surface,5,Image 1,1,38,
51.8964,,Surface,5,Image 1,1,39,
70.3137,,Surface,5,Image 1,1,40,
83.9455,,Surface,5,Image 1,1,41,
101.415,,Surface,5,Image 1,1,42,
95.1266,,Surface,5,Image 1,1,43,
80.4261,,Surface,5,Image 1,1,44,
76.5512,,Surface,5,Image 1,1,45,
77.0975,,Surface,5,Image 1,1,46,
79.072,,Surface,5,Image 1,1,47,
75.4079,,Surface,5,Image 1,1,48,
104.34,,Surface,5,Image 1,1,49,
110.925,,Surface,5,Image 1,1,50,
92.6168,,Surface,5,Image 1,1,51,
82.4611,,Surface,5,Image 1,1,52,
72.4574,,Surface,5,Image 1,1,53,
76.4817,,Surface,5,Image 1,1,54,
77.1113,,Surface,5,Image 1,1,55,
67.5288,,Surface,5,Image 1,1,56,
76.9859,,Surface,5,Image 1,1,57,
72.7865,,Surface,5,Image 1,1,58,
89.3916,,Surface,5,Image 1,1,59,
82.6498,,Surface,5,Image 1,1,60,
65.9313,,Surface,5,Image 1,1,61,
62.8279,,Surface,5,Image 1,1,62,
80.6727,,Surface,5,Image 1,1,63,
85.1749,,Surface,5,Image 1,1,64,
92.9801,,Surface,5,Image 1,1,65,
92.9267,,Surface,5,Image 1,1,66,
79.4688,,Surface,5,Image 1,1,67,
76.3451,,Surface,5,Image 1,1,68,
66.7178,,Surface,5,Image 1,1,69,
87.8239,,Surface,5,Image 1,1,70,
55.2479,,Surface,5,Image 1,1,71,
67.7275,,Surface,5,Image 1,1,72,
59.1241,,Surface,5,Image 1,1,73,
69.5811,,Surface,5,Image 1,1,74,
65.3746,,Surface,5,Image 1,1,75,
74.5961,,Surface,5,Image 1,1,76,
98.979,,Surface,5,Image 1,1,77,
80.1819,,Surface,5,Image 1,1,78,
65.0579,,Surface,5,Image 1,1,79,
65.8372,,Surface,5,Image 1,1,80,
58.4036,,Surface,5,Image 1,1,81,
