
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
57.3577,,Surface,3,Image 1,1,0,
59.2324,,Surface,3,Image 1,1,1,
60.6936,,Surface,3,Image 1,1,2,
53.8303,,Surface,3,Image 1,1,3,
52.3799,,Surface,3,Image 1,1,4,
46.8534,,Surface,3,Image 1,1,5,
60.0772,,Surface,3,Image 1,1,6,
53.3894,,Surface,3,Image 1,1,7,
60.6935,,Surface,3,Image 1,1,8,
44.8953,,Surface,3,Image 1,1,9,
62.8447,,Surface,3,Image 1,1,10,
68.3763,,Surface,3,Image 1,1,11,
74.7356,,Surface,3,Image 1,1,12,
80.4396,,Surface,3,Image 1,1,13,
56.6974,,Surface,3,Image 1,1,14,
55.9317,,Surface,3,Image 1,1,15,
59.9082,,Surface,3,Image 1,1,16,
66.5682,,Surface,3,Image 1,1,17,
61.8171,,Surface,3,Image 1,1,18,
59.0538,,Surface,3,Image 1,1,19,
58.3921,,Surface,3,Image 1,1,20,
53.9748,,Surface,3,Image 1,1,21,
45.3853,,Surface,3,Image 1,1,22,
51.2198,,Surface,3,Image 1,1,23,
65.9822,,Surface,3,Image 1,1,24,
65.4939,,Surface,3,Image 1,1,25,
49.8879,,Surface,3,Image 1,1,26,
53.5899,,Surface,3,Image 1,1,27,
48.3025,,Surface,3,Image 1,1,28,
43.8824,,Surface,3,Image 1,1,29,
51.1019,,Surface,3,Image 1,1,30,
49.2896,,Surface,3,Image 1,1,31,
48.0197,,Surface,3,Image 1,1,32,
47.9004,,Surface,3,Image 1,1,33,
52.4453,,Surface,3,Image 1,1,34,
51.6288,,Surface,3,Image 1,1,35,
50.7256,,Surface,3,Image 1,1,36,
45.5245,,Surface,3,Image 1,1,37,
44.8662,,Surface,3,Image 1,1,38,
45.2877,,Surface,3,Image 1,1,39,
48.2251,,Surface,3,Image 1,1,40,
45.7944,,Surface,3,Image 1,1,41,
58.1115,,Surface,3,Image 1,1,42,
45.8725,,Surface,3,Image 1,1,43,
44,,Surface,3,Image 1,1,44,
