
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-6337.54,2404.02,3289.56,um,Surface,Position,1,1,
-6337.03,2407.41,3292.18,um,Surface,Position,1,2,
-6338.87,2410.68,3293.96,um,Surface,Position,1,3,
-6325.34,2412.29,3289.3,um,Surface,Position,1,4,
-6332.44,2404.3,3287.23,um,Surface,Position,1,5,
-6326.89,2407.81,3290.76,um,Surface,Position,1,6,
-6333.89,2412.99,3291.92,um,Surface,Position,1,7,
-6332.48,2408.11,3293.06,um,Surface,Position,1,8,
-6328.81,2413.89,3292.97,um,Surface,Position,1,9,
-6316.52,2412.56,3287.5,um,Surface,Position,1,10,
-6356.19,2429.31,3289.75,um,Surface,Position,1,11,
-6354.75,2428.59,3294.21,um,Surface,Position,1,12,
-6340.85,2422.67,3287.43,um,Surface,Position,1,13,
-6337.76,2423.04,3288.18,um,Surface,Position,1,14,
-6342.66,2418.92,3289.34,um,Surface,Position,1,15,
-6348.11,2427.23,3286.51,um,Surface,Position,1,16,
-6335.77,2419.42,3288.04,um,Surface,Position,1,17,
-6349.03,2431.13,3290.33,um,Surface,Position,1,18,
-6350.51,2420.26,3291.84,um,Surface,Position,1,19,
-6346.54,2422.11,3290.62,um,Surface,Position,1,20,
-6333.09,2425.63,3288.05,um,Surface,Position,1,21,
-6327.5,2417.8,3293.78,um,Surface,Position,1,22,
-6381.24,2448.98,3287.42,um,Surface,Position,1,23,
-6387.65,2442.02,3292.98,um,Surface,Position,1,24,
-6360.61,2435.03,3292.05,um,Surface,Position,1,25,
-6369.06,2435.68,3292.78,um,Surface,Position,1,26,
-6313.4,2393.12,3288.08,um,Surface,Position,1,27,
-6344.48,2424.72,3280.68,um,Surface,Position,1,28,
-6337.67,2421.84,3283.15,um,Surface,Position,1,30,
-6325.49,2423.95,3278.13,um,Surface,Position,1,31,
-6317.6,2415.53,3277.36,um,Surface,Position,1,32,
-6329.21,2425.51,3280.59,um,Surface,Position,1,33,
-6322.76,2421.19,3282.24,um,Surface,Position,1,34,
-6319.71,2416.9,3283.7,um,Surface,Position,1,35,
-6331.49,2417.37,3284.39,um,Surface,Position,1,36,
-6329.67,2421.53,3285.39,um,Surface,Position,1,37,
-6324.25,2417.34,3286.95,um,Surface,Position,1,38,
-6381.07,2445.29,3286.92,um,Surface,Position,1,39,
-6355.54,2439.51,3284.91,um,Surface,Position,1,40,
-6348.65,2432.9,3282.05,um,Surface,Position,1,42,
-6311.6,2345.68,3280.44,um,Surface,Position,1,43,
-6300.98,2353.64,3284.99,um,Surface,Position,1,44,
-6295.56,2372.33,3280.65,um,Surface,Position,1,45,
-6307.15,2391.27,3278.87,um,Surface,Position,1,46,
-6300.79,2396.32,3281.41,um,Surface,Position,1,47,
-6302.28,2377.76,3281.49,um,Surface,Position,1,48,
-6304.9,2392.42,3283.76,um,Surface,Position,1,49,
-6303.08,2388.49,3286.31,um,Surface,Position,1,50,
-6303.13,2395.36,3286.14,um,Surface,Position,1,51,
-6295.75,2390.09,3279.52,um,Surface,Position,1,52,
-6295.75,2394.49,3279.48,um,Surface,Position,1,53,
-6297.29,2386.07,3281.28,um,Surface,Position,1,55,
-6348.71,2397,3283.14,um,Surface,Position,1,57,
-6344.69,2395.75,3280.62,um,Surface,Position,1,58,
-6334.58,2401.13,3285.88,um,Surface,Position,1,59,
-6319.28,2406.66,3282.73,um,Surface,Position,1,60,
-6319.23,2411.64,3283.79,um,Surface,Position,1,61,
-6301.67,2399.94,3278.75,um,Surface,Position,1,62,
-6307.31,2406.1,3281.57,um,Surface,Position,1,63,
-6304.71,2400.78,3282.64,um,Surface,Position,1,64,
-6310.06,2400.42,3282.38,um,Surface,Position,1,65,
-6314.24,2410.36,3284.33,um,Surface,Position,1,66,
-6313.26,2405.24,3284.41,um,Surface,Position,1,67,
-6296.78,2397.94,3285.42,um,Surface,Position,1,68,
-6322.59,2416.42,3271.81,um,Surface,Position,1,69,
-6319.14,2421.14,3274.81,um,Surface,Position,1,70,
-6330.09,2420.82,3276.39,um,Surface,Position,1,71,
-6315.35,2416.84,3270.18,um,Surface,Position,1,72,
-6347.71,2437.56,3276.38,um,Surface,Position,1,73,
-6299.25,2364.58,3268.85,um,Surface,Position,1,74,
-6294.76,2374.41,3267.92,um,Surface,Position,1,75,
-6294.03,2360.47,3268.85,um,Surface,Position,1,76,
-6288.21,2369.1,3269.91,um,Surface,Position,1,77,
-6290.05,2363.51,3269.16,um,Surface,Position,1,78,
-6291.69,2372.75,3272.44,um,Surface,Position,1,79,
-6364.43,2396.36,3275.96,um,Surface,Position,1,80,
-6342.74,2387.36,3277,um,Surface,Position,1,81,
-6301.3,2389.47,3275.17,um,Surface,Position,1,82,
-6290.66,2378.71,3267.82,um,Surface,Position,1,83,
-6291.5,2391.37,3269.91,um,Surface,Position,1,84,
-6297.67,2386.41,3271.95,um,Surface,Position,1,85,
