
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
73.7123,,Surface,5,Image 1,1,1,
80.4399,,Surface,5,Image 1,1,2,
79.8769,,Surface,5,Image 1,1,3,
79.867,,Surface,5,Image 1,1,4,
93.1052,,Surface,5,Image 1,1,5,
95.1346,,Surface,5,Image 1,1,6,
86.4252,,Surface,5,Image 1,1,7,
81.2887,,Surface,5,Image 1,1,8,
89.537,,Surface,5,Image 1,1,9,
93.5798,,Surface,5,Image 1,1,10,
72.2197,,Surface,5,Image 1,1,11,
79.8188,,Surface,5,Image 1,1,12,
138.031,,Surface,5,Image 1,1,13,
154.713,,Surface,5,Image 1,1,14,
70.2773,,Surface,5,Image 1,1,15,
72.877,,Surface,5,Image 1,1,16,
100.501,,Surface,5,Image 1,1,17,
94.9573,,Surface,5,Image 1,1,18,
70.8839,,Surface,5,Image 1,1,19,
77.9384,,Surface,5,Image 1,1,20,
89.3595,,Surface,5,Image 1,1,21,
72.8946,,Surface,5,Image 1,1,22,
71.7462,,Surface,5,Image 1,1,23,
74.3611,,Surface,5,Image 1,1,24,
76.5902,,Surface,5,Image 1,1,25,
70.9792,,Surface,5,Image 1,1,26,
139.53,,Surface,5,Image 1,1,27,
78.3652,,Surface,5,Image 1,1,28,
105.392,,Surface,5,Image 1,1,30,
127.544,,Surface,5,Image 1,1,31,
92.5813,,Surface,5,Image 1,1,32,
97.0514,,Surface,5,Image 1,1,33,
133.088,,Surface,5,Image 1,1,34,
122.447,,Surface,5,Image 1,1,35,
80.5534,,Surface,5,Image 1,1,36,
100.658,,Surface,5,Image 1,1,37,
124.626,,Surface,5,Image 1,1,38,
74.6471,,Surface,5,Image 1,1,39,
81.2411,,Surface,5,Image 1,1,40,
77.5824,,Surface,5,Image 1,1,42,
116.552,,Surface,5,Image 1,1,43,
114.429,,Surface,5,Image 1,1,44,
120.737,,Surface,5,Image 1,1,45,
148.02,,Surface,5,Image 1,1,46,
167.757,,Surface,5,Image 1,1,47,
116.69,,Surface,5,Image 1,1,48,
133.015,,Surface,5,Image 1,1,49,
124.06,,Surface,5,Image 1,1,50,
170.889,,Surface,5,Image 1,1,51,
144.921,,Surface,5,Image 1,1,52,
150.316,,Surface,5,Image 1,1,53,
164.403,,Surface,5,Image 1,1,55,
91.4168,,Surface,5,Image 1,1,57,
92.7446,,Surface,5,Image 1,1,58,
