
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
153.839,,Surface,4,Image 1,1,0,
142.628,,Surface,4,Image 1,1,1,
154.164,,Surface,4,Image 1,1,2,
128.673,,Surface,4,Image 1,1,3,
128.572,,Surface,4,Image 1,1,4,
133.632,,Surface,4,Image 1,1,5,
97.4818,,Surface,4,Image 1,1,6,
153.477,,Surface,4,Image 1,1,7,
130.715,,Surface,4,Image 1,1,8,
125.354,,Surface,4,Image 1,1,9,
149.992,,Surface,4,Image 1,1,10,
171.661,,Surface,4,Image 1,1,11,
102.347,,Surface,4,Image 1,1,12,
110.157,,Surface,4,Image 1,1,13,
97.9225,,Surface,4,Image 1,1,14,
120.317,,Surface,4,Image 1,1,15,
132.05,,Surface,4,Image 1,1,16,
124.373,,Surface,4,Image 1,1,17,
143.687,,Surface,4,Image 1,1,18,
187.036,,Surface,4,Image 1,1,19,
130.933,,Surface,4,Image 1,1,20,
158.778,,Surface,4,Image 1,1,21,
130.031,,Surface,4,Image 1,1,22,
111.376,,Surface,4,Image 1,1,23,
88.4376,,Surface,4,Image 1,1,24,
87.5886,,Surface,4,Image 1,1,25,
89.523,,Surface,4,Image 1,1,26,
239.615,,Surface,4,Image 1,1,27,
195.971,,Surface,4,Image 1,1,28,
209.702,,Surface,4,Image 1,1,29,
