
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-9356.34,55.5003,144.236,um,Surface,Position,1,0,
-9337.15,50.0255,140.487,um,Surface,Position,1,1,
-9350.68,55.385,145.055,um,Surface,Position,1,2,
-9336.65,46.9274,144.811,um,Surface,Position,1,3,
-9338.28,26.9805,147.838,um,Surface,Position,1,4,
-9334.23,32.1456,149.466,um,Surface,Position,1,5,
-9348.72,33.0945,150.001,um,Surface,Position,1,6,
-9319.64,39.927,134.209,um,Surface,Position,1,7,
-9311.16,24.5922,138.341,um,Surface,Position,1,8,
-9304.61,24.7618,140.875,um,Surface,Position,1,9,
-9309.11,29.4289,143.233,um,Surface,Position,1,10,
-9310.47,34.1334,143.335,um,Surface,Position,1,11,
-9314.42,35.2257,143.392,um,Surface,Position,1,12,
-9320.8,27.0836,144.777,um,Surface,Position,1,13,
-9313.54,30.9902,148.496,um,Surface,Position,1,14,
-9317.91,31.8489,148.742,um,Surface,Position,1,15,
-9325.28,28.4987,149.449,um,Surface,Position,1,16,
-9322.36,33.0284,149.159,um,Surface,Position,1,17,
-9309.09,25.7641,150.735,um,Surface,Position,1,18,
-9314.91,27.0099,149.495,um,Surface,Position,1,19,
-9300.73,11.1322,142.607,um,Surface,Position,1,20,
-9300.79,16.1027,145.58,um,Surface,Position,1,21,
-9302.56,20.8231,146.212,um,Surface,Position,1,22,
-9355.58,-0.091158,135.67,um,Surface,Position,1,23,
-9363.44,21.8844,135.967,um,Surface,Position,1,24,
-9344.83,21.4314,133.883,um,Surface,Position,1,25,
-9333.53,12.9214,136.581,um,Surface,Position,1,26,
-9348.98,21.8685,140.356,um,Surface,Position,1,27,
-9336.95,14.9552,141.215,um,Surface,Position,1,28,
-9331.14,0.319924,142.039,um,Surface,Position,1,29,
-9307.02,13.8775,139.278,um,Surface,Position,1,30,
-9310.22,18.4899,141.996,um,Surface,Position,1,31,
-9323.24,20.5363,142.574,um,Surface,Position,1,32,
-9309.49,23.4516,145.081,um,Surface,Position,1,33,
-9306.16,9.46455,147.818,um,Surface,Position,1,34,
-9316.4,-8.61119,152.36,um,Surface,Position,1,35,
-9334.31,-20.3541,137.261,um,Surface,Position,1,36,
-9334.15,-7.19889,136.189,um,Surface,Position,1,37,
-9337.17,-9.92993,137.604,um,Surface,Position,1,38,
-9339.72,-15.7445,136.43,um,Surface,Position,1,39,
-9344.94,-9.28867,140.106,um,Surface,Position,1,40,
-9350.41,-5.96592,140.346,um,Surface,Position,1,41,
-9363.83,19.104,129.097,um,Surface,Position,1,42,
-9328.53,-1.97153,130.896,um,Surface,Position,1,43,
-9352.78,-3.5266,132.154,um,Surface,Position,1,44,
