
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
27,,Surface,2,Image 1,1,0,
27,,Surface,2,Image 1,1,1,
40,,Surface,2,Image 1,1,2,
51,,Surface,2,Image 1,1,3,
30,,Surface,2,Image 1,1,4,
24,,Surface,2,Image 1,1,5,
25,,Surface,2,Image 1,1,6,
20,,Surface,2,Image 1,1,7,
26,,Surface,2,Image 1,1,8,
28,,Surface,2,Image 1,1,9,
27,,Surface,2,Image 1,1,10,
20,,Surface,2,Image 1,1,11,
28,,Surface,2,Image 1,1,12,
19,,Surface,2,Image 1,1,13,
20,,Surface,2,Image 1,1,14,
20,,Surface,2,Image 1,1,15,
17,,Surface,2,Image 1,1,16,
33,,Surface,2,Image 1,1,17,
20,,Surface,2,Image 1,1,18,
43,,Surface,2,Image 1,1,19,
18,,Surface,2,Image 1,1,20,
17,,Surface,2,Image 1,1,21,
25,,Surface,2,Image 1,1,22,
18,,Surface,2,Image 1,1,23,
27,,Surface,2,Image 1,1,24,
22,,Surface,2,Image 1,1,25,
17,,Surface,2,Image 1,1,26,
18,,Surface,2,Image 1,1,27,
20,,Surface,2,Image 1,1,28,
21,,Surface,2,Image 1,1,29,
31,,Surface,2,Image 1,1,30,
20,,Surface,2,Image 1,1,31,
17,,Surface,2,Image 1,1,32,
20,,Surface,2,Image 1,1,33,
21,,Surface,2,Image 1,1,34,
39,,Surface,2,Image 1,1,35,
35,,Surface,2,Image 1,1,36,
18,,Surface,2,Image 1,1,37,
20,,Surface,2,Image 1,1,38,
22,,Surface,2,Image 1,1,39,
23,,Surface,2,Image 1,1,40,
28,,Surface,2,Image 1,1,41,
18,,Surface,2,Image 1,1,42,
18,,Surface,2,Image 1,1,43,
20,,Surface,2,Image 1,1,44,
