
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.21501,,Surface,3,Image 1,1,0,
2.09232,,Surface,3,Image 1,1,1,
2.07555,,Surface,3,Image 1,1,2,
2.26142,,Surface,3,Image 1,1,3,
2.01854,,Surface,3,Image 1,1,4,
2.07106,,Surface,3,Image 1,1,5,
2.031,,Surface,3,Image 1,1,6,
1.9993,,Surface,3,Image 1,1,7,
3.42116,,Surface,3,Image 1,1,8,
3.65153,,Surface,3,Image 1,1,9,
3.05379,,Surface,3,Image 1,1,10,
2.72006,,Surface,3,Image 1,1,11,
2.84622,,Surface,3,Image 1,1,12,
2.13388,,Surface,3,Image 1,1,13,
3.89386,,Surface,3,Image 1,1,14,
3.24853,,Surface,3,Image 1,1,15,
2.00107,,Surface,3,Image 1,1,16,
2.26895,,Surface,3,Image 1,1,17,
2.95843,,Surface,3,Image 1,1,18,
3.67854,,Surface,3,Image 1,1,19,
2.83245,,Surface,3,Image 1,1,20,
2.18086,,Surface,3,Image 1,1,21,
3.44495,,Surface,3,Image 1,1,22,
3.06238,,Surface,3,Image 1,1,23,
3.10328,,Surface,3,Image 1,1,24,
4.19049,,Surface,3,Image 1,1,25,
3.93753,,Surface,3,Image 1,1,26,
3.96607,,Surface,3,Image 1,1,27,
4.5912,,Surface,3,Image 1,1,28,
5.30093,,Surface,3,Image 1,1,29,
2.34814,,Surface,3,Image 1,1,30,
3.86227,,Surface,3,Image 1,1,31,
2.81906,,Surface,3,Image 1,1,32,
4.00209,,Surface,3,Image 1,1,33,
2.72152,,Surface,3,Image 1,1,34,
2.51264,,Surface,3,Image 1,1,35,
2.27694,,Surface,3,Image 1,1,36,
4.30165,,Surface,3,Image 1,1,37,
4.26526,,Surface,3,Image 1,1,38,
2.46236,,Surface,3,Image 1,1,39,
3.45449,,Surface,3,Image 1,1,40,
2.98534,,Surface,3,Image 1,1,41,
2.92751,,Surface,3,Image 1,1,42,
4.17701,,Surface,3,Image 1,1,43,
2.47252,,Surface,3,Image 1,1,44,
