
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.26583,,Surface,4,Image 1,1,0,
3.32686,,Surface,4,Image 1,1,1,
2.64095,,Surface,4,Image 1,1,2,
8.76726,,Surface,4,Image 1,1,3,
7.22574,,Surface,4,Image 1,1,4,
4.02866,,Surface,4,Image 1,1,5,
8.14948,,Surface,4,Image 1,1,6,
8.02643,,Surface,4,Image 1,1,7,
4.60024,,Surface,4,Image 1,1,8,
10.4082,,Surface,4,Image 1,1,9,
5.55405,,Surface,4,Image 1,1,10,
2.40577,,Surface,4,Image 1,1,11,
3.30685,,Surface,4,Image 1,1,12,
5.61081,,Surface,4,Image 1,1,13,
10.5593,,Surface,4,Image 1,1,14,
12.7012,,Surface,4,Image 1,1,15,
7.99082,,Surface,4,Image 1,1,16,
9.52354,,Surface,4,Image 1,1,17,
2.24942,,Surface,4,Image 1,1,18,
