
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
23,,Surface,2,Image 1,1,0,
50,,Surface,2,Image 1,1,1,
40,,Surface,2,Image 1,1,2,
25,,Surface,2,Image 1,1,3,
26,,Surface,2,Image 1,1,4,
29,,Surface,2,Image 1,1,5,
20,,Surface,2,Image 1,1,6,
22,,Surface,2,Image 1,1,7,
25,,Surface,2,Image 1,1,8,
23,,Surface,2,Image 1,1,9,
20,,Surface,2,Image 1,1,10,
22,,Surface,2,Image 1,1,11,
22,,Surface,2,Image 1,1,12,
25,,Surface,2,Image 1,1,13,
23,,Surface,2,Image 1,1,14,
26,,Surface,2,Image 1,1,15,
20,,Surface,2,Image 1,1,16,
21,,Surface,2,Image 1,1,17,
23,,Surface,2,Image 1,1,18,
31,,Surface,2,Image 1,1,19,
21,,Surface,2,Image 1,1,20,
24,,Surface,2,Image 1,1,21,
22,,Surface,2,Image 1,1,22,
29,,Surface,2,Image 1,1,23,
20,,Surface,2,Image 1,1,24,
26,,Surface,2,Image 1,1,25,
25,,Surface,2,Image 1,1,26,
32,,Surface,2,Image 1,1,27,
23,,Surface,2,Image 1,1,28,
25,,Surface,2,Image 1,1,29,
23,,Surface,2,Image 1,1,30,
23,,Surface,2,Image 1,1,31,
24,,Surface,2,Image 1,1,32,
37,,Surface,2,Image 1,1,33,
24,,Surface,2,Image 1,1,34,
25,,Surface,2,Image 1,1,35,
23,,Surface,2,Image 1,1,36,
22,,Surface,2,Image 1,1,37,
30,,Surface,2,Image 1,1,38,
20,,Surface,2,Image 1,1,39,
25,,Surface,2,Image 1,1,40,
23,,Surface,2,Image 1,1,41,
20,,Surface,2,Image 1,1,42,
21,,Surface,2,Image 1,1,43,
27,,Surface,2,Image 1,1,44,
20,,Surface,2,Image 1,1,45,
21,,Surface,2,Image 1,1,46,
22,,Surface,2,Image 1,1,47,
21,,Surface,2,Image 1,1,48,
22,,Surface,2,Image 1,1,49,
26,,Surface,2,Image 1,1,50,
21,,Surface,2,Image 1,1,51,
24,,Surface,2,Image 1,1,52,
36,,Surface,2,Image 1,1,53,
32,,Surface,2,Image 1,1,54,
22,,Surface,2,Image 1,1,55,
