
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-9684.09,3163.69,167.002,um,Surface,Position,1,0,
-9659.96,3128.43,166.338,um,Surface,Position,1,1,
-9672.77,3125.99,169.301,um,Surface,Position,1,2,
-9664.31,3133.78,161.683,um,Surface,Position,1,3,
-9661.19,3120.44,167.026,um,Surface,Position,1,4,
-9663.55,3140.37,163.917,um,Surface,Position,1,5,
-9667.56,3149.41,166.077,um,Surface,Position,1,6,
-9676.76,3157.45,165.347,um,Surface,Position,1,7,
-9703.53,3180.74,160.277,um,Surface,Position,1,8,
-9683.18,3169.99,159.445,um,Surface,Position,1,9,
-9720.07,3103.29,163.899,um,Surface,Position,1,10,
-9736.35,3121.89,160.725,um,Surface,Position,1,11,
-9720.86,3113.34,159.319,um,Surface,Position,1,12,
-9726.38,3113.96,159.93,um,Surface,Position,1,13,
-9695.24,3152.46,159.099,um,Surface,Position,1,14,
-9698.3,3139.5,160.565,um,Surface,Position,1,15,
-9719.96,3108.06,160.517,um,Surface,Position,1,16,
-9694.36,3117.05,160.665,um,Surface,Position,1,17,
-9687.07,3131.86,166.389,um,Surface,Position,1,18,
-9679.43,3156.73,159.719,um,Surface,Position,1,19,
-9665.1,3125.7,160.376,um,Surface,Position,1,20,
-9669.27,3151.84,159.147,um,Surface,Position,1,21,
-9663.4,3151.78,160.41,um,Surface,Position,1,22,
-9659.82,3145.04,162.904,um,Surface,Position,1,23,
-9689.73,3159.07,152.786,um,Surface,Position,1,24,
-9676.94,3162.42,156.234,um,Surface,Position,1,25,
-9744.86,3116,158.392,um,Surface,Position,1,26,
-9725.51,3149.79,152.805,um,Surface,Position,1,27,
-9691.29,3133.13,152.615,um,Surface,Position,1,28,
-9696.36,3130.92,153.909,um,Surface,Position,1,29,
-9726.57,3109.12,156.352,um,Surface,Position,1,30,
-9698.47,3147.2,156.571,um,Surface,Position,1,31,
-9709.13,3150.5,156.048,um,Surface,Position,1,32,
-9697.77,3155.69,156.084,um,Surface,Position,1,33,
-9732.89,3116.48,155.971,um,Surface,Position,1,34,
-9693.01,3143.61,156.179,um,Surface,Position,1,35,
-9703.01,3140.68,158.25,um,Surface,Position,1,36,
-9703.53,3148.76,158.667,um,Surface,Position,1,37,
-9690.44,3126.36,159.471,um,Surface,Position,1,38,
-9671.71,3136.7,153.045,um,Surface,Position,1,39,
-9685.19,3140.03,153.428,um,Surface,Position,1,40,
-9660.24,3144.03,153.477,um,Surface,Position,1,41,
-9671.12,3125.82,155.799,um,Surface,Position,1,42,
-9685.65,3145.23,155.972,um,Surface,Position,1,43,
-9661.28,3148.92,155.98,um,Surface,Position,1,44,
-9673.77,3155.26,156.32,um,Surface,Position,1,45,
-9684.86,3127.56,156.925,um,Surface,Position,1,46,
-9656.71,3134.55,157.063,um,Surface,Position,1,47,
-9685.29,3154.39,158.768,um,Surface,Position,1,48,
-9666.49,3156.74,158.335,um,Surface,Position,1,49,
-9700.01,3162.38,146.529,um,Surface,Position,1,50,
-9692.73,3159.9,147.53,um,Surface,Position,1,51,
-9698.44,3158.92,148.814,um,Surface,Position,1,52,
-9707.58,3162.39,149.016,um,Surface,Position,1,53,
-9685.84,3162.98,151.534,um,Surface,Position,1,54,
-9681.33,3166.57,152.69,um,Surface,Position,1,55,
-9693.45,3094.81,154.288,um,Surface,Position,1,56,
-9714.29,3106.17,158.502,um,Surface,Position,1,57,
-9727.9,3118.5,150.92,um,Surface,Position,1,58,
-9693.26,3128.6,148.729,um,Surface,Position,1,59,
-9735.75,3122.79,150.858,um,Surface,Position,1,60,
-9697.69,3142.89,150.264,um,Surface,Position,1,61,
-9706.33,3148.23,150.873,um,Surface,Position,1,62,
-9696.21,3134.78,152.449,um,Surface,Position,1,63,
-9690.08,3141.75,150.775,um,Surface,Position,1,64,
-9690.46,3148.46,151.899,um,Surface,Position,1,65,
-9697.47,3118.61,151.65,um,Surface,Position,1,66,
-9693.38,3123.29,151.274,um,Surface,Position,1,67,
-9710.37,3124.77,151.674,um,Surface,Position,1,68,
-9688.87,3128.43,151.275,um,Surface,Position,1,69,
-9683.23,3131.86,146.056,um,Surface,Position,1,70,
-9664.91,3142.59,146.223,um,Surface,Position,1,71,
-9680.45,3154.26,145.477,um,Surface,Position,1,72,
-9672.05,3135.44,145.716,um,Surface,Position,1,73,
-9686.15,3139.71,145.64,um,Surface,Position,1,74,
-9673.54,3151.25,148.132,um,Surface,Position,1,75,
-9685.77,3146.65,147.84,um,Surface,Position,1,76,
-9666.88,3136.62,148.335,um,Surface,Position,1,77,
-9669.65,3154.29,148.09,um,Surface,Position,1,78,
-9685.33,3158.26,148.137,um,Surface,Position,1,79,
-9677.05,3134.99,149.703,um,Surface,Position,1,80,
-9665.05,3146.51,153.285,um,Surface,Position,1,81,
-9680.6,3148.78,149.223,um,Surface,Position,1,82,
-9672.11,3145.97,150.236,um,Surface,Position,1,83,
-9681.12,3157.6,151.414,um,Surface,Position,1,84,
-9679,3141.69,151.674,um,Surface,Position,1,85,
-9713.97,3102.22,151.459,um,Surface,Position,1,86,
-9703.95,3107.16,149.745,um,Surface,Position,1,87,
-9709.54,3106.76,150.992,um,Surface,Position,1,88,
