
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
10.5554,,Surface,4,Image 1,1,0,
6.92972,,Surface,4,Image 1,1,1,
7.47964,,Surface,4,Image 1,1,2,
8.78697,,Surface,4,Image 1,1,3,
4.83438,,Surface,4,Image 1,1,4,
9.34479,,Surface,4,Image 1,1,5,
12.2431,,Surface,4,Image 1,1,6,
7.62068,,Surface,4,Image 1,1,7,
4.45123,,Surface,4,Image 1,1,8,
5.30311,,Surface,4,Image 1,1,9,
5.43289,,Surface,4,Image 1,1,10,
5.10966,,Surface,4,Image 1,1,11,
7.11286,,Surface,4,Image 1,1,12,
11.5317,,Surface,4,Image 1,1,13,
6.37017,,Surface,4,Image 1,1,14,
4.39319,,Surface,4,Image 1,1,15,
9.49802,,Surface,4,Image 1,1,16,
10.3684,,Surface,4,Image 1,1,17,
11.8598,,Surface,4,Image 1,1,18,
14.9267,,Surface,4,Image 1,1,19,
10.244,,Surface,4,Image 1,1,20,
14.1911,,Surface,4,Image 1,1,21,
