
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-8257.41,-1868.07,119.936,um,Surface,Position,1,0,
-8240.25,-1859.39,118.679,um,Surface,Position,1,1,
-8244.41,-1867.63,121.209,um,Surface,Position,1,2,
-8225.75,-1869.15,117.816,um,Surface,Position,1,3,
-8235.34,-1871.14,119.204,um,Surface,Position,1,4,
-8242.44,-1872.92,121.304,um,Surface,Position,1,5,
-8231.24,-1886.73,119.31,um,Surface,Position,1,6,
-8220.37,-1883.13,117.308,um,Surface,Position,1,7,
-8230.59,-1874.51,120.052,um,Surface,Position,1,8,
-8246.42,-1902.33,116.924,um,Surface,Position,1,9,
-8245.79,-1895.43,122.834,um,Surface,Position,1,10,
-8224.06,-1902.32,122.801,um,Surface,Position,1,11,
-8233.2,-1870.2,111.229,um,Surface,Position,1,12,
-8247.38,-1867.28,114.15,um,Surface,Position,1,13,
-8224.61,-1865.26,105.123,um,Surface,Position,1,14,
-8224.95,-1862.92,111.997,um,Surface,Position,1,15,
-8228.26,-1863.78,117.162,um,Surface,Position,1,16,
-8230.68,-1873.06,113.193,um,Surface,Position,1,17,
-8207.9,-1883.92,114.986,um,Surface,Position,1,18,
-8216.37,-1878.59,115.725,um,Surface,Position,1,19,
-8226.47,-1881.98,115.779,um,Surface,Position,1,20,
-8213.57,-1874.58,116.011,um,Surface,Position,1,21,
-8238.08,-1883.01,95.1705,um,Surface,Position,1,22,
-8231.99,-1892.09,96.9084,um,Surface,Position,1,23,
-8248,-1873.45,97.8375,um,Surface,Position,1,24,
-8240.05,-1893.34,102.192,um,Surface,Position,1,25,
-8238.94,-1879.82,102.083,um,Surface,Position,1,26,
-8252.48,-1871.71,104.168,um,Surface,Position,1,27,
-8240.29,-1876.05,105.854,um,Surface,Position,1,28,
-8235.31,-1885.58,106.132,um,Surface,Position,1,29,
-8238.75,-1871.1,107.603,um,Surface,Position,1,30,
-8234.65,-1895.1,108.83,um,Surface,Position,1,31,
-8246.55,-1895.04,109.03,um,Surface,Position,1,32,
-8233.36,-1882.01,111.166,um,Surface,Position,1,33,
-8247.75,-1881.1,112.041,um,Surface,Position,1,34,
-8246.19,-1876.32,111.62,um,Surface,Position,1,35,
-8238.07,-1878.67,112.789,um,Surface,Position,1,36,
-8251.61,-1870.43,115.01,um,Surface,Position,1,37,
-8243.42,-1870.97,114.995,um,Surface,Position,1,38,
-8235.92,-1875.9,114.644,um,Surface,Position,1,39,
-8247.12,-1875.85,117.063,um,Surface,Position,1,40,
-8223.09,-1890.17,100.474,um,Surface,Position,1,41,
-8210.99,-1871.29,101.477,um,Surface,Position,1,42,
-8229.95,-1884.61,105.064,um,Surface,Position,1,43,
-8212.37,-1883.67,105.902,um,Surface,Position,1,44,
-8205.83,-1910.98,96.6692,um,Surface,Position,1,45,
-8261.25,-1908.94,90.2467,um,Surface,Position,1,46,
-8271.28,-1905.18,91.9418,um,Surface,Position,1,47,
-8264.13,-1914.21,93.2052,um,Surface,Position,1,48,
-8272.68,-1909.67,94.4304,um,Surface,Position,1,49,
-8276.7,-1901.22,95.0977,um,Surface,Position,1,50,
-8263.82,-1920.1,95.5461,um,Surface,Position,1,51,
-8269.55,-1915.75,98.6189,um,Surface,Position,1,52,
-8260.6,-1906.53,99.348,um,Surface,Position,1,53,
-8265.1,-1911.98,100.407,um,Surface,Position,1,54,
-8270.57,-1903.58,101.27,um,Surface,Position,1,55,
-8261.01,-1910.35,101.747,um,Surface,Position,1,56,
-8258.53,-1915.37,102.089,um,Surface,Position,1,57,
-8268.28,-1910.33,102.341,um,Surface,Position,1,58,
-8272.28,-1906.56,104.943,um,Surface,Position,1,59,
-8265.35,-1906.14,105.26,um,Surface,Position,1,60,
-8239.51,-1912.77,88.322,um,Surface,Position,1,61,
-8240.94,-1908.31,89.6278,um,Surface,Position,1,62,
-8255.73,-1904.98,92.1553,um,Surface,Position,1,63,
-8239.24,-1916.21,95.6823,um,Surface,Position,1,64,
-8244.23,-1913.69,95.6487,um,Surface,Position,1,65,
-8243.35,-1908.85,97.4847,um,Surface,Position,1,66,
-8254.97,-1919.19,98.3009,um,Surface,Position,1,67,
-8253.18,-1913.82,97.5894,um,Surface,Position,1,68,
-8249.22,-1917.6,97.6132,um,Surface,Position,1,69,
-8242.75,-1905.26,99.714,um,Surface,Position,1,70,
-8235.12,-1896.84,101.281,um,Surface,Position,1,71,
-8251.22,-1902.3,103.519,um,Surface,Position,1,72,
-8253.44,-1910.73,103.675,um,Surface,Position,1,73,
-8246.89,-1902.48,105.439,um,Surface,Position,1,74,
-8231.82,-1919.26,98.5289,um,Surface,Position,1,75,
-8212.4,-1898.13,105.61,um,Surface,Position,1,76,
-8211.09,-1899.46,113.144,um,Surface,Position,1,77,
-8281.87,-1910.76,95.616,um,Surface,Position,1,78,
-8248.07,-1922.93,89.734,um,Surface,Position,1,79,
-8256.83,-1921.61,92.6276,um,Surface,Position,1,80,
-8247.71,-1915.35,88.2532,um,Surface,Position,1,81,
-8251.94,-1910.08,89.5361,um,Surface,Position,1,82,
-8210.97,-1878.22,110.812,um,Surface,Position,1,83,
-8223.89,-1876.92,118.237,um,Surface,Position,1,84,
-8220.16,-1874.52,119.744,um,Surface,Position,1,85,
