
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
13,,Surface,2,Image 1,1,0,
48,,Surface,2,Image 1,1,1,
30,,Surface,2,Image 1,1,2,
15,,Surface,2,Image 1,1,3,
18,,Surface,2,Image 1,1,4,
13,,Surface,2,Image 1,1,5,
18,,Surface,2,Image 1,1,6,
15,,Surface,2,Image 1,1,7,
13,,Surface,2,Image 1,1,8,
13,,Surface,2,Image 1,1,9,
17,,Surface,2,Image 1,1,10,
20,,Surface,2,Image 1,1,11,
21,,Surface,2,Image 1,1,12,
14,,Surface,2,Image 1,1,13,
20,,Surface,2,Image 1,1,14,
13,,Surface,2,Image 1,1,15,
22,,Surface,2,Image 1,1,16,
15,,Surface,2,Image 1,1,17,
16,,Surface,2,Image 1,1,18,
18,,Surface,2,Image 1,1,19,
13,,Surface,2,Image 1,1,20,
20,,Surface,2,Image 1,1,21,
