
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.2428,,Surface,3,Image 1,1,0,
3.59925,,Surface,3,Image 1,1,1,
2.52172,,Surface,3,Image 1,1,2,
2.13162,,Surface,3,Image 1,1,3,
2.11113,,Surface,3,Image 1,1,4,
1.99033,,Surface,3,Image 1,1,5,
2.5285,,Surface,3,Image 1,1,6,
4.0945,,Surface,3,Image 1,1,7,
4.1373,,Surface,3,Image 1,1,8,
2.90019,,Surface,3,Image 1,1,9,
4.10425,,Surface,3,Image 1,1,10,
2.02249,,Surface,3,Image 1,1,11,
2.79057,,Surface,3,Image 1,1,12,
2.05947,,Surface,3,Image 1,1,13,
2.2856,,Surface,3,Image 1,1,14,
2.76805,,Surface,3,Image 1,1,15,
2.47301,,Surface,3,Image 1,1,16,
2.44503,,Surface,3,Image 1,1,17,
3.06438,,Surface,3,Image 1,1,18,
4.02905,,Surface,3,Image 1,1,19,
3.57784,,Surface,3,Image 1,1,20,
2.69774,,Surface,3,Image 1,1,21,
1.91313,,Surface,3,Image 1,1,22,
2.48785,,Surface,3,Image 1,1,23,
4.49818,,Surface,3,Image 1,1,24,
4.03009,,Surface,3,Image 1,1,25,
3.25954,,Surface,3,Image 1,1,26,
3.65283,,Surface,3,Image 1,1,27,
2.70364,,Surface,3,Image 1,1,28,
3.31687,,Surface,3,Image 1,1,29,
3.48445,,Surface,3,Image 1,1,30,
3.34186,,Surface,3,Image 1,1,31,
2.81035,,Surface,3,Image 1,1,32,
2.63293,,Surface,3,Image 1,1,33,
3.66266,,Surface,3,Image 1,1,34,
2.6029,,Surface,3,Image 1,1,35,
1.97407,,Surface,3,Image 1,1,36,
4,,Surface,3,Image 1,1,37,
2.93059,,Surface,3,Image 1,1,38,
2.37823,,Surface,3,Image 1,1,39,
4.02718,,Surface,3,Image 1,1,40,
2.37698,,Surface,3,Image 1,1,41,
2.63346,,Surface,3,Image 1,1,43,
3.79277,,Surface,3,Image 1,1,44,
4.95892,,Surface,3,Image 1,1,45,
2.25356,,Surface,3,Image 1,1,46,
2.96637,,Surface,3,Image 1,1,47,
4.61169,,Surface,3,Image 1,1,48,
3.26244,,Surface,3,Image 1,1,49,
2.66555,,Surface,3,Image 1,1,50,
2.81038,,Surface,3,Image 1,1,51,
1.88877,,Surface,3,Image 1,1,52,
2.4261,,Surface,3,Image 1,1,54,
2.77292,,Surface,3,Image 1,1,55,
2.06373,,Surface,3,Image 1,1,56,
1.97368,,Surface,3,Image 1,1,57,
2.78723,,Surface,3,Image 1,1,58,
3.58435,,Surface,3,Image 1,1,59,
2.19678,,Surface,3,Image 1,1,60,
3.29978,,Surface,3,Image 1,1,61,
4.15406,,Surface,3,Image 1,1,62,
2.11134,,Surface,3,Image 1,1,63,
2.03529,,Surface,3,Image 1,1,64,
3.02439,,Surface,3,Image 1,1,65,
