
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
18,,Surface,2,Image 1,1,0,
26,,Surface,2,Image 1,1,1,
18,,Surface,2,Image 1,1,2,
31,,Surface,2,Image 1,1,3,
25,,Surface,2,Image 1,1,4,
20,,Surface,2,Image 1,1,5,
38,,Surface,2,Image 1,1,6,
41,,Surface,2,Image 1,1,7,
25,,Surface,2,Image 1,1,8,
40,,Surface,2,Image 1,1,9,
19,,Surface,2,Image 1,1,10,
40,,Surface,2,Image 1,1,11,
20,,Surface,2,Image 1,1,12,
22,,Surface,2,Image 1,1,13,
28,,Surface,2,Image 1,1,14,
39,,Surface,2,Image 1,1,15,
32,,Surface,2,Image 1,1,16,
36,,Surface,2,Image 1,1,17,
22,,Surface,2,Image 1,1,18,
18,,Surface,2,Image 1,1,19,
37,,Surface,2,Image 1,1,20,
36,,Surface,2,Image 1,1,21,
32,,Surface,2,Image 1,1,22,
21,,Surface,2,Image 1,1,23,
40,,Surface,2,Image 1,1,24,
29,,Surface,2,Image 1,1,25,
29,,Surface,2,Image 1,1,26,
19,,Surface,2,Image 1,1,27,
43,,Surface,2,Image 1,1,28,
21,,Surface,2,Image 1,1,29,
73,,Surface,2,Image 1,1,30,
75,,Surface,2,Image 1,1,31,
30,,Surface,2,Image 1,1,32,
23,,Surface,2,Image 1,1,33,
23,,Surface,2,Image 1,1,34,
26,,Surface,2,Image 1,1,35,
22,,Surface,2,Image 1,1,36,
21,,Surface,2,Image 1,1,37,
23,,Surface,2,Image 1,1,38,
32,,Surface,2,Image 1,1,39,
19,,Surface,2,Image 1,1,40,
22,,Surface,2,Image 1,1,41,
20,,Surface,2,Image 1,1,42,
21,,Surface,2,Image 1,1,43,
19,,Surface,2,Image 1,1,44,
18,,Surface,2,Image 1,1,45,
40,,Surface,2,Image 1,1,46,
23,,Surface,2,Image 1,1,47,
47,,Surface,2,Image 1,1,48,
45,,Surface,2,Image 1,1,49,
21,,Surface,2,Image 1,1,50,
30,,Surface,2,Image 1,1,51,
24,,Surface,2,Image 1,1,52,
42,,Surface,2,Image 1,1,53,
28,,Surface,2,Image 1,1,54,
27,,Surface,2,Image 1,1,55,
28,,Surface,2,Image 1,1,56,
25,,Surface,2,Image 1,1,57,
38,,Surface,2,Image 1,1,58,
35,,Surface,2,Image 1,1,59,
23,,Surface,2,Image 1,1,60,
19,,Surface,2,Image 1,1,61,
21,,Surface,2,Image 1,1,62,
22,,Surface,2,Image 1,1,63,
26,,Surface,2,Image 1,1,64,
21,,Surface,2,Image 1,1,65,
19,,Surface,2,Image 1,1,66,
