
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
159.13,123.664,22.2751,um,Surface,Position,1,0,
153.617,125.774,20.933,um,Surface,Position,1,1,
158.262,129.52,22.1528,um,Surface,Position,1,2,
150.858,131.404,26.3972,um,Surface,Position,1,3,
148.519,127.275,27.0001,um,Surface,Position,1,4,
146.672,123.31,30.6181,um,Surface,Position,1,5,
162.085,127.376,30.0462,um,Surface,Position,1,6,
153.989,121.676,32.4319,um,Surface,Position,1,7,
158.753,130.754,35.528,um,Surface,Position,1,8,
140.556,125.078,28.2698,um,Surface,Position,1,9,
136.649,126.425,26.5525,um,Surface,Position,1,10,
144.325,131.276,29.2538,um,Surface,Position,1,11,
132.681,126.532,32.8685,um,Surface,Position,1,12,
171.744,104.427,29.2507,um,Surface,Position,1,13,
170.641,94.1316,29.8393,um,Surface,Position,1,14,
128.717,96.3021,23.8785,um,Surface,Position,1,15,
122.782,95.9441,23.3032,um,Surface,Position,1,16,
142.755,93.153,25.1586,um,Surface,Position,1,17,
133.44,94.4419,27.9237,um,Surface,Position,1,18,
124.137,97.1772,30.6249,um,Surface,Position,1,19,
130.179,95.3453,31.827,um,Surface,Position,1,20,
141.724,96.7247,32.1985,um,Surface,Position,1,21,
143.142,102.842,34.449,um,Surface,Position,1,22,
143.635,95.0771,37.173,um,Surface,Position,1,23,
147.249,111.426,17.1371,um,Surface,Position,1,24,
147.147,103.847,20.2793,um,Surface,Position,1,25,
164.747,102.399,21.263,um,Surface,Position,1,26,
151.943,106.682,21.1279,um,Surface,Position,1,27,
159.158,102.958,20.9865,um,Surface,Position,1,28,
156.55,106.607,21.6148,um,Surface,Position,1,29,
160.389,111.355,21.8287,um,Surface,Position,1,30,
164.306,111.754,24.8269,um,Surface,Position,1,31,
167.421,97.3356,25.2486,um,Surface,Position,1,32,
147.496,108.068,25.7561,um,Surface,Position,1,33,
147.987,114.11,26.519,um,Surface,Position,1,34,
158.575,111.994,27.4198,um,Surface,Position,1,35,
162.995,108.475,28.7486,um,Surface,Position,1,36,
146.698,94.6888,28.289,um,Surface,Position,1,37,
163.317,103.238,28.9363,um,Surface,Position,1,38,
168.277,108.784,29.2639,um,Surface,Position,1,39,
155.629,106.086,30.8427,um,Surface,Position,1,40,
148.623,99.1455,31.8778,um,Surface,Position,1,41,
152.244,94.391,33.9776,um,Surface,Position,1,42,
159.829,109.658,33.1479,um,Surface,Position,1,43,
117.764,99.545,26.4803,um,Surface,Position,1,44,
118.566,104.797,24.6579,um,Surface,Position,1,45,
138.267,91.1365,41.5207,um,Surface,Position,1,46,
147.968,89.079,21.9836,um,Surface,Position,1,47,
152.071,89.9554,28.5135,um,Surface,Position,1,48,
145.893,89.4746,29.3235,um,Surface,Position,1,49,
146.511,89.982,36.1576,um,Surface,Position,1,50,
140.016,87.7528,20.5478,um,Surface,Position,1,51,
136.06,90.8014,24.9712,um,Surface,Position,1,52,
125.25,91.4937,22.9184,um,Surface,Position,1,53,
130.589,89.9604,23.7329,um,Surface,Position,1,54,
127.305,86.5354,24.6467,um,Surface,Position,1,55,
140.748,87.7916,26.4019,um,Surface,Position,1,56,
135.962,84.4878,28.3006,um,Surface,Position,1,57,
125.439,89.7253,30.8757,um,Surface,Position,1,59,
129.268,91.4326,30.9023,um,Surface,Position,1,60,
132.657,85.3417,33.5878,um,Surface,Position,1,61,
140.241,86.8401,34.5329,um,Surface,Position,1,62,
134.533,88.7828,35.0896,um,Surface,Position,1,63,
159.163,103.858,12.3756,um,Surface,Position,1,64,
