
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
23,,Surface,2,Image 1,1,0,
20,,Surface,2,Image 1,1,1,
23,,Surface,2,Image 1,1,2,
14,,Surface,2,Image 1,1,3,
17,,Surface,2,Image 1,1,4,
20,,Surface,2,Image 1,1,5,
20,,Surface,2,Image 1,1,6,
19,,Surface,2,Image 1,1,7,
41,,Surface,2,Image 1,1,8,
14,,Surface,2,Image 1,1,9,
13,,Surface,2,Image 1,1,10,
21,,Surface,2,Image 1,1,11,
22,,Surface,2,Image 1,1,12,
15,,Surface,2,Image 1,1,13,
13,,Surface,2,Image 1,1,14,
12,,Surface,2,Image 1,1,15,
22,,Surface,2,Image 1,1,16,
13,,Surface,2,Image 1,1,17,
25,,Surface,2,Image 1,1,18,
14,,Surface,2,Image 1,1,19,
12,,Surface,2,Image 1,1,20,
13,,Surface,2,Image 1,1,21,
14,,Surface,2,Image 1,1,22,
14,,Surface,2,Image 1,1,23,
12,,Surface,2,Image 1,1,24,
16,,Surface,2,Image 1,1,25,
30,,Surface,2,Image 1,1,26,
13,,Surface,2,Image 1,1,27,
18,,Surface,2,Image 1,1,28,
17,,Surface,2,Image 1,1,29,
13,,Surface,2,Image 1,1,30,
23,,Surface,2,Image 1,1,31,
15,,Surface,2,Image 1,1,32,
29,,Surface,2,Image 1,1,33,
15,,Surface,2,Image 1,1,34,
14,,Surface,2,Image 1,1,35,
14,,Surface,2,Image 1,1,36,
58,,Surface,2,Image 1,1,37,
30,,Surface,2,Image 1,1,38,
25,,Surface,2,Image 1,1,39,
12,,Surface,2,Image 1,1,40,
14,,Surface,2,Image 1,1,41,
15,,Surface,2,Image 1,1,42,
28,,Surface,2,Image 1,1,43,
18,,Surface,2,Image 1,1,44,
15,,Surface,2,Image 1,1,45,
16,,Surface,2,Image 1,1,46,
17,,Surface,2,Image 1,1,47,
13,,Surface,2,Image 1,1,48,
18,,Surface,2,Image 1,1,49,
12,,Surface,2,Image 1,1,50,
12,,Surface,2,Image 1,1,51,
20,,Surface,2,Image 1,1,52,
15,,Surface,2,Image 1,1,53,
30,,Surface,2,Image 1,1,54,
25,,Surface,2,Image 1,1,55,
13,,Surface,2,Image 1,1,56,
35,,Surface,2,Image 1,1,57,
24,,Surface,2,Image 1,1,59,
14,,Surface,2,Image 1,1,60,
16,,Surface,2,Image 1,1,61,
17,,Surface,2,Image 1,1,62,
22,,Surface,2,Image 1,1,63,
49,,Surface,2,Image 1,1,64,
