
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.30468,,Surface,4,Image 1,1,0,
2.57258,,Surface,4,Image 1,1,1,
7.96801,,Surface,4,Image 1,1,2,
4.22253,,Surface,4,Image 1,1,3,
3.40434,,Surface,4,Image 1,1,4,
2.48909,,Surface,4,Image 1,1,5,
6.42866,,Surface,4,Image 1,1,6,
5.51119,,Surface,4,Image 1,1,7,
5.75765,,Surface,4,Image 1,1,8,
5.46092,,Surface,4,Image 1,1,9,
3.01034,,Surface,4,Image 1,1,10,
7.54634,,Surface,4,Image 1,1,11,
2.12357,,Surface,4,Image 1,1,12,
3.60245,,Surface,4,Image 1,1,13,
2.86756,,Surface,4,Image 1,1,14,
5.18599,,Surface,4,Image 1,1,15,
3.83122,,Surface,4,Image 1,1,16,
5.39698,,Surface,4,Image 1,1,17,
