
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
-30540.4,3837.92,27.9151,um,Surface,Position,1,0,
-30541.5,3833.89,29.8099,um,Surface,Position,1,1,
-30547.6,3835.13,30.5693,um,Surface,Position,1,2,
-30548.1,3827.74,34.1166,um,Surface,Position,1,3,
-30537.6,3834.58,36.3879,um,Surface,Position,1,4,
-30537.3,3815.5,35.8793,um,Surface,Position,1,5,
-30544.9,3837.61,35.1094,um,Surface,Position,1,6,
-30541.8,3831.28,39.4515,um,Surface,Position,1,7,
-30533.6,3834.45,29.8489,um,Surface,Position,1,8,
-30528.1,3827.83,31.2334,um,Surface,Position,1,9,
-30522.4,3824.49,30.8919,um,Surface,Position,1,10,
-30528,3822.3,37.5416,um,Surface,Position,1,11,
-30524.4,3818.58,37.8276,um,Surface,Position,1,12,
-30550.8,3808.32,31.0166,um,Surface,Position,1,13,
-30535.4,3808.47,34.164,um,Surface,Position,1,14,
-30516.4,3811.8,29.3767,um,Surface,Position,1,15,
-30518.3,3802.3,30.9339,um,Surface,Position,1,16,
-30521.7,3810.32,34.4809,um,Surface,Position,1,17,
-30526.4,3808.71,32.7758,um,Surface,Position,1,18,
-30539.4,3805.93,30.6159,um,Surface,Position,1,19,
-30547.9,3811.9,30.7705,um,Surface,Position,1,20,
-30514.6,3818.83,15.7636,um,Surface,Position,1,21,
-30524,3815.23,16.3445,um,Surface,Position,1,22,
-30533,3827.51,16.7084,um,Surface,Position,1,23,
-30518.4,3824.51,17.3273,um,Surface,Position,1,24,
-30529.8,3825.47,20.9553,um,Surface,Position,1,25,
-30535.9,3831.02,20.3209,um,Surface,Position,1,26,
-30531.4,3820.65,20.4273,um,Surface,Position,1,27,
-30517,3820.92,23.9951,um,Surface,Position,1,28,
-30522.9,3828.86,23.4565,um,Surface,Position,1,29,
-30514.1,3814.52,24.8903,um,Surface,Position,1,30,
-30534.5,3816.45,25.6973,um,Surface,Position,1,31,
-30521.7,3817.37,27.5972,um,Surface,Position,1,32,
-30542.9,3831.94,12.7114,um,Surface,Position,1,33,
