
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.82762,,Surface,3,Image 1,1,0,
2.28639,,Surface,3,Image 1,1,1,
2.87541,,Surface,3,Image 1,1,2,
3.37467,,Surface,3,Image 1,1,3,
1.8524,,Surface,3,Image 1,1,4,
2.95173,,Surface,3,Image 1,1,5,
3.61675,,Surface,3,Image 1,1,6,
1.84064,,Surface,3,Image 1,1,7,
2.94301,,Surface,3,Image 1,1,8,
3.50703,,Surface,3,Image 1,1,10,
1.99273,,Surface,3,Image 1,1,11,
5.25173,,Surface,3,Image 1,1,12,
3.97862,,Surface,3,Image 1,1,13,
3.51941,,Surface,3,Image 1,1,15,
2.27029,,Surface,3,Image 1,1,16,
1.91729,,Surface,3,Image 1,1,17,
1.88361,,Surface,3,Image 1,1,18,
1.94556,,Surface,3,Image 1,1,20,
3.15965,,Surface,3,Image 1,1,22,
3.28324,,Surface,3,Image 1,1,23,
1,,Surface,3,Image 1,1,24,
1,,Surface,3,Image 1,1,25,
2.47705,,Surface,3,Image 1,1,27,
1,,Surface,3,Image 1,1,28,
2.03016,,Surface,3,Image 1,1,29,
1.87357,,Surface,3,Image 1,1,30,
2.15735,,Surface,3,Image 1,1,32,
3.09728,,Surface,3,Image 1,1,33,
2,,Surface,3,Image 1,1,35,
4.66667,,Surface,3,Image 1,1,36,
3.25368,,Surface,3,Image 1,1,38,
5,,Surface,3,Image 1,1,39,
4.67074,,Surface,3,Image 1,1,40,
3.95685,,Surface,3,Image 1,1,42,
5.63164,,Surface,3,Image 1,1,43,
