
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
95.571,123.909,52.8961,um,Surface,Position,1,0,
116.424,93.049,57.7051,um,Surface,Position,1,1,
104.426,113.752,58.2962,um,Surface,Position,1,2,
71.3786,132.679,61.3104,um,Surface,Position,1,3,
125.431,76.251,52.4956,um,Surface,Position,1,4,
115,98.4587,51.3515,um,Surface,Position,1,5,
108.275,97.4794,51.6947,um,Surface,Position,1,6,
115.875,87.5726,53.2885,um,Surface,Position,1,7,
98.8939,116.687,58.1919,um,Surface,Position,1,8,
104.099,119.316,54.3094,um,Surface,Position,1,9,
87.8934,120.961,40.1587,um,Surface,Position,1,10,
128.032,71.6094,48.4529,um,Surface,Position,1,12,
87.2732,89.1534,48.5019,um,Surface,Position,1,13,
114.329,88.32,45.3319,um,Surface,Position,1,14,
123.166,84.0055,51.835,um,Surface,Position,1,15,
120.225,94.0106,50.1806,um,Surface,Position,1,16,
98.8203,115.424,45.3782,um,Surface,Position,1,17,
94.6311,114.361,46.6097,um,Surface,Position,1,18,
90.236,117.652,51.6351,um,Surface,Position,1,19,
105.405,106.199,44.5925,um,Surface,Position,1,20,
110.636,103.766,44.68,um,Surface,Position,1,21,
111.475,106.84,51.7048,um,Surface,Position,1,22,
98.8143,121.629,49.0539,um,Surface,Position,1,23,
127.011,66.971,37.4354,um,Surface,Position,1,26,
123.994,79.0987,40.9959,um,Surface,Position,1,28,
95.9069,99.0016,41.1842,um,Surface,Position,1,29,
112.916,89.9829,37.574,um,Surface,Position,1,30,
114.548,85.8693,37.4582,um,Surface,Position,1,31,
103.426,93.5101,38.3423,um,Surface,Position,1,32,
108.195,93.9633,39.4644,um,Surface,Position,1,33,
117.307,83.4743,43.6774,um,Surface,Position,1,34,
107.977,98.003,43.3864,um,Surface,Position,1,35,
123.171,83.7144,40.3193,um,Surface,Position,1,37,
120.987,90.3154,43.1637,um,Surface,Position,1,38,
96.6832,110.402,41.0767,um,Surface,Position,1,39,
97.5975,104.326,42.9249,um,Surface,Position,1,40,
92.9939,119.031,45.2561,um,Surface,Position,1,41,
101.108,106.545,42.3649,um,Surface,Position,1,42,
124.92,17.9876,33.258,um,Surface,Position,1,43,
121.916,30.0463,33.1317,um,Surface,Position,1,44,
126.717,31.4343,33.2797,um,Surface,Position,1,45,
129.887,26.2376,35.6022,um,Surface,Position,1,46,
124.72,43.8774,29.5709,um,Surface,Position,1,47,
126.323,50.4232,30.264,um,Surface,Position,1,48,
130.249,48.267,32.3922,um,Surface,Position,1,49,
122.536,46.2013,33.6782,um,Surface,Position,1,51,
131.47,54.4663,35.2181,um,Surface,Position,1,52,
114.883,76.5477,36.8106,um,Surface,Position,1,53,
47.6112,89.0486,17.1277,um,Surface,Position,1,55,
68.5702,84.9707,15.6261,um,Surface,Position,1,56,
117.055,29.8895,24.0515,um,Surface,Position,1,57,
119.147,25.4691,25.3893,um,Surface,Position,1,58,
123.777,30.6783,27.126,um,Surface,Position,1,59,
124.009,37.0909,27.9713,um,Surface,Position,1,60,
54.9723,66.3436,12.9801,um,Surface,Position,1,61,
63.0811,89.2716,13.1882,um,Surface,Position,1,62,
134.013,46.4046,37.0689,um,Surface,Position,1,63,
130.24,38.5515,36.324,um,Surface,Position,1,65,
130.626,38.7352,36.0207,um,Surface,Position,1,66,
130.308,38.5807,36.1716,um,Surface,Position,1,67,
133.592,41.763,33.6745,um,Surface,Position,1,69,
135.663,48.3835,47.2956,um,Surface,Position,1,70,
134.669,47.9269,50.4142,um,Surface,Position,1,71,
134.817,48.0754,50.3916,um,Surface,Position,1,72,
133.461,51.2319,41.1016,um,Surface,Position,1,73,
125.724,63.7806,33.1503,um,Surface,Position,1,74,
124.889,63.3833,38.1863,um,Surface,Position,1,75,
122.314,61.4786,31.7686,um,Surface,Position,1,76,
118.887,61.2154,36.2672,um,Surface,Position,1,77,
113.936,98.1576,44.58,um,Surface,Position,1,78,
112.765,96.7106,47.122,um,Surface,Position,1,79,
113.23,94.9624,43.2492,um,Surface,Position,1,80,
111.966,97.7271,42.873,um,Surface,Position,1,81,
111.654,97.8834,42.873,um,Surface,Position,1,82,
111.349,98.0462,42.8581,um,Surface,Position,1,83,
111.125,98.051,43.3662,um,Surface,Position,1,84,
110.921,98.1976,43.2107,um,Surface,Position,1,85,
110.577,98.3858,43.1798,um,Surface,Position,1,86,
110.777,97.873,45.8927,um,Surface,Position,1,87,
126.222,69.6947,44.0841,um,Surface,Position,1,88,
128.27,72.2413,39.439,um,Surface,Position,1,90,
128.524,76.0621,49.6041,um,Surface,Position,1,92,
131.934,76.1425,54.4858,um,Surface,Position,1,93,
126.181,78.2861,47.6794,um,Surface,Position,1,94,
126.863,75.1303,49.0886,um,Surface,Position,1,95,
128.693,73.0795,55.8776,um,Surface,Position,1,96,
128.505,73.3416,56.2785,um,Surface,Position,1,97,
128.261,74.0277,56.7442,um,Surface,Position,1,98,
128.384,74.1508,56.7159,um,Surface,Position,1,99,
131.651,76.0964,54.6171,um,Surface,Position,1,101,
131.95,76.544,54.5965,um,Surface,Position,1,102,
127.062,74.8257,53.9492,um,Surface,Position,1,103,
128.501,76.0458,49.6229,um,Surface,Position,1,104,
129.488,75.5672,55.8399,um,Surface,Position,1,105,
