
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
1685.92,-3343.6,18.7137,um,Surface,Position,1,0,
1620.48,-3376.18,18.6332,um,Surface,Position,1,1,
1679.15,-3393.88,15.0813,um,Surface,Position,1,2,
1632.4,-3390.9,10.4637,um,Surface,Position,1,3,
1689.12,-3365.42,10.4817,um,Surface,Position,1,4,
1599.4,-3336.46,9.16949,um,Surface,Position,1,5,
1590.83,-3329.79,9.37544,um,Surface,Position,1,6,
1675.07,-3330.65,8.49879,um,Surface,Position,1,7,
1682.07,-3352.72,2.3881,um,Surface,Position,1,8,
1685.1,-3362.27,6.07737,um,Surface,Position,1,9,
1601.59,-3325.5,6.95692,um,Surface,Position,1,10,
1657.21,-3416.44,8.29204,um,Surface,Position,1,11,
1648.84,-3420.45,13.4003,um,Surface,Position,1,12,
1676.85,-3335.27,-1.82125,um,Surface,Position,1,13,
1679.98,-3333.54,1.28514,um,Surface,Position,1,14,
1683.39,-3339.51,-1.18023,um,Surface,Position,1,15,
1599.3,-3327.71,-1.4578,um,Surface,Position,1,16,
1638.05,-3431.42,6.00313,um,Surface,Position,1,17,
1652.42,-3420.7,6.45738,um,Surface,Position,1,18,
1671.21,-3399.71,4.4799,um,Surface,Position,1,20,
1675.54,-3396.12,7.7188,um,Surface,Position,1,21,
1636.56,-3431.36,-3.5348,um,Surface,Position,1,22,
1626.6,-3436.2,-0.853742,um,Surface,Position,1,23,
1630.18,-3434.75,2.51547,um,Surface,Position,1,24,
1640.76,-3425.28,1.98175,um,Surface,Position,1,25,
1654.66,-3413.22,-2.04333,um,Surface,Position,1,26,
1642.38,-3420.37,-5.23287,um,Surface,Position,1,27,
1649.54,-3417.43,-1.93219,um,Surface,Position,1,28,
1658.25,-3410.07,-2.16916,um,Surface,Position,1,29,
1662.23,-3410.41,1.98713,um,Surface,Position,1,30,
1655.82,-3403.11,1.42824,um,Surface,Position,1,31,
1664.83,-3397.6,-1.76245,um,Surface,Position,1,32,
1671.7,-3395.52,0.355903,um,Surface,Position,1,33,
1678,-3361.25,-3.04975,um,Surface,Position,1,36,
1592.38,-3334.1,-1.16212,um,Surface,Position,1,37,
1596.3,-3336.61,2.04717,um,Surface,Position,1,38,
1663.06,-3393.04,-5.67063,um,Surface,Position,1,40,
1672.31,-3374.54,-8.07629,um,Surface,Position,1,41,
1666.11,-3385.91,-7.45835,um,Surface,Position,1,42,
1669.53,-3366.29,-7.53583,um,Surface,Position,1,43,
1685.26,-3357.34,-7.22742,um,Surface,Position,1,44,
1654.77,-3345.7,-11.6298,um,Surface,Position,1,45,
1688.23,-3341.75,-9.9673,um,Surface,Position,1,46,
1683.77,-3342,-8.27497,um,Surface,Position,1,47,
1621.68,-3437.37,-5.00684,um,Surface,Position,1,48,
1627.26,-3435.64,-9.56134,um,Surface,Position,1,49,
1625.4,-3431.22,-8.48818,um,Surface,Position,1,50,
1625.24,-3424.81,-10.595,um,Surface,Position,1,51,
1634.56,-3425,-10.1504,um,Surface,Position,1,52,
1630.39,-3428.57,-9.07259,um,Surface,Position,1,53,
1660.46,-3348.43,-19.3687,um,Surface,Position,1,54,
1582.61,-3439.48,-12.4034,um,Surface,Position,1,55,
1624.33,-3432.65,-18.8849,um,Surface,Position,1,56,
1635.22,-3429.73,-14.5297,um,Surface,Position,1,57,
1639.34,-3422.67,-13.2623,um,Surface,Position,1,58,
1636.91,-3350.63,-31.6916,um,Surface,Position,1,59,
1679.53,-3346.43,-1.95494,um,Surface,Position,1,60,
1679.75,-3344.4,3.00284,um,Surface,Position,1,61,
1679.87,-3344.55,3.31145,um,Surface,Position,1,62,
1678.34,-3349.52,-4.81906,um,Surface,Position,1,64,
1678.18,-3349.1,-4.76436,um,Surface,Position,1,65,
1678.41,-3349.47,-4.99044,um,Surface,Position,1,67,
1679.59,-3344.72,-6.35981,um,Surface,Position,1,68,
1679.69,-3348.78,-5.2907,um,Surface,Position,1,69,
1659.6,-3378.73,1.64392,um,Surface,Position,1,71,
1662.7,-3375.07,-0.129876,um,Surface,Position,1,72,
1663.17,-3382,-3.89735,um,Surface,Position,1,73,
1662.73,-3377.67,3.12552,um,Surface,Position,1,74,
1659.6,-3378.7,1.62219,um,Surface,Position,1,75,
1662.7,-3375.1,-0.000692272,um,Surface,Position,1,76,
1664.93,-3381.89,2.75945,um,Surface,Position,1,77,
1663.45,-3402.83,-0.591598,um,Surface,Position,1,78,
1660.23,-3405.32,7.36819,um,Surface,Position,1,79,
1664.7,-3405.87,2.4273,um,Surface,Position,1,80,
1665.5,-3403.93,-2.8633,um,Surface,Position,1,81,
1622.55,-3390.02,3.21398,um,Surface,Position,1,82,
1626.43,-3388.79,1.08526,um,Surface,Position,1,83,
1626.38,-3390.31,-0.70296,um,Surface,Position,1,84,
