
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
190,,Surface,3,Image 1,1,0,
177,,Surface,3,Image 1,1,1,
192,,Surface,3,Image 1,1,2,
228,,Surface,3,Image 1,1,3,
194,,Surface,3,Image 1,1,4,
201,,Surface,3,Image 1,1,5,
189,,Surface,3,Image 1,1,6,
252,,Surface,3,Image 1,1,7,
181,,Surface,3,Image 1,1,8,
242,,Surface,3,Image 1,1,9,
196,,Surface,3,Image 1,1,10,
202,,Surface,3,Image 1,1,11,
212,,Surface,3,Image 1,1,12,
310,,Surface,3,Image 1,1,13,
264,,Surface,3,Image 1,1,14,
394,,Surface,3,Image 1,1,15,
288,,Surface,3,Image 1,1,16,
187,,Surface,3,Image 1,1,17,
193,,Surface,3,Image 1,1,18,
210,,Surface,3,Image 1,1,20,
265,,Surface,3,Image 1,1,21,
236,,Surface,3,Image 1,1,22,
200,,Surface,3,Image 1,1,23,
282,,Surface,3,Image 1,1,24,
207,,Surface,3,Image 1,1,25,
265,,Surface,3,Image 1,1,26,
380,,Surface,3,Image 1,1,27,
187,,Surface,3,Image 1,1,28,
415,,Surface,3,Image 1,1,29,
197,,Surface,3,Image 1,1,30,
199,,Surface,3,Image 1,1,31,
184,,Surface,3,Image 1,1,32,
180,,Surface,3,Image 1,1,33,
243,,Surface,3,Image 1,1,36,
287,,Surface,3,Image 1,1,37,
185,,Surface,3,Image 1,1,38,
181,,Surface,3,Image 1,1,40,
288,,Surface,3,Image 1,1,41,
186,,Surface,3,Image 1,1,42,
196,,Surface,3,Image 1,1,43,
198,,Surface,3,Image 1,1,44,
191,,Surface,3,Image 1,1,45,
210,,Surface,3,Image 1,1,46,
181,,Surface,3,Image 1,1,47,
278,,Surface,3,Image 1,1,48,
312,,Surface,3,Image 1,1,49,
415,,Surface,3,Image 1,1,50,
208,,Surface,3,Image 1,1,51,
276,,Surface,3,Image 1,1,52,
300,,Surface,3,Image 1,1,53,
178,,Surface,3,Image 1,1,54,
398,,Surface,3,Image 1,1,55,
889,,Surface,3,Image 1,1,56,
360,,Surface,3,Image 1,1,57,
335,,Surface,3,Image 1,1,58,
197,,Surface,3,Image 1,1,59,
306,,Surface,3,Image 1,1,60,
46,,Surface,3,Image 1,1,61,
43,,Surface,3,Image 1,1,62,
24,,Surface,3,Image 1,1,64,
28,,Surface,3,Image 1,1,65,
138,,Surface,3,Image 1,1,68,
73,,Surface,3,Image 1,1,69,
43,,Surface,3,Image 1,1,71,
13,,Surface,3,Image 1,1,72,
199,,Surface,3,Image 1,1,73,
122,,Surface,3,Image 1,1,74,
67,,Surface,3,Image 1,1,77,
136,,Surface,3,Image 1,1,78,
30,,Surface,3,Image 1,1,79,
177,,Surface,3,Image 1,1,80,
42,,Surface,3,Image 1,1,81,
144,,Surface,3,Image 1,1,82,
17,,Surface,3,Image 1,1,83,
234,,Surface,3,Image 1,1,84,
