
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
114.719,69.627,52.2008,um,Surface,Position,1,0,
118.172,73.3525,52.9291,um,Surface,Position,1,1,
108.503,60.1709,50.926,um,Surface,Position,1,2,
118.775,61.7602,48.628,um,Surface,Position,1,4,
114.113,61.3157,52.0772,um,Surface,Position,1,5,
93.8354,139.088,28.7618,um,Surface,Position,1,6,
99.6748,137.516,28.2738,um,Surface,Position,1,7,
119.624,51.0157,42.3242,um,Surface,Position,1,8,
117.048,125.041,33.2735,um,Surface,Position,1,10,
98.5154,133.128,40.2724,um,Surface,Position,1,12,
102.542,134.216,31.6734,um,Surface,Position,1,13,
103.029,132.451,38.9547,um,Surface,Position,1,14,
112.949,129.902,30.0633,um,Surface,Position,1,15,
127.581,92.9509,23.6198,um,Surface,Position,1,16,
119.612,78.813,32.8526,um,Surface,Position,1,18,
128.315,71.5812,26.712,um,Surface,Position,1,19,
131.443,77.205,26.9242,um,Surface,Position,1,20,
124.068,71.7775,32.1327,um,Surface,Position,1,21,
135.825,72.676,23.4621,um,Surface,Position,1,22,
141.835,75.4648,25.7785,um,Surface,Position,1,23,
133.858,72.5819,32.7318,um,Surface,Position,1,24,
96.9463,90.0164,38.5108,um,Surface,Position,1,26,
143.684,86.8972,19.0708,um,Surface,Position,1,27,
140.182,83.4672,29.4016,um,Surface,Position,1,28,
134.657,89.4182,30.1079,um,Surface,Position,1,29,
71.1836,97.9184,26.7392,um,Surface,Position,1,30,
109.251,68.306,30.6348,um,Surface,Position,1,31,
112.386,63.6589,40.0458,um,Surface,Position,1,32,
129.672,60.9589,28.679,um,Surface,Position,1,33,
127.763,63.8622,32.3733,um,Surface,Position,1,34,
141.543,68.4806,29.9797,um,Surface,Position,1,36,
134.759,64.004,34.7206,um,Surface,Position,1,37,
105.494,41.824,23.0534,um,Surface,Position,1,38,
103.489,46.5387,23.8493,um,Surface,Position,1,39,
117.399,39.9614,24.2405,um,Surface,Position,1,40,
102.23,46.3413,29.9442,um,Surface,Position,1,41,
119.726,58.764,22.7377,um,Surface,Position,1,43,
118.293,52.24,29.7949,um,Surface,Position,1,44,
118.177,50.4096,36.3113,um,Surface,Position,1,46,
119.64,123.283,23.643,um,Surface,Position,1,48,
107.684,84.347,20.6844,um,Surface,Position,1,49,
127.906,83.6837,14.9602,um,Surface,Position,1,50,
143.03,94.404,21.2636,um,Surface,Position,1,51,
125.516,58.1547,10.7941,um,Surface,Position,1,52,
129.272,60.7875,16.6821,um,Surface,Position,1,53,
134.943,58.9274,17.187,um,Surface,Position,1,54,
138.205,68.3544,18.7853,um,Surface,Position,1,55,
52.4752,74.5187,15.9211,um,Surface,Position,1,56,
140.518,73.7474,17.4995,um,Surface,Position,1,57,
139.461,80.1036,21.5541,um,Surface,Position,1,58,
146.532,72.4171,14.671,um,Surface,Position,1,59,
106.94,50.6337,20.2098,um,Surface,Position,1,60,
125.515,50.6278,21.195,um,Surface,Position,1,62,
59.5561,68.5872,11.1482,um,Surface,Position,1,63,
90.1598,60.4576,14.0866,um,Surface,Position,1,64,
104.11,41.8162,7.53458,um,Surface,Position,1,65,
101.536,38.8684,13.0651,um,Surface,Position,1,66,
120.829,43.5948,17.9976,um,Surface,Position,1,67,
129.457,46.6357,11.9032,um,Surface,Position,1,68,
103.313,38.5827,2.86081,um,Surface,Position,1,70,
111.976,43.8418,4.52253,um,Surface,Position,1,71,
122.002,43.7796,1.54409,um,Surface,Position,1,72,
131.649,55.0025,-2.35681,um,Surface,Position,1,73,
87.822,45.0804,-1.46232,um,Surface,Position,1,74,
107.748,64.0824,51.482,um,Surface,Position,1,76,
111.813,66.9061,52.0658,um,Surface,Position,1,77,
109.383,80.517,43.892,um,Surface,Position,1,78,
109.114,64.5119,58.3609,um,Surface,Position,1,79,
110.051,72.6109,45.6003,um,Surface,Position,1,80,
110.541,72.0902,45.8726,um,Surface,Position,1,81,
110.525,76.373,47.1723,um,Surface,Position,1,82,
109.397,80.4557,43.9891,um,Surface,Position,1,83,
107.797,64.0261,51.5651,um,Surface,Position,1,85,
111.799,66.9095,52.0895,um,Surface,Position,1,86,
107.844,72.153,48.2622,um,Surface,Position,1,87,
108.403,68.7695,53.1553,um,Surface,Position,1,88,
107.797,64.0261,51.5651,um,Surface,Position,1,89,
111.799,66.9095,52.0895,um,Surface,Position,1,90,
115.23,60.4902,33.7826,um,Surface,Position,1,91,
113.194,57.5304,38.4372,um,Surface,Position,1,92,
115.168,55.9463,35.8518,um,Surface,Position,1,93,
109.368,44.6027,37.0431,um,Surface,Position,1,95,
110.67,45.3346,35.3525,um,Surface,Position,1,96,
107.835,47.434,31.0412,um,Surface,Position,1,97,
109.206,50.7334,26.1948,um,Surface,Position,1,98,
108.395,50.7208,26.4659,um,Surface,Position,1,99,
109.721,50.5435,26.1847,um,Surface,Position,1,100,
123.13,109.23,35.8616,um,Surface,Position,1,101,
122.921,106.283,35.1363,um,Surface,Position,1,103,
122.43,108.902,30.1303,um,Surface,Position,1,104,
122.762,108.37,30.4115,um,Surface,Position,1,105,
121.29,111.193,28.4437,um,Surface,Position,1,106,
122.905,106.289,35.1392,um,Surface,Position,1,108,
118.026,110.102,34.022,um,Surface,Position,1,109,
122.424,108.898,30.1303,um,Surface,Position,1,110,
122.748,108.372,30.4349,um,Surface,Position,1,111,
121.27,111.171,28.524,um,Surface,Position,1,112,
117.4,108.102,32.703,um,Surface,Position,1,113,
118.161,115.086,31.1905,um,Surface,Position,1,114,
114.542,115.74,35.5909,um,Surface,Position,1,115,
126.562,117.032,23.9786,um,Surface,Position,1,116,
124.013,114.527,29.0502,um,Surface,Position,1,117,
144.662,59.3842,21.3958,um,Surface,Position,1,119,
136.006,65.1128,22.2222,um,Surface,Position,1,120,
132.416,55.8932,36.7182,um,Surface,Position,1,121,
130.97,59.7813,35.4293,um,Surface,Position,1,122,
137.33,59.2524,29.5292,um,Surface,Position,1,123,
144.604,59.3983,21.494,um,Surface,Position,1,125,
136.069,65.0452,22.3295,um,Surface,Position,1,126,
123.202,54.154,11.3552,um,Surface,Position,1,127,
124.223,50.201,11.5273,um,Surface,Position,1,128,
140.204,64.3515,9.48681,um,Surface,Position,1,129,
140.769,64.8946,4.8271,um,Surface,Position,1,130,
113.849,45.3333,35.7614,um,Surface,Position,1,132,
110.18,48.9832,48.0161,um,Surface,Position,1,133,
113.099,48.8068,32.6661,um,Surface,Position,1,134,
119.818,107.103,36.1638,um,Surface,Position,1,135,
122.905,106.289,35.1392,um,Surface,Position,1,136,
118.043,110.078,34.0308,um,Surface,Position,1,137,
122.424,108.898,30.1303,um,Surface,Position,1,138,
122.748,108.372,30.4349,um,Surface,Position,1,139,
121.27,111.171,28.524,um,Surface,Position,1,140,
135.085,79.8322,25.9009,um,Surface,Position,1,142,
137.681,78.4673,33.2536,um,Surface,Position,1,143,
135.613,81.9799,24.227,um,Surface,Position,1,144,
135.434,81.4292,24.5189,um,Surface,Position,1,145,
135.442,81.2856,24.7561,um,Surface,Position,1,146,
135.269,80.7202,25.0811,um,Surface,Position,1,147,
136.591,83.9295,25.5763,um,Surface,Position,1,148,
140.203,78.2129,28.4309,um,Surface,Position,1,149,
133.891,81.1588,31.4149,um,Surface,Position,1,150,
