
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
510,,Surface,3,Image 1,1,0,
390,,Surface,3,Image 1,1,2,
555,,Surface,3,Image 1,1,3,
382,,Surface,3,Image 1,1,4,
549,,Surface,3,Image 1,1,5,
428,,Surface,3,Image 1,1,6,
489,,Surface,3,Image 1,1,7,
340,,Surface,3,Image 1,1,9,
317,,Surface,3,Image 1,1,10,
566,,Surface,3,Image 1,1,11,
357,,Surface,3,Image 1,1,12,
330,,Surface,3,Image 1,1,13,
382,,Surface,3,Image 1,1,14,
349,,Surface,3,Image 1,1,15,
352,,Surface,3,Image 1,1,16,
428,,Surface,3,Image 1,1,17,
331,,Surface,3,Image 1,1,18,
329,,Surface,3,Image 1,1,19,
488,,Surface,3,Image 1,1,20,
366,,Surface,3,Image 1,1,21,
320,,Surface,3,Image 1,1,22,
402,,Surface,3,Image 1,1,23,
331,,Surface,3,Image 1,1,24,
332,,Surface,3,Image 1,1,26,
336,,Surface,3,Image 1,1,27,
414,,Surface,3,Image 1,1,28,
639,,Surface,3,Image 1,1,29,
589,,Surface,3,Image 1,1,30,
333,,Surface,3,Image 1,1,31,
359,,Surface,3,Image 1,1,32,
374,,Surface,3,Image 1,1,33,
477,,Surface,3,Image 1,1,34,
891,,Surface,3,Image 1,1,35,
800,,Surface,3,Image 1,1,36,
344,,Surface,3,Image 1,1,37,
385,,Surface,3,Image 1,1,38,
330,,Surface,3,Image 1,1,39,
364,,Surface,3,Image 1,1,40,
586,,Surface,3,Image 1,1,41,
903,,Surface,3,Image 1,1,42,
647,,Surface,3,Image 1,1,43,
403,,Surface,3,Image 1,1,44,
536,,Surface,3,Image 1,1,45,
410,,Surface,3,Image 1,1,46,
559,,Surface,3,Image 1,1,47,
338,,Surface,3,Image 1,1,48,
360,,Surface,3,Image 1,1,49,
343,,Surface,3,Image 1,1,50,
331,,Surface,3,Image 1,1,51,
405,,Surface,3,Image 1,1,52,
326,,Surface,3,Image 1,1,53,
325,,Surface,3,Image 1,1,54,
466,,Surface,3,Image 1,1,55,
332,,Surface,3,Image 1,1,56,
352,,Surface,3,Image 1,1,57,
345,,Surface,3,Image 1,1,58,
334,,Surface,3,Image 1,1,59,
418,,Surface,3,Image 1,1,60,
374,,Surface,3,Image 1,1,61,
327,,Surface,3,Image 1,1,62,
328,,Surface,3,Image 1,1,63,
537,,Surface,3,Image 1,1,64,
458,,Surface,3,Image 1,1,65,
542,,Surface,3,Image 1,1,66,
369,,Surface,3,Image 1,1,67,
329,,Surface,3,Image 1,1,68,
417,,Surface,3,Image 1,1,69,
444,,Surface,3,Image 1,1,70,
409,,Surface,3,Image 1,1,71,
315,,Surface,3,Image 1,1,72,
426,,Surface,3,Image 1,1,73,
327,,Surface,3,Image 1,1,74,
352,,Surface,3,Image 1,1,75,
396,,Surface,3,Image 1,1,76,
543,,Surface,3,Image 1,1,77,
812,,Surface,3,Image 1,1,78,
439,,Surface,3,Image 1,1,79,
349,,Surface,3,Image 1,1,80,
359,,Surface,3,Image 1,1,81,
474,,Surface,3,Image 1,1,82,
442,,Surface,3,Image 1,1,83,
399,,Surface,3,Image 1,1,84,
352,,Surface,3,Image 1,1,85,
514,,Surface,3,Image 1,1,86,
329,,Surface,3,Image 1,1,87,
336,,Surface,3,Image 1,1,88,
440,,Surface,3,Image 1,1,89,
324,,Surface,3,Image 1,1,90,
470,,Surface,3,Image 1,1,91,
411,,Surface,3,Image 1,1,92,
419,,Surface,3,Image 1,1,93,
335,,Surface,3,Image 1,1,94,
343,,Surface,3,Image 1,1,95,
352,,Surface,3,Image 1,1,96,
316,,Surface,3,Image 1,1,97,
470,,Surface,3,Image 1,1,98,
356,,Surface,3,Image 1,1,99,
380,,Surface,3,Image 1,1,100,
339,,Surface,3,Image 1,1,101,
378,,Surface,3,Image 1,1,102,
317,,Surface,3,Image 1,1,103,
380,,Surface,3,Image 1,1,104,
667,,Surface,3,Image 1,1,105,
513,,Surface,3,Image 1,1,106,
331,,Surface,3,Image 1,1,107,
358,,Surface,3,Image 1,1,108,
329,,Surface,3,Image 1,1,109,
350,,Surface,3,Image 1,1,110,
316,,Surface,3,Image 1,1,111,
322,,Surface,3,Image 1,1,112,
461,,Surface,3,Image 1,1,113,
404,,Surface,3,Image 1,1,114,
396,,Surface,3,Image 1,1,115,
346,,Surface,3,Image 1,1,116,
402,,Surface,3,Image 1,1,117,
467,,Surface,3,Image 1,1,118,
400,,Surface,3,Image 1,1,119,
319,,Surface,3,Image 1,1,120,
463,,Surface,3,Image 1,1,121,
715,,Surface,3,Image 1,1,122,
344,,Surface,3,Image 1,1,123,
361,,Surface,3,Image 1,1,124,
547,,Surface,3,Image 1,1,125,
497,,Surface,3,Image 1,1,126,
407,,Surface,3,Image 1,1,127,
325,,Surface,3,Image 1,1,128,
374,,Surface,3,Image 1,1,129,
346,,Surface,3,Image 1,1,130,
361,,Surface,3,Image 1,1,131,
344,,Surface,3,Image 1,1,132,
567,,Surface,3,Image 1,1,133,
343,,Surface,3,Image 1,1,134,
116,,Surface,3,Image 1,1,135,
75,,Surface,3,Image 1,1,136,
90,,Surface,3,Image 1,1,137,
63,,Surface,3,Image 1,1,138,
67,,Surface,3,Image 1,1,139,
280,,Surface,3,Image 1,1,140,
104,,Surface,3,Image 1,1,141,
318,,Surface,3,Image 1,1,143,
302,,Surface,3,Image 1,1,144,
70,,Surface,3,Image 1,1,145,
264,,Surface,3,Image 1,1,146,
438,,Surface,3,Image 1,1,147,
181,,Surface,3,Image 1,1,148,
325,,Surface,3,Image 1,1,149,
