
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
4260.48,-86.1676,3342.91,um,Surface,Position,1,0,
4267.36,-88.9689,3347.37,um,Surface,Position,1,1,
4278.55,-126.877,3342.91,um,Surface,Position,1,2,
4273.78,-128.609,3349.95,um,Surface,Position,1,3,
4292.24,-131.724,3341.08,um,Surface,Position,1,4,
4287.49,-133.573,3343.14,um,Surface,Position,1,5,
4097.46,-125.036,3348.52,um,Surface,Position,1,6,
4247.73,-125.203,3343.13,um,Surface,Position,1,7,
4246.5,-120.337,3341.74,um,Surface,Position,1,8,
4241.35,-118.858,3348.61,um,Surface,Position,1,9,
4252.08,-122.501,3343.48,um,Surface,Position,1,10,
4257.29,-125.134,3346.89,um,Surface,Position,1,11,
4263.8,-127.816,3340.51,um,Surface,Position,1,12,
4269.9,-121.948,3340.39,um,Surface,Position,1,13,
4269.61,-126.598,3345.34,um,Surface,Position,1,14,
4264.31,-126.396,3346.81,um,Surface,Position,1,15,
4281.59,-120.718,3344.83,um,Surface,Position,1,16,
4275.92,-119.477,3346.38,um,Surface,Position,1,17,
4289.79,-124.981,3340.29,um,Surface,Position,1,18,
4289,-121.75,3347.7,um,Surface,Position,1,19,
4096.11,-111.762,3348.84,um,Surface,Position,1,20,
4094.52,-116.966,3350.11,um,Surface,Position,1,21,
4223.51,-110.966,3340.56,um,Surface,Position,1,22,
4224.35,-116.666,3347.69,um,Surface,Position,1,23,
4235.29,-115.207,3348.63,um,Surface,Position,1,24,
4265.87,-116.614,3340.3,um,Surface,Position,1,25,
4270.03,-117.651,3345.68,um,Surface,Position,1,26,
4269.91,-113.483,3348.99,um,Surface,Position,1,27,
4274.23,-112.302,3341.1,um,Surface,Position,1,28,
4282.53,-112.245,3343.96,um,Surface,Position,1,29,
4283.8,-115.55,3348.91,um,Surface,Position,1,30,
4268.19,-106.355,3341.93,um,Surface,Position,1,31,
4273.74,-106.304,3344.69,um,Surface,Position,1,32,
4276.27,-101.247,3350,um,Surface,Position,1,33,
4259.84,-90.0392,3344.7,um,Surface,Position,1,34,
4270.78,-94.3723,3344.51,um,Surface,Position,1,35,
4276.36,-97.2265,3340.21,um,Surface,Position,1,36,
4290.32,-137.265,3343.83,um,Surface,Position,1,37,
4295.92,-142.185,3343.95,um,Surface,Position,1,38,
4269.08,-90.2744,3338.21,um,Surface,Position,1,39,
4298.05,-143.368,3336.33,um,Surface,Position,1,40,
4258.94,-128.222,3335.16,um,Surface,Position,1,41,
4251.72,-134.906,3336.86,um,Surface,Position,1,42,
4266.03,-131.207,3339.46,um,Surface,Position,1,43,
4293.89,-136.428,3335.29,um,Surface,Position,1,44,
4294.19,-129.415,3336.05,um,Surface,Position,1,45,
4248.1,-127.205,3337.73,um,Surface,Position,1,46,
4260.32,-119.809,3327.11,um,Surface,Position,1,47,
4251.88,-120.185,3332.47,um,Surface,Position,1,48,
4253.23,-126.585,3336.29,um,Surface,Position,1,49,
4255.57,-124.478,3339.25,um,Surface,Position,1,50,
4262.94,-126.195,3326.31,um,Surface,Position,1,51,
4270.77,-119.373,3329.95,um,Surface,Position,1,52,
4266.9,-123.929,3333.28,um,Surface,Position,1,53,
4262.96,-120.363,3338.58,um,Surface,Position,1,54,
4278.44,-121.615,3336.04,um,Surface,Position,1,55,
4291.28,-120.441,3327.9,um,Surface,Position,1,56,
4291.49,-124.336,3334.23,um,Surface,Position,1,57,
4289.16,-119.053,3337.29,um,Surface,Position,1,58,
4213.97,-116.35,3334.33,um,Surface,Position,1,59,
4234.44,-111.276,3335.91,um,Surface,Position,1,60,
4228.83,-111.103,3337.65,um,Surface,Position,1,61,
4238.84,-109.073,3337.74,um,Surface,Position,1,62,
4245.08,-114.555,3338.23,um,Surface,Position,1,63,
4239.92,-115.471,3338.45,um,Surface,Position,1,64,
4248.96,-110.579,3339.41,um,Surface,Position,1,65,
4252.55,-115.617,3336.76,um,Surface,Position,1,67,
4265.59,-113.961,3328.97,um,Surface,Position,1,68,
4271.56,-116.215,3336.07,um,Surface,Position,1,69,
4273.06,-112.43,3327.85,um,Surface,Position,1,70,
4278.41,-113.699,3328.85,um,Surface,Position,1,71,
4281.26,-113.219,3334.6,um,Surface,Position,1,72,
4285.8,-112.317,3326.08,um,Surface,Position,1,73,
4288.09,-117.563,3329.98,um,Surface,Position,1,74,
4285.68,-115.126,3338.43,um,Surface,Position,1,75,
4212.89,-107.019,3327.59,um,Surface,Position,1,76,
4224.36,-106.654,3328.12,um,Surface,Position,1,77,
4244.68,-107.175,3328.04,um,Surface,Position,1,78,
4241.9,-103.924,3329.17,um,Surface,Position,1,79,
4273.9,-106.822,3329.81,um,Surface,Position,1,80,
4280.55,-107.719,3330.65,um,Surface,Position,1,81,
4279.76,-103.187,3328.42,um,Surface,Position,1,82,
4278.58,-102.396,3335.09,um,Surface,Position,1,83,
4283.74,-106.888,3336.83,um,Surface,Position,1,84,
4288.56,-167.083,3331.17,um,Surface,Position,1,85,
4294.11,-165.858,3339.09,um,Surface,Position,1,86,
4293.01,-157.628,3336.56,um,Surface,Position,1,87,
4278.87,-108.88,3322.4,um,Surface,Position,1,88,
4201.62,-157.302,3315.44,um,Surface,Position,1,89,
4204.41,-161.757,3320.36,um,Surface,Position,1,90,
4251.74,-141.547,3320.28,um,Surface,Position,1,91,
4254.83,-132.322,3316.11,um,Surface,Position,1,92,
4251.35,-136.131,3321.86,um,Surface,Position,1,93,
4252.99,-111.087,3324.73,um,Surface,Position,1,94,
4253.61,-108.536,3317.77,um,Surface,Position,1,95,
4256.62,-113.252,3322,um,Surface,Position,1,96,
4256.78,-113.515,3322.35,um,Surface,Position,1,97,
4256.46,-113.113,3322.24,um,Surface,Position,1,98,
4258.21,-112.899,3324.35,um,Surface,Position,1,99,
4249.42,-113.368,3328.27,um,Surface,Position,1,100,
4249.69,-113.841,3328.52,um,Surface,Position,1,101,
4246.07,-110.292,3328.52,um,Surface,Position,1,102,
4249.28,-106.717,3327.75,um,Surface,Position,1,103,
4250.5,-110.259,3332.45,um,Surface,Position,1,104,
4244.99,-111.9,3329.38,um,Surface,Position,1,105,
