Detailed,,,,,,,
 ==================== ,,,,,,,
Intensity Mean,Unit,Category,Channel,Image,Time,ID,bg
6.57502,,Surface,2,Image 1,1,0,11.9
25.2647,,Surface,2,Image 1,1,1,11.9
16.5764,,Surface,2,Image 1,1,2,11.9
8.36364,,Surface,2,Image 1,1,3,11.9
5.81004,,Surface,2,Image 1,1,4,11.9
7.00294,,Surface,2,Image 1,1,5,11.9
6.52736,,Surface,2,Image 1,1,6,11.9
27.602,,Surface,2,Image 1,1,7,11.9
26.3527,,Surface,2,Image 1,1,8,11.9
21.4325,,Surface,2,Image 1,1,9,11.9
23.8382,,Surface,2,Image 1,1,10,11.9
14.0876,,Surface,2,Image 1,1,11,11.9
29.0344,,Surface,2,Image 1,1,12,11.9
20.6237,,Surface,2,Image 1,1,13,11.9
23.1576,,Surface,2,Image 1,1,14,11.9
28.3598,,Surface,2,Image 1,1,15,11.9
29.3888,,Surface,2,Image 1,1,16,11.9
21.5717,,Surface,2,Image 1,1,17,11.9
25.8585,,Surface,2,Image 1,1,18,11.9
24.3372,,Surface,2,Image 1,1,19,11.9
14.7479,,Surface,2,Image 1,1,20,11.9
22.8107,,Surface,2,Image 1,1,21,11.9
25.4394,,Surface,2,Image 1,1,22,11.9
29.2433,,Surface,2,Image 1,1,23,11.9
26.9589,,Surface,2,Image 1,1,24,11.9
13.2455,,Surface,2,Image 1,1,25,11.9
23.0954,,Surface,2,Image 1,1,26,11.9
18.5873,,Surface,2,Image 1,1,27,11.9
33.3415,,Surface,2,Image 1,1,28,11.9
23.2656,,Surface,2,Image 1,1,29,11.9
17.2752,,Surface,2,Image 1,1,30,11.9
28.6958,,Surface,2,Image 1,1,31,11.9
25.8064,,Surface,2,Image 1,1,32,11.9
15.2022,,Surface,2,Image 1,1,33,11.9
13.8117,,Surface,2,Image 1,1,34,11.9
15.9582,,Surface,2,Image 1,1,35,11.9
19.301,,Surface,2,Image 1,1,36,11.9
9.9743,,Surface,2,Image 1,1,37,11.9
13.2071,,Surface,2,Image 1,1,38,11.9
25.7185,,Surface,2,Image 1,1,39,11.9
14.0065,,Surface,2,Image 1,1,40,11.9
22.3267,,Surface,2,Image 1,1,41,11.9
25.407,,Surface,2,Image 1,1,42,11.9
20.6124,,Surface,2,Image 1,1,43,11.9
24.6971,,Surface,2,Image 1,1,44,11.9
7.92681,,Surface,2,Image 1,1,45,11.9
27.1601,,Surface,2,Image 1,1,46,11.9
19.3902,,Surface,2,Image 1,1,47,11.9
27.5451,,Surface,2,Image 1,1,48,11.9
23.2511,,Surface,2,Image 1,1,49,11.9
32.0993,,Surface,2,Image 1,1,50,11.9
24.4296,,Surface,2,Image 1,1,51,11.9
15.4378,,Surface,2,Image 1,1,52,11.9
32.5944,,Surface,2,Image 1,1,53,11.9
29.3219,,Surface,2,Image 1,1,54,11.9
26.8618,,Surface,2,Image 1,1,55,11.9
19.2664,,Surface,2,Image 1,1,56,11.9
26.1212,,Surface,2,Image 1,1,57,11.9
28.1556,,Surface,2,Image 1,1,58,11.9
28.9628,,Surface,2,Image 1,1,59,11.9
30.1726,,Surface,2,Image 1,1,60,11.9
26.2933,,Surface,2,Image 1,1,61,11.9
25.5349,,Surface,2,Image 1,1,62,11.9
27.8478,,Surface,2,Image 1,1,63,11.9
27.9486,,Surface,2,Image 1,1,64,11.9
21.6353,,Surface,2,Image 1,1,65,11.9
7.17199,,Surface,2,Image 1,1,66,11.9
30.0709,,Surface,2,Image 1,1,67,11.9
24.4903,,Surface,2,Image 1,1,68,11.9
23.2258,,Surface,2,Image 1,1,69,11.9
10.3885,,Surface,2,Image 1,1,70,11.9
21.5841,,Surface,2,Image 1,1,71,11.9
18.3143,,Surface,2,Image 1,1,72,11.9
28.1206,,Surface,2,Image 1,1,73,11.9
12.8712,,Surface,2,Image 1,1,74,11.9
12.9377,,Surface,2,Image 1,1,75,11.9
18.0528,,Surface,2,Image 1,1,76,11.9
22.1813,,Surface,2,Image 1,1,77,11.9
26.7624,,Surface,2,Image 1,1,78,11.9
21.9308,,Surface,2,Image 1,1,79,11.9
23.8417,,Surface,2,Image 1,1,80,11.9
16.5382,,Surface,2,Image 1,1,81,11.9
37.1544,,Surface,2,Image 1,1,82,11.9
9.85882,,Surface,2,Image 1,1,83,11.9
16.5517,,Surface,2,Image 1,1,84,11.9
28.8943,,Surface,2,Image 1,1,85,11.9
27.3671,,Surface,2,Image 1,1,86,11.9
27.0707,,Surface,2,Image 1,1,87,11.9
28.7261,,Surface,2,Image 1,1,88,11.9
25.2672,,Surface,2,Image 1,1,89,11.9
27.8168,,Surface,2,Image 1,1,90,11.9
31.4536,,Surface,2,Image 1,1,91,11.9
11.3415,,Surface,2,Image 1,1,92,11.9
21.157,,Surface,2,Image 1,1,93,11.9
21.6377,,Surface,2,Image 1,1,94,11.9
15.6391,,Surface,2,Image 1,1,95,11.9
19.9603,,Surface,2,Image 1,1,96,11.9
20.8033,,Surface,2,Image 1,1,97,11.9
17.8169,,Surface,2,Image 1,1,98,11.9
19.6906,,Surface,2,Image 1,1,99,11.9
22.6192,,Surface,2,Image 1,1,100,11.9
18.3028,,Surface,2,Image 1,1,101,11.9
20.1176,,Surface,2,Image 1,1,102,11.9
18.1826,,Surface,2,Image 1,1,103,11.9
15.4553,,Surface,2,Image 1,1,104,11.9
6.03448,,Surface,2,Image 1,1,105,11.9
