
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2482.89,1133.56,3392.12,um,Surface,Position,1,0,
2464.82,1150.12,3388.78,um,Surface,Position,1,1,
2459.88,1152.7,3387.96,um,Surface,Position,1,2,
2463.41,1155.06,3392.04,um,Surface,Position,1,3,
2457.73,1144.06,3397.38,um,Surface,Position,1,4,
2456.72,1160.07,3387.73,um,Surface,Position,1,5,
2455.11,1137.87,3379.44,um,Surface,Position,1,6,
2452.45,1128.95,3383.55,um,Surface,Position,1,7,
2483.21,1135.67,3377.85,um,Surface,Position,1,8,
2483.87,1130.22,3383.65,um,Surface,Position,1,9,
2484.91,1139.15,3385.12,um,Surface,Position,1,10,
2451.66,1155.06,3378.14,um,Surface,Position,1,11,
2456.24,1150.31,3382.78,um,Surface,Position,1,12,
2453.94,1144.29,3384.52,um,Surface,Position,1,13,
2449.23,1158.46,3384.48,um,Surface,Position,1,14,
2460.06,1151.09,3376.08,um,Surface,Position,1,15,
2458.34,1154.35,3376.2,um,Surface,Position,1,16,
2457.91,1156.08,3381.58,um,Surface,Position,1,17,
2463.45,1155.69,3380.51,um,Surface,Position,1,18,
2471.48,1155.97,3383.22,um,Surface,Position,1,19,
2467.42,1155.92,3385.17,um,Surface,Position,1,20,
2479.19,1139.97,3378.75,um,Surface,Position,1,21,
2480.8,1144.79,3383.97,um,Surface,Position,1,22,
2476.48,1153.3,3384.65,um,Surface,Position,1,23,
2436.36,1116.33,3365.51,um,Surface,Position,1,24,
2437.49,1119.67,3368.81,um,Surface,Position,1,25,
2442.72,1122.5,3363.97,um,Surface,Position,1,26,
2449.33,1130.44,3367.49,um,Surface,Position,1,27,
2443.37,1132.27,3368.07,um,Surface,Position,1,28,
2453.69,1128.72,3370.23,um,Surface,Position,1,29,
2446.87,1122.57,3373.06,um,Surface,Position,1,30,
2481.59,1129.62,3371,um,Surface,Position,1,31,
2450.5,1140.13,3368.62,um,Surface,Position,1,32,
2456.48,1144.57,3373.15,um,Surface,Position,1,33,
2451.83,1146.41,3373.51,um,Surface,Position,1,34,
2414.1,1105.04,3350.46,um,Surface,Position,1,35,
2432.44,1116.19,3357.61,um,Surface,Position,1,36,
2431.43,1108.52,3361.18,um,Surface,Position,1,37,
2436.02,1115.77,3360.48,um,Surface,Position,1,38,
2440.07,1121.96,3358.62,um,Surface,Position,1,39,
2447.13,1129.22,3361.6,um,Surface,Position,1,40,
