
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
107.127,,Surface,4,Image 1,1,0,
105.075,,Surface,4,Image 1,1,1,
88.6912,,Surface,4,Image 1,1,2,
92.1415,,Surface,4,Image 1,1,3,
98.1679,,Surface,4,Image 1,1,4,
111.477,,Surface,4,Image 1,1,5,
152.115,,Surface,4,Image 1,1,6,
118.307,,Surface,4,Image 1,1,7,
156.048,,Surface,4,Image 1,1,8,
122.166,,Surface,4,Image 1,1,9,
141.113,,Surface,4,Image 1,1,10,
92.9211,,Surface,4,Image 1,1,11,
96.2803,,Surface,4,Image 1,1,12,
126.07,,Surface,4,Image 1,1,13,
94.7899,,Surface,4,Image 1,1,14,
90.3588,,Surface,4,Image 1,1,15,
94.1739,,Surface,4,Image 1,1,16,
110.079,,Surface,4,Image 1,1,17,
97.97,,Surface,4,Image 1,1,18,
104.806,,Surface,4,Image 1,1,19,
94.041,,Surface,4,Image 1,1,20,
145.341,,Surface,4,Image 1,1,21,
166.007,,Surface,4,Image 1,1,22,
143.834,,Surface,4,Image 1,1,23,
132.32,,Surface,4,Image 1,1,24,
117.28,,Surface,4,Image 1,1,25,
116.394,,Surface,4,Image 1,1,26,
128.923,,Surface,4,Image 1,1,27,
101.019,,Surface,4,Image 1,1,28,
120.864,,Surface,4,Image 1,1,29,
95.3995,,Surface,4,Image 1,1,30,
141.347,,Surface,4,Image 1,1,31,
153.019,,Surface,4,Image 1,1,32,
126.628,,Surface,4,Image 1,1,33,
125.166,,Surface,4,Image 1,1,34,
90.4785,,Surface,4,Image 1,1,35,
103.259,,Surface,4,Image 1,1,36,
116.617,,Surface,4,Image 1,1,37,
138.326,,Surface,4,Image 1,1,38,
128.326,,Surface,4,Image 1,1,39,
116.818,,Surface,4,Image 1,1,40,
