
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
60.0787,,Surface,5,Image 1,1,0,
51.8029,,Surface,5,Image 1,1,1,
60.8396,,Surface,5,Image 1,1,2,
71.8881,,Surface,5,Image 1,1,3,
48.5357,,Surface,5,Image 1,1,4,
68.7019,,Surface,5,Image 1,1,5,
57.4683,,Surface,5,Image 1,1,6,
49.9077,,Surface,5,Image 1,1,7,
53.3637,,Surface,5,Image 1,1,8,
54.4059,,Surface,5,Image 1,1,9,
57.7831,,Surface,5,Image 1,1,10,
78.8703,,Surface,5,Image 1,1,11,
69.5675,,Surface,5,Image 1,1,12,
105.272,,Surface,5,Image 1,1,13,
54.9282,,Surface,5,Image 1,1,14,
51.5447,,Surface,5,Image 1,1,15,
58.5658,,Surface,5,Image 1,1,16,
58.6203,,Surface,5,Image 1,1,17,
53.2262,,Surface,5,Image 1,1,18,
69.9913,,Surface,5,Image 1,1,19,
67.5113,,Surface,5,Image 1,1,20,
47.4869,,Surface,5,Image 1,1,21,
54.396,,Surface,5,Image 1,1,22,
62.088,,Surface,5,Image 1,1,23,
60.7123,,Surface,5,Image 1,1,24,
77.243,,Surface,5,Image 1,1,25,
53.2699,,Surface,5,Image 1,1,26,
69.9655,,Surface,5,Image 1,1,27,
117.959,,Surface,5,Image 1,1,28,
50.5064,,Surface,5,Image 1,1,29,
51.3976,,Surface,5,Image 1,1,30,
48.3706,,Surface,5,Image 1,1,31,
67.5274,,Surface,5,Image 1,1,32,
55.9691,,Surface,5,Image 1,1,33,
99.2365,,Surface,5,Image 1,1,34,
77.1894,,Surface,5,Image 1,1,35,
77.3389,,Surface,5,Image 1,1,36,
77.3789,,Surface,5,Image 1,1,37,
51.5488,,Surface,5,Image 1,1,38,
48.7254,,Surface,5,Image 1,1,39,
52.8919,,Surface,5,Image 1,1,40,
