
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
28.4616,,Surface,3,Image 1,1,0,
29.1256,,Surface,3,Image 1,1,1,
31.3113,,Surface,3,Image 1,1,2,
31.5827,,Surface,3,Image 1,1,3,
29.9207,,Surface,3,Image 1,1,4,
28.6172,,Surface,3,Image 1,1,5,
33.1184,,Surface,3,Image 1,1,6,
38.4906,,Surface,3,Image 1,1,7,
37.9204,,Surface,3,Image 1,1,8,
31.1059,,Surface,3,Image 1,1,9,
40.8802,,Surface,3,Image 1,1,10,
36.7587,,Surface,3,Image 1,1,11,
28.4802,,Surface,3,Image 1,1,12,
33.3757,,Surface,3,Image 1,1,13,
37.3,,Surface,3,Image 1,1,14,
29.5371,,Surface,3,Image 1,1,15,
30.3408,,Surface,3,Image 1,1,16,
37.1058,,Surface,3,Image 1,1,17,
31.7382,,Surface,3,Image 1,1,18,
39.6612,,Surface,3,Image 1,1,19,
35.9468,,Surface,3,Image 1,1,20,
27.9635,,Surface,3,Image 1,1,21,
40.6612,,Surface,3,Image 1,1,22,
34.7798,,Surface,3,Image 1,1,23,
27.8893,,Surface,3,Image 1,1,24,
29.8461,,Surface,3,Image 1,1,25,
32.3582,,Surface,3,Image 1,1,26,
40.7919,,Surface,3,Image 1,1,27,
28.7337,,Surface,3,Image 1,1,28,
29.2141,,Surface,3,Image 1,1,29,
29.3974,,Surface,3,Image 1,1,30,
46.4409,,Surface,3,Image 1,1,31,
