
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
27.9368,,Surface,5,Image 1,1,0,
22.2594,,Surface,5,Image 1,1,1,
21.6946,,Surface,5,Image 1,1,2,
23.0129,,Surface,5,Image 1,1,3,
23.6533,,Surface,5,Image 1,1,4,
21.5071,,Surface,5,Image 1,1,5,
29.2153,,Surface,5,Image 1,1,6,
28.8271,,Surface,5,Image 1,1,7,
30.5873,,Surface,5,Image 1,1,8,
31.2854,,Surface,5,Image 1,1,9,
34.9109,,Surface,5,Image 1,1,10,
29.6412,,Surface,5,Image 1,1,11,
34.8335,,Surface,5,Image 1,1,12,
40.5899,,Surface,5,Image 1,1,13,
40.2016,,Surface,5,Image 1,1,14,
37.2463,,Surface,5,Image 1,1,15,
32.7032,,Surface,5,Image 1,1,16,
32.1214,,Surface,5,Image 1,1,17,
31.528,,Surface,5,Image 1,1,18,
39.6081,,Surface,5,Image 1,1,19,
23.2609,,Surface,5,Image 1,1,20,
25.9903,,Surface,5,Image 1,1,21,
28.2521,,Surface,5,Image 1,1,22,
42.5388,,Surface,5,Image 1,1,23,
31.3858,,Surface,5,Image 1,1,24,
36.8202,,Surface,5,Image 1,1,25,
41.6112,,Surface,5,Image 1,1,26,
37.4341,,Surface,5,Image 1,1,27,
19.9767,,Surface,5,Image 1,1,28,
27.6506,,Surface,5,Image 1,1,29,
21.5006,,Surface,5,Image 1,1,30,
27.1443,,Surface,5,Image 1,1,31,
26.2131,,Surface,5,Image 1,1,32,
31.3813,,Surface,5,Image 1,1,33,
20.1228,,Surface,5,Image 1,1,34,
26.8912,,Surface,5,Image 1,1,35,
25.0623,,Surface,5,Image 1,1,36,
25.9792,,Surface,5,Image 1,1,37,
22.5085,,Surface,5,Image 1,1,38,
40.0388,,Surface,5,Image 1,1,39,
29.0422,,Surface,5,Image 1,1,40,
33.8197,,Surface,5,Image 1,1,41,
39.3456,,Surface,5,Image 1,1,42,
40.6001,,Surface,5,Image 1,1,43,
39.6198,,Surface,5,Image 1,1,44,
31.4867,,Surface,5,Image 1,1,45,
24.8312,,Surface,5,Image 1,1,46,
30.9604,,Surface,5,Image 1,1,47,
52.0165,,Surface,5,Image 1,1,48,
27.5179,,Surface,5,Image 1,1,49,
21.3299,,Surface,5,Image 1,1,50,
