
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.9398,,Surface,4,Image 1,1,0,
10.7345,,Surface,4,Image 1,1,1,
10.6627,,Surface,4,Image 1,1,2,
14.9426,,Surface,4,Image 1,1,3,
10.3528,,Surface,4,Image 1,1,4,
14.1892,,Surface,4,Image 1,1,5,
11.9302,,Surface,4,Image 1,1,6,
10.3972,,Surface,4,Image 1,1,7,
10.8153,,Surface,4,Image 1,1,8,
10.6098,,Surface,4,Image 1,1,9,
18.5329,,Surface,4,Image 1,1,10,
12.401,,Surface,4,Image 1,1,11,
14.012,,Surface,4,Image 1,1,12,
23.9467,,Surface,4,Image 1,1,13,
10.8798,,Surface,4,Image 1,1,14,
11.5471,,Surface,4,Image 1,1,15,
12.424,,Surface,4,Image 1,1,16,
17.0085,,Surface,4,Image 1,1,17,
12.1109,,Surface,4,Image 1,1,18,
14.4919,,Surface,4,Image 1,1,19,
14.2224,,Surface,4,Image 1,1,20,
19.0315,,Surface,4,Image 1,1,21,
18.5956,,Surface,4,Image 1,1,22,
16.5222,,Surface,4,Image 1,1,23,
17.256,,Surface,4,Image 1,1,24,
10.9212,,Surface,4,Image 1,1,25,
12.8733,,Surface,4,Image 1,1,26,
16.4522,,Surface,4,Image 1,1,27,
12.186,,Surface,4,Image 1,1,28,
