
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
31.625,,Surface,3,Image 1,1,0,
32.3129,,Surface,3,Image 1,1,1,
29.4877,,Surface,3,Image 1,1,2,
28.2966,,Surface,3,Image 1,1,3,
24.8993,,Surface,3,Image 1,1,4,
25.0911,,Surface,3,Image 1,1,5,
27.0197,,Surface,3,Image 1,1,6,
38.6804,,Surface,3,Image 1,1,7,
28.8659,,Surface,3,Image 1,1,8,
26.3236,,Surface,3,Image 1,1,9,
31.6287,,Surface,3,Image 1,1,10,
25.1643,,Surface,3,Image 1,1,11,
31.4871,,Surface,3,Image 1,1,12,
28.1619,,Surface,3,Image 1,1,13,
32.7604,,Surface,3,Image 1,1,14,
29.5362,,Surface,3,Image 1,1,15,
37.5855,,Surface,3,Image 1,1,16,
31.4979,,Surface,3,Image 1,1,17,
26.1043,,Surface,3,Image 1,1,18,
26.9837,,Surface,3,Image 1,1,19,
31.4872,,Surface,3,Image 1,1,20,
27.7181,,Surface,3,Image 1,1,21,
31.0405,,Surface,3,Image 1,1,22,
29.537,,Surface,3,Image 1,1,23,
27.9776,,Surface,3,Image 1,1,24,
30.2758,,Surface,3,Image 1,1,25,
27.736,,Surface,3,Image 1,1,26,
29.601,,Surface,3,Image 1,1,27,
30.0847,,Surface,3,Image 1,1,28,
