
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
21.0075,66.923,39.7627,um,Surface,Position,1,0,
21.511,67.5558,33.9086,um,Surface,Position,1,1,
32.0736,49.454,32.4337,um,Surface,Position,1,2,
24.834,50.9515,33.1205,um,Surface,Position,1,3,
38.433,39.5462,33.1931,um,Surface,Position,1,4,
36.95,33.7519,28.6998,um,Surface,Position,1,5,
15.0599,61.0382,27.8723,um,Surface,Position,1,6,
53.9451,59.9236,30.0726,um,Surface,Position,1,7,
59.5298,61.3353,29.7686,um,Surface,Position,1,8,
70.7606,55.5493,28.1948,um,Surface,Position,1,9,
28.2753,48.1903,23.6554,um,Surface,Position,1,10,
23.5285,39.8573,24.7682,um,Surface,Position,1,11,
21.2381,59.1318,23.3141,um,Surface,Position,1,12,
22.0846,51.3938,26.5068,um,Surface,Position,1,13,
59.0349,51.8543,25.567,um,Surface,Position,1,14,
74.4831,59.1267,25.5749,um,Surface,Position,1,15,
48.8238,70.3698,26.023,um,Surface,Position,1,16,
21.4617,42.2396,18.4221,um,Surface,Position,1,17,
60.2104,46.554,21.7167,um,Surface,Position,1,18,
21.8108,52.8457,20.3456,um,Surface,Position,1,19,
19.4014,65.3977,21.4319,um,Surface,Position,1,20,
84.3348,57.9974,19.2396,um,Surface,Position,1,21,
79.325,57.8285,22.2754,um,Surface,Position,1,22,
24.7559,47.4768,15.8437,um,Surface,Position,1,23,
19.5893,45.1788,17.0005,um,Surface,Position,1,24,
46.3061,36.2439,15.7712,um,Surface,Position,1,25,
23.7911,60.4169,17.5685,um,Surface,Position,1,26,
63.0662,56.1324,16.6579,um,Surface,Position,1,27,
77.5271,60.3612,13.6503,um,Surface,Position,1,28,
