
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
193,,Surface,2,Image 1,1,0,
190,,Surface,2,Image 1,1,1,
168,,Surface,2,Image 1,1,2,
208,,Surface,2,Image 1,1,3,
117,,Surface,2,Image 1,1,4,
208,,Surface,2,Image 1,1,5,
230,,Surface,2,Image 1,1,6,
142,,Surface,2,Image 1,1,7,
129,,Surface,2,Image 1,1,8,
219,,Surface,2,Image 1,1,9,
217,,Surface,2,Image 1,1,10,
239,,Surface,2,Image 1,1,11,
197,,Surface,2,Image 1,1,12,
207,,Surface,2,Image 1,1,13,
195,,Surface,2,Image 1,1,14,
182,,Surface,2,Image 1,1,15,
171,,Surface,2,Image 1,1,16,
198,,Surface,2,Image 1,1,17,
255,,Surface,2,Image 1,1,18,
177,,Surface,2,Image 1,1,19,
250,,Surface,2,Image 1,1,20,
242,,Surface,2,Image 1,1,21,
248,,Surface,2,Image 1,1,22,
162,,Surface,2,Image 1,1,23,
190,,Surface,2,Image 1,1,24,
137,,Surface,2,Image 1,1,25,
139,,Surface,2,Image 1,1,26,
154,,Surface,2,Image 1,1,27,
247,,Surface,2,Image 1,1,28,
