
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
14,,Surface,3,Image 1,1,0,
12.3734,,Surface,3,Image 1,1,1,
11.6478,,Surface,3,Image 1,1,2,
14.6541,,Surface,3,Image 1,1,3,
14.3677,,Surface,3,Image 1,1,4,
11.4767,,Surface,3,Image 1,1,5,
10.0871,,Surface,3,Image 1,1,6,
14.0363,,Surface,3,Image 1,1,7,
14.9357,,Surface,3,Image 1,1,8,
14.4075,,Surface,3,Image 1,1,9,
10.0536,,Surface,3,Image 1,1,10,
14.4464,,Surface,3,Image 1,1,11,
11.9855,,Surface,3,Image 1,1,12,
9.41244,,Surface,3,Image 1,1,13,
11.917,,Surface,3,Image 1,1,14,
14.1458,,Surface,3,Image 1,1,15,
10.9108,,Surface,3,Image 1,1,16,
9.65412,,Surface,3,Image 1,1,17,
11.0399,,Surface,3,Image 1,1,18,
13.8975,,Surface,3,Image 1,1,19,
12.4159,,Surface,3,Image 1,1,20,
13.594,,Surface,3,Image 1,1,21,
12.6237,,Surface,3,Image 1,1,22,
11.0441,,Surface,3,Image 1,1,23,
10.1419,,Surface,3,Image 1,1,24,
14.4992,,Surface,3,Image 1,1,25,
11.2324,,Surface,3,Image 1,1,26,
9.43557,,Surface,3,Image 1,1,27,
13.4643,,Surface,3,Image 1,1,28,
14.1645,,Surface,3,Image 1,1,29,
13.659,,Surface,3,Image 1,1,30,
12.4172,,Surface,3,Image 1,1,31,
9.22669,,Surface,3,Image 1,1,32,
11.1403,,Surface,3,Image 1,1,33,
14.7598,,Surface,3,Image 1,1,34,
9.04303,,Surface,3,Image 1,1,35,
11.5275,,Surface,3,Image 1,1,36,
14.4404,,Surface,3,Image 1,1,37,
14.4962,,Surface,3,Image 1,1,38,
14.7033,,Surface,3,Image 1,1,39,
10.1578,,Surface,3,Image 1,1,40,
11.9489,,Surface,3,Image 1,1,41,
11.4849,,Surface,3,Image 1,1,42,
14.2689,,Surface,3,Image 1,1,43,
11.8557,,Surface,3,Image 1,1,44,
13.4552,,Surface,3,Image 1,1,45,
