
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
190,,Surface,2,Image 1,1,0,
255,,Surface,2,Image 1,1,1,
216,,Surface,2,Image 1,1,2,
180,,Surface,2,Image 1,1,3,
196,,Surface,2,Image 1,1,4,
145,,Surface,2,Image 1,1,5,
191,,Surface,2,Image 1,1,6,
176,,Surface,2,Image 1,1,7,
140,,Surface,2,Image 1,1,8,
187,,Surface,2,Image 1,1,9,
246,,Surface,2,Image 1,1,10,
151,,Surface,2,Image 1,1,11,
190,,Surface,2,Image 1,1,12,
198,,Surface,2,Image 1,1,13,
240,,Surface,2,Image 1,1,14,
245,,Surface,2,Image 1,1,15,
198,,Surface,2,Image 1,1,16,
161,,Surface,2,Image 1,1,17,
138,,Surface,2,Image 1,1,18,
125,,Surface,2,Image 1,1,19,
231,,Surface,2,Image 1,1,20,
196,,Surface,2,Image 1,1,21,
254,,Surface,2,Image 1,1,22,
169,,Surface,2,Image 1,1,23,
142,,Surface,2,Image 1,1,24,
208,,Surface,2,Image 1,1,25,
141,,Surface,2,Image 1,1,26,
173,,Surface,2,Image 1,1,27,
129,,Surface,2,Image 1,1,28,
210,,Surface,2,Image 1,1,29,
131,,Surface,2,Image 1,1,30,
171,,Surface,2,Image 1,1,31,
214,,Surface,2,Image 1,1,32,
128,,Surface,2,Image 1,1,33,
161,,Surface,2,Image 1,1,34,
124,,Surface,2,Image 1,1,35,
255,,Surface,2,Image 1,1,36,
196,,Surface,2,Image 1,1,37,
206,,Surface,2,Image 1,1,38,
201,,Surface,2,Image 1,1,39,
123,,Surface,2,Image 1,1,40,
126,,Surface,2,Image 1,1,41,
149,,Surface,2,Image 1,1,42,
167,,Surface,2,Image 1,1,43,
221,,Surface,2,Image 1,1,44,
158,,Surface,2,Image 1,1,45,
