
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.8449,,Surface,4,Image 1,1,0,
8.73352,,Surface,4,Image 1,1,1,
9.10149,,Surface,4,Image 1,1,2,
8.04079,,Surface,4,Image 1,1,3,
8.91724,,Surface,4,Image 1,1,4,
13.1432,,Surface,4,Image 1,1,5,
13.9577,,Surface,4,Image 1,1,6,
15.9196,,Surface,4,Image 1,1,7,
6.31622,,Surface,4,Image 1,1,8,
7.27038,,Surface,4,Image 1,1,9,
7.02883,,Surface,4,Image 1,1,10,
5.47075,,Surface,4,Image 1,1,11,
5.57604,,Surface,4,Image 1,1,12,
11.8094,,Surface,4,Image 1,1,13,
7.12523,,Surface,4,Image 1,1,14,
6.47875,,Surface,4,Image 1,1,15,
6.02823,,Surface,4,Image 1,1,16,
16.2339,,Surface,4,Image 1,1,17,
13.9861,,Surface,4,Image 1,1,18,
6.85968,,Surface,4,Image 1,1,19,
9.59642,,Surface,4,Image 1,1,20,
7.9343,,Surface,4,Image 1,1,21,
5.83917,,Surface,4,Image 1,1,22,
