
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
35.7597,113.657,-14.1061,um,Surface,Position,1,0,
25.875,98.7717,-33.2636,um,Surface,Position,1,1,
26.0654,108.099,-27.6134,um,Surface,Position,1,2,
38.339,115.937,-33.978,um,Surface,Position,1,3,
60.3154,79.5698,-22.4349,um,Surface,Position,1,4,
34.8508,124.601,-40.5123,um,Surface,Position,1,5,
38.8472,121.84,-45.3551,um,Surface,Position,1,6,
39.4059,126.746,-44.4162,um,Surface,Position,1,7,
22.1562,88.6658,-38.9984,um,Surface,Position,1,8,
25.4262,94.5215,-36.9833,um,Surface,Position,1,9,
29.9439,91.5773,-40.9762,um,Surface,Position,1,10,
38.4242,98.9467,-42.5122,um,Surface,Position,1,11,
25.2743,104.286,-38.6757,um,Surface,Position,1,12,
30.3362,101.948,-41.119,um,Surface,Position,1,13,
28.9653,109.027,-41.0623,um,Surface,Position,1,14,
30.9533,105.096,-36.8374,um,Surface,Position,1,15,
40.7309,102.11,-45.2905,um,Surface,Position,1,16,
47.3599,107.389,-48.6502,um,Surface,Position,1,17,
34.9679,118.852,-41.6473,um,Surface,Position,1,18,
35.2128,112.358,-35.5854,um,Surface,Position,1,19,
42.6733,112.953,-48.3611,um,Surface,Position,1,20,
37.6054,112.684,-45.6718,um,Surface,Position,1,21,
46.0446,111.983,-44.919,um,Surface,Position,1,22,
