
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.59568,,Surface,5,Image 1,1,0,
8.76766,,Surface,5,Image 1,1,1,
9.57325,,Surface,5,Image 1,1,2,
8.61075,,Surface,5,Image 1,1,3,
15.2605,,Surface,5,Image 1,1,4,
8.82507,,Surface,5,Image 1,1,5,
7.47634,,Surface,5,Image 1,1,6,
8.0656,,Surface,5,Image 1,1,7,
7.72533,,Surface,5,Image 1,1,8,
8.46746,,Surface,5,Image 1,1,9,
8.72167,,Surface,5,Image 1,1,10,
9.59992,,Surface,5,Image 1,1,11,
9.42535,,Surface,5,Image 1,1,12,
8.77343,,Surface,5,Image 1,1,13,
10.6709,,Surface,5,Image 1,1,14,
9.07045,,Surface,5,Image 1,1,15,
6.77504,,Surface,5,Image 1,1,16,
7.63064,,Surface,5,Image 1,1,17,
7.49236,,Surface,5,Image 1,1,18,
10.058,,Surface,5,Image 1,1,19,
7.43349,,Surface,5,Image 1,1,20,
7.36303,,Surface,5,Image 1,1,21,
8.64937,,Surface,5,Image 1,1,22,
