
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
80.0068,,Surface,5,Image 1,1,0,
64.5748,,Surface,5,Image 1,1,1,
97.3891,,Surface,5,Image 1,1,2,
94.0734,,Surface,5,Image 1,1,3,
92.1662,,Surface,5,Image 1,1,4,
52.5,,Surface,5,Image 1,1,5,
91.726,,Surface,5,Image 1,1,6,
60.186,,Surface,5,Image 1,1,7,
66.2615,,Surface,5,Image 1,1,8,
61.8547,,Surface,5,Image 1,1,9,
50.2984,,Surface,5,Image 1,1,10,
58.5245,,Surface,5,Image 1,1,11,
55.947,,Surface,5,Image 1,1,12,
79.5597,,Surface,5,Image 1,1,13,
80.2793,,Surface,5,Image 1,1,14,
78.8482,,Surface,5,Image 1,1,15,
82.815,,Surface,5,Image 1,1,16,
77.7182,,Surface,5,Image 1,1,17,
67.6024,,Surface,5,Image 1,1,18,
86.2186,,Surface,5,Image 1,1,19,
93.5362,,Surface,5,Image 1,1,20,
73.2231,,Surface,5,Image 1,1,21,
70.8533,,Surface,5,Image 1,1,22,
65.0747,,Surface,5,Image 1,1,23,
69.1471,,Surface,5,Image 1,1,24,
80.6464,,Surface,5,Image 1,1,25,
103.663,,Surface,5,Image 1,1,26,
68.712,,Surface,5,Image 1,1,27,
80.4191,,Surface,5,Image 1,1,28,
64.5416,,Surface,5,Image 1,1,29,
81.4685,,Surface,5,Image 1,1,30,
84.0171,,Surface,5,Image 1,1,31,
54,,Surface,5,Image 1,1,32,
79.875,,Surface,5,Image 1,1,33,
69.4765,,Surface,5,Image 1,1,34,
108.223,,Surface,5,Image 1,1,35,
91.2901,,Surface,5,Image 1,1,36,
96.4941,,Surface,5,Image 1,1,37,
76.6967,,Surface,5,Image 1,1,38,
95.6306,,Surface,5,Image 1,1,39,
90.4335,,Surface,5,Image 1,1,40,
129.749,,Surface,5,Image 1,1,41,
84.7106,,Surface,5,Image 1,1,42,
109.351,,Surface,5,Image 1,1,43,
92.1826,,Surface,5,Image 1,1,44,
59.4997,,Surface,5,Image 1,1,45,
73.0598,,Surface,5,Image 1,1,46,
57.4672,,Surface,5,Image 1,1,47,
59.9279,,Surface,5,Image 1,1,48,
74.9966,,Surface,5,Image 1,1,49,
61.5853,,Surface,5,Image 1,1,50,
59.7514,,Surface,5,Image 1,1,51,
62.9957,,Surface,5,Image 1,1,52,
65.4247,,Surface,5,Image 1,1,53,
62.1499,,Surface,5,Image 1,1,54,
59.4126,,Surface,5,Image 1,1,55,
112.083,,Surface,5,Image 1,1,56,
91.6161,,Surface,5,Image 1,1,57,
90.2135,,Surface,5,Image 1,1,58,
92.4657,,Surface,5,Image 1,1,59,
101.479,,Surface,5,Image 1,1,60,
128.28,,Surface,5,Image 1,1,61,
77.4855,,Surface,5,Image 1,1,62,
82.8765,,Surface,5,Image 1,1,63,
93.6665,,Surface,5,Image 1,1,64,
84.5946,,Surface,5,Image 1,1,65,
132.363,,Surface,5,Image 1,1,66,
97.6067,,Surface,5,Image 1,1,67,
111.898,,Surface,5,Image 1,1,68,
96.9819,,Surface,5,Image 1,1,69,
78.778,,Surface,5,Image 1,1,70,
71.8462,,Surface,5,Image 1,1,71,
90.6945,,Surface,5,Image 1,1,72,
74.7894,,Surface,5,Image 1,1,73,
77.243,,Surface,5,Image 1,1,74,
53.2699,,Surface,5,Image 1,1,75,
52.164,,Surface,5,Image 1,1,76,
79.4189,,Surface,5,Image 1,1,77,
57.9805,,Surface,5,Image 1,1,78,
83.1897,,Surface,5,Image 1,1,79,
96.9361,,Surface,5,Image 1,1,80,
91.4475,,Surface,5,Image 1,1,81,
84.0782,,Surface,5,Image 1,1,82,
89.8943,,Surface,5,Image 1,1,83,
74.0709,,Surface,5,Image 1,1,84,
79.4345,,Surface,5,Image 1,1,85,
85.1929,,Surface,5,Image 1,1,86,
86.0435,,Surface,5,Image 1,1,87,
105.282,,Surface,5,Image 1,1,88,
116.219,,Surface,5,Image 1,1,89,
102.662,,Surface,5,Image 1,1,90,
89.9282,,Surface,5,Image 1,1,91,
112.358,,Surface,5,Image 1,1,92,
125.567,,Surface,5,Image 1,1,93,
78.8376,,Surface,5,Image 1,1,94,
105.264,,Surface,5,Image 1,1,95,
103.11,,Surface,5,Image 1,1,96,
99.9265,,Surface,5,Image 1,1,97,
119.671,,Surface,5,Image 1,1,98,
83.8504,,Surface,5,Image 1,1,99,
117.959,,Surface,5,Image 1,1,100,
117.634,,Surface,5,Image 1,1,101,
51.3976,,Surface,5,Image 1,1,102,
97.5509,,Surface,5,Image 1,1,103,
76.2976,,Surface,5,Image 1,1,104,
51.1436,,Surface,5,Image 1,1,105,
57.0976,,Surface,5,Image 1,1,106,
59.5863,,Surface,5,Image 1,1,107,
59.6088,,Surface,5,Image 1,1,108,
88.0295,,Surface,5,Image 1,1,109,
73.2266,,Surface,5,Image 1,1,110,
93.1759,,Surface,5,Image 1,1,111,
98.156,,Surface,5,Image 1,1,112,
65.9417,,Surface,5,Image 1,1,113,
78.6801,,Surface,5,Image 1,1,114,
61.5309,,Surface,5,Image 1,1,115,
74.0945,,Surface,5,Image 1,1,116,
51.1629,,Surface,5,Image 1,1,117,
114.313,,Surface,5,Image 1,1,118,
103.624,,Surface,5,Image 1,1,119,
114.372,,Surface,5,Image 1,1,120,
103.374,,Surface,5,Image 1,1,121,
60.2021,,Surface,5,Image 1,1,122,
49.1644,,Surface,5,Image 1,1,123,
61.758,,Surface,5,Image 1,1,124,
77.3669,,Surface,5,Image 1,1,125,
75.2368,,Surface,5,Image 1,1,126,
87.7919,,Surface,5,Image 1,1,127,
81.8846,,Surface,5,Image 1,1,128,
74.3374,,Surface,5,Image 1,1,129,
83.9868,,Surface,5,Image 1,1,130,
87.4305,,Surface,5,Image 1,1,131,
77.3389,,Surface,5,Image 1,1,132,
90.1654,,Surface,5,Image 1,1,133,
48.7254,,Surface,5,Image 1,1,134,
100.784,,Surface,5,Image 1,1,135,
88.5588,,Surface,5,Image 1,1,136,
65.9919,,Surface,5,Image 1,1,137,
88.4867,,Surface,5,Image 1,1,138,
80.038,,Surface,5,Image 1,1,139,
90.7659,,Surface,5,Image 1,1,140,
103.936,,Surface,5,Image 1,1,141,
110.808,,Surface,5,Image 1,1,142,
103.96,,Surface,5,Image 1,1,143,
92.8865,,Surface,5,Image 1,1,144,
96.5778,,Surface,5,Image 1,1,145,
52.8919,,Surface,5,Image 1,1,146,
62.0198,,Surface,5,Image 1,1,147,
48.7992,,Surface,5,Image 1,1,148,
53.4589,,Surface,5,Image 1,1,149,
49.8694,,Surface,5,Image 1,1,150,
