
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
47.3768,,Surface,4,Image 1,1,0,
42.1796,,Surface,4,Image 1,1,1,
68.6265,,Surface,4,Image 1,1,2,
112.833,,Surface,4,Image 1,1,3,
100.048,,Surface,4,Image 1,1,4,
94.5486,,Surface,4,Image 1,1,5,
126.96,,Surface,4,Image 1,1,6,
196.14,,Surface,4,Image 1,1,7,
50.3277,,Surface,4,Image 1,1,8,
89.8505,,Surface,4,Image 1,1,9,
46.1217,,Surface,4,Image 1,1,10,
42.315,,Surface,4,Image 1,1,11,
42.4835,,Surface,4,Image 1,1,12,
80.2933,,Surface,4,Image 1,1,13,
63.6712,,Surface,4,Image 1,1,14,
78.2707,,Surface,4,Image 1,1,15,
279.857,,Surface,4,Image 1,1,16,
73.0873,,Surface,4,Image 1,1,17,
60.0724,,Surface,4,Image 1,1,18,
59.3742,,Surface,4,Image 1,1,19,
91.3739,,Surface,4,Image 1,1,20,
119.366,,Surface,4,Image 1,1,21,
100.462,,Surface,4,Image 1,1,22,
63.5754,,Surface,4,Image 1,1,23,
61.9784,,Surface,4,Image 1,1,24,
84.5082,,Surface,4,Image 1,1,25,
112.225,,Surface,4,Image 1,1,26,
59.6817,,Surface,4,Image 1,1,27,
46.6261,,Surface,4,Image 1,1,28,
44.4691,,Surface,4,Image 1,1,29,
44.7837,,Surface,4,Image 1,1,30,
45.0544,,Surface,4,Image 1,1,31,
51.3577,,Surface,4,Image 1,1,32,
83.4299,,Surface,4,Image 1,1,33,
56.7066,,Surface,4,Image 1,1,34,
46.5161,,Surface,4,Image 1,1,35,
59.5697,,Surface,4,Image 1,1,36,
72.6001,,Surface,4,Image 1,1,37,
51.2791,,Surface,4,Image 1,1,38,
86.3484,,Surface,4,Image 1,1,39,
86.3915,,Surface,4,Image 1,1,40,
116.322,,Surface,4,Image 1,1,41,
126.523,,Surface,4,Image 1,1,42,
66.801,,Surface,4,Image 1,1,43,
49.3107,,Surface,4,Image 1,1,44,
44.8193,,Surface,4,Image 1,1,45,
79.6513,,Surface,4,Image 1,1,46,
57.0824,,Surface,4,Image 1,1,47,
51.3765,,Surface,4,Image 1,1,48,
68.9538,,Surface,4,Image 1,1,49,
53.8032,,Surface,4,Image 1,1,50,
54.2672,,Surface,4,Image 1,1,51,
108.802,,Surface,4,Image 1,1,52,
181.26,,Surface,4,Image 1,1,53,
56.0981,,Surface,4,Image 1,1,54,
62.1334,,Surface,4,Image 1,1,55,
57.6711,,Surface,4,Image 1,1,56,
49.7432,,Surface,4,Image 1,1,57,
51.0714,,Surface,4,Image 1,1,58,
46.9597,,Surface,4,Image 1,1,59,
52.3709,,Surface,4,Image 1,1,60,
53.8346,,Surface,4,Image 1,1,61,
71.6002,,Surface,4,Image 1,1,62,
52.888,,Surface,4,Image 1,1,63,
61.4841,,Surface,4,Image 1,1,64,
72.0934,,Surface,4,Image 1,1,65,
78.0657,,Surface,4,Image 1,1,66,
57.9974,,Surface,4,Image 1,1,67,
82.6661,,Surface,4,Image 1,1,68,
63.884,,Surface,4,Image 1,1,69,
110.224,,Surface,4,Image 1,1,70,
59.6065,,Surface,4,Image 1,1,71,
85.1004,,Surface,4,Image 1,1,72,
107.412,,Surface,4,Image 1,1,73,
304.505,,Surface,4,Image 1,1,74,
229.647,,Surface,4,Image 1,1,75,
154.791,,Surface,4,Image 1,1,76,
152.665,,Surface,4,Image 1,1,77,
64.9134,,Surface,4,Image 1,1,78,
58.5705,,Surface,4,Image 1,1,79,
58.9751,,Surface,4,Image 1,1,80,
63.4299,,Surface,4,Image 1,1,81,
154.612,,Surface,4,Image 1,1,82,
100.902,,Surface,4,Image 1,1,83,
206.145,,Surface,4,Image 1,1,84,
134.9,,Surface,4,Image 1,1,85,
162.088,,Surface,4,Image 1,1,86,
207.217,,Surface,4,Image 1,1,87,
60.1632,,Surface,4,Image 1,1,88,
55.4821,,Surface,4,Image 1,1,89,
116.25,,Surface,4,Image 1,1,90,
78.6501,,Surface,4,Image 1,1,91,
74.4361,,Surface,4,Image 1,1,92,
60.9372,,Surface,4,Image 1,1,93,
206.992,,Surface,4,Image 1,1,94,
191.267,,Surface,4,Image 1,1,95,
101.143,,Surface,4,Image 1,1,96,
57.2187,,Surface,4,Image 1,1,97,
64.2768,,Surface,4,Image 1,1,98,
61.7106,,Surface,4,Image 1,1,99,
58.9018,,Surface,4,Image 1,1,100,
55.0972,,Surface,4,Image 1,1,101,
54.712,,Surface,4,Image 1,1,102,
55.9043,,Surface,4,Image 1,1,103,
113.958,,Surface,4,Image 1,1,104,
59.4028,,Surface,4,Image 1,1,105,
69.6491,,Surface,4,Image 1,1,106,
65.5393,,Surface,4,Image 1,1,107,
162.172,,Surface,4,Image 1,1,108,
71.749,,Surface,4,Image 1,1,109,
55.5447,,Surface,4,Image 1,1,110,
