
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
205,,Surface,3,Image 1,1,0,
204,,Surface,3,Image 1,1,1,
217,,Surface,3,Image 1,1,2,
222,,Surface,3,Image 1,1,3,
262,,Surface,3,Image 1,1,4,
189,,Surface,3,Image 1,1,5,
221,,Surface,3,Image 1,1,6,
223,,Surface,3,Image 1,1,7,
185,,Surface,3,Image 1,1,8,
182,,Surface,3,Image 1,1,9,
183,,Surface,3,Image 1,1,10,
219,,Surface,3,Image 1,1,11,
196,,Surface,3,Image 1,1,12,
249,,Surface,3,Image 1,1,13,
200,,Surface,3,Image 1,1,14,
282,,Surface,3,Image 1,1,15,
228,,Surface,3,Image 1,1,16,
347,,Surface,3,Image 1,1,17,
302,,Surface,3,Image 1,1,18,
222,,Surface,3,Image 1,1,19,
189,,Surface,3,Image 1,1,20,
245,,Surface,3,Image 1,1,21,
180,,Surface,3,Image 1,1,22,
370,,Surface,3,Image 1,1,23,
211,,Surface,3,Image 1,1,24,
189,,Surface,3,Image 1,1,25,
177,,Surface,3,Image 1,1,26,
208,,Surface,3,Image 1,1,27,
408,,Surface,3,Image 1,1,28,
247,,Surface,3,Image 1,1,29,
236,,Surface,3,Image 1,1,30,
207,,Surface,3,Image 1,1,31,
233,,Surface,3,Image 1,1,32,
249,,Surface,3,Image 1,1,33,
260,,Surface,3,Image 1,1,34,
186,,Surface,3,Image 1,1,35,
233,,Surface,3,Image 1,1,36,
222,,Surface,3,Image 1,1,37,
249,,Surface,3,Image 1,1,38,
179,,Surface,3,Image 1,1,39,
189,,Surface,3,Image 1,1,40,
187,,Surface,3,Image 1,1,41,
198,,Surface,3,Image 1,1,42,
195,,Surface,3,Image 1,1,43,
223,,Surface,3,Image 1,1,44,
390,,Surface,3,Image 1,1,45,
246,,Surface,3,Image 1,1,46,
248,,Surface,3,Image 1,1,47,
235,,Surface,3,Image 1,1,48,
278,,Surface,3,Image 1,1,49,
254,,Surface,3,Image 1,1,50,
203,,Surface,3,Image 1,1,51,
245,,Surface,3,Image 1,1,52,
177,,Surface,3,Image 1,1,53,
324,,Surface,3,Image 1,1,54,
243,,Surface,3,Image 1,1,55,
192,,Surface,3,Image 1,1,56,
217,,Surface,3,Image 1,1,57,
184,,Surface,3,Image 1,1,58,
312,,Surface,3,Image 1,1,59,
357,,Surface,3,Image 1,1,60,
221,,Surface,3,Image 1,1,61,
276,,Surface,3,Image 1,1,62,
210,,Surface,3,Image 1,1,63,
244,,Surface,3,Image 1,1,64,
280,,Surface,3,Image 1,1,65,
353,,Surface,3,Image 1,1,66,
575,,Surface,3,Image 1,1,67,
439,,Surface,3,Image 1,1,68,
184,,Surface,3,Image 1,1,69,
216,,Surface,3,Image 1,1,70,
273,,Surface,3,Image 1,1,71,
268,,Surface,3,Image 1,1,72,
415,,Surface,3,Image 1,1,73,
208,,Surface,3,Image 1,1,74,
193,,Surface,3,Image 1,1,75,
234,,Surface,3,Image 1,1,76,
335,,Surface,3,Image 1,1,77,
226,,Surface,3,Image 1,1,78,
230,,Surface,3,Image 1,1,79,
190,,Surface,3,Image 1,1,80,
199,,Surface,3,Image 1,1,81,
492,,Surface,3,Image 1,1,82,
178,,Surface,3,Image 1,1,83,
419,,Surface,3,Image 1,1,84,
230,,Surface,3,Image 1,1,85,
180,,Surface,3,Image 1,1,86,
210,,Surface,3,Image 1,1,87,
199,,Surface,3,Image 1,1,88,
199,,Surface,3,Image 1,1,89,
218,,Surface,3,Image 1,1,90,
256,,Surface,3,Image 1,1,91,
398,,Surface,3,Image 1,1,92,
181,,Surface,3,Image 1,1,93,
247,,Surface,3,Image 1,1,94,
354,,Surface,3,Image 1,1,95,
889,,Surface,3,Image 1,1,96,
258,,Surface,3,Image 1,1,97,
339,,Surface,3,Image 1,1,98,
633,,Surface,3,Image 1,1,99,
363,,Surface,3,Image 1,1,100,
213,,Surface,3,Image 1,1,101,
263,,Surface,3,Image 1,1,102,
461,,Surface,3,Image 1,1,103,
320,,Surface,3,Image 1,1,104,
334,,Surface,3,Image 1,1,105,
312,,Surface,3,Image 1,1,106,
365,,Surface,3,Image 1,1,107,
314,,Surface,3,Image 1,1,108,
317,,Surface,3,Image 1,1,109,
387,,Surface,3,Image 1,1,110,
239,,Surface,3,Image 1,1,111,
342,,Surface,3,Image 1,1,112,
322,,Surface,3,Image 1,1,113,
235,,Surface,3,Image 1,1,114,
259,,Surface,3,Image 1,1,115,
326,,Surface,3,Image 1,1,116,
235,,Surface,3,Image 1,1,117,
280,,Surface,3,Image 1,1,118,
241,,Surface,3,Image 1,1,119,
434,,Surface,3,Image 1,1,120,
234,,Surface,3,Image 1,1,121,
405,,Surface,3,Image 1,1,122,
222,,Surface,3,Image 1,1,123,
335,,Surface,3,Image 1,1,124,
201,,Surface,3,Image 1,1,125,
301,,Surface,3,Image 1,1,126,
234,,Surface,3,Image 1,1,127,
192,,Surface,3,Image 1,1,128,
221,,Surface,3,Image 1,1,129,
197,,Surface,3,Image 1,1,130,
283,,Surface,3,Image 1,1,131,
275,,Surface,3,Image 1,1,132,
235,,Surface,3,Image 1,1,133,
209,,Surface,3,Image 1,1,134,
209,,Surface,3,Image 1,1,135,
230,,Surface,3,Image 1,1,136,
201,,Surface,3,Image 1,1,137,
501,,Surface,3,Image 1,1,138,
363,,Surface,3,Image 1,1,139,
183,,Surface,3,Image 1,1,140,
546,,Surface,3,Image 1,1,141,
269,,Surface,3,Image 1,1,142,
276,,Surface,3,Image 1,1,143,
215,,Surface,3,Image 1,1,144,
297,,Surface,3,Image 1,1,145,
357,,Surface,3,Image 1,1,146,
483,,Surface,3,Image 1,1,147,
808,,Surface,3,Image 1,1,148,
387,,Surface,3,Image 1,1,149,
177,,Surface,3,Image 1,1,150,
431,,Surface,3,Image 1,1,151,
272,,Surface,3,Image 1,1,152,
312,,Surface,3,Image 1,1,153,
580,,Surface,3,Image 1,1,154,
400,,Surface,3,Image 1,1,155,
263,,Surface,3,Image 1,1,156,
265,,Surface,3,Image 1,1,157,
414,,Surface,3,Image 1,1,158,
669,,Surface,3,Image 1,1,159,
410,,Surface,3,Image 1,1,160,
357,,Surface,3,Image 1,1,161,
402,,Surface,3,Image 1,1,162,
383,,Surface,3,Image 1,1,163,
398,,Surface,3,Image 1,1,164,
338,,Surface,3,Image 1,1,165,
232,,Surface,3,Image 1,1,166,
365,,Surface,3,Image 1,1,167,
266,,Surface,3,Image 1,1,168,
519,,Surface,3,Image 1,1,169,
315,,Surface,3,Image 1,1,170,
368,,Surface,3,Image 1,1,171,
307,,Surface,3,Image 1,1,172,
209,,Surface,3,Image 1,1,173,
263,,Surface,3,Image 1,1,174,
296,,Surface,3,Image 1,1,175,
243,,Surface,3,Image 1,1,176,
259,,Surface,3,Image 1,1,177,
286,,Surface,3,Image 1,1,178,
450,,Surface,3,Image 1,1,179,
307,,Surface,3,Image 1,1,180,
245,,Surface,3,Image 1,1,181,
261,,Surface,3,Image 1,1,182,
189,,Surface,3,Image 1,1,183,
201,,Surface,3,Image 1,1,184,
554,,Surface,3,Image 1,1,185,
202,,Surface,3,Image 1,1,186,
411,,Surface,3,Image 1,1,187,
307,,Surface,3,Image 1,1,188,
505,,Surface,3,Image 1,1,189,
758,,Surface,3,Image 1,1,190,
279,,Surface,3,Image 1,1,191,
285,,Surface,3,Image 1,1,192,
499,,Surface,3,Image 1,1,193,
286,,Surface,3,Image 1,1,194,
473,,Surface,3,Image 1,1,195,
944,,Surface,3,Image 1,1,196,
278,,Surface,3,Image 1,1,197,
323,,Surface,3,Image 1,1,198,
480,,Surface,3,Image 1,1,199,
451,,Surface,3,Image 1,1,200,
268,,Surface,3,Image 1,1,201,
545,,Surface,3,Image 1,1,202,
441,,Surface,3,Image 1,1,203,
659,,Surface,3,Image 1,1,204,
361,,Surface,3,Image 1,1,205,
327,,Surface,3,Image 1,1,206,
183,,Surface,3,Image 1,1,207,
353,,Surface,3,Image 1,1,208,
436,,Surface,3,Image 1,1,209,
622,,Surface,3,Image 1,1,210,
339,,Surface,3,Image 1,1,211,
326,,Surface,3,Image 1,1,212,
274,,Surface,3,Image 1,1,213,
376,,Surface,3,Image 1,1,214,
257,,Surface,3,Image 1,1,215,
441,,Surface,3,Image 1,1,216,
283,,Surface,3,Image 1,1,217,
235,,Surface,3,Image 1,1,218,
227,,Surface,3,Image 1,1,219,
458,,Surface,3,Image 1,1,220,
577,,Surface,3,Image 1,1,221,
327,,Surface,3,Image 1,1,222,
528,,Surface,3,Image 1,1,223,
300,,Surface,3,Image 1,1,224,
254,,Surface,3,Image 1,1,225,
247,,Surface,3,Image 1,1,226,
302,,Surface,3,Image 1,1,227,
478,,Surface,3,Image 1,1,228,
307,,Surface,3,Image 1,1,229,
280,,Surface,3,Image 1,1,230,
348,,Surface,3,Image 1,1,231,
544,,Surface,3,Image 1,1,232,
273,,Surface,3,Image 1,1,233,
185,,Surface,3,Image 1,1,234,
308,,Surface,3,Image 1,1,235,
