
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
33.0103,,Surface,2,Image 1,1,0,
51.2344,,Surface,2,Image 1,1,1,
38.1811,,Surface,2,Image 1,1,2,
37.4502,,Surface,2,Image 1,1,3,
41.5022,,Surface,2,Image 1,1,4,
31.4805,,Surface,2,Image 1,1,5,
47.6936,,Surface,2,Image 1,1,6,
48.0025,,Surface,2,Image 1,1,7,
37.4756,,Surface,2,Image 1,1,8,
62.1195,,Surface,2,Image 1,1,9,
97.2984,,Surface,2,Image 1,1,10,
32.2123,,Surface,2,Image 1,1,11,
34.1192,,Surface,2,Image 1,1,12,
31.5248,,Surface,2,Image 1,1,13,
329.958,,Surface,2,Image 1,1,14,
221.084,,Surface,2,Image 1,1,15,
78.3247,,Surface,2,Image 1,1,16,
42.5146,,Surface,2,Image 1,1,17,
36.1145,,Surface,2,Image 1,1,18,
46.0925,,Surface,2,Image 1,1,19,
41.9039,,Surface,2,Image 1,1,20,
55.4874,,Surface,2,Image 1,1,21,
40.1684,,Surface,2,Image 1,1,22,
51.4718,,Surface,2,Image 1,1,23,
40.1508,,Surface,2,Image 1,1,24,
33.4866,,Surface,2,Image 1,1,25,
32.6999,,Surface,2,Image 1,1,26,
47.5961,,Surface,2,Image 1,1,27,
49.9873,,Surface,2,Image 1,1,28,
98.6613,,Surface,2,Image 1,1,29,
35.3336,,Surface,2,Image 1,1,30,
42.0942,,Surface,2,Image 1,1,31,
39.3857,,Surface,2,Image 1,1,32,
33.2629,,Surface,2,Image 1,1,33,
151.356,,Surface,2,Image 1,1,34,
33.1289,,Surface,2,Image 1,1,35,
37.4076,,Surface,2,Image 1,1,36,
32.2426,,Surface,2,Image 1,1,37,
36.1522,,Surface,2,Image 1,1,38,
32.2197,,Surface,2,Image 1,1,39,
32.4273,,Surface,2,Image 1,1,40,
38.9648,,Surface,2,Image 1,1,41,
32.1145,,Surface,2,Image 1,1,42,
33.6535,,Surface,2,Image 1,1,43,
32.1126,,Surface,2,Image 1,1,44,
100.18,,Surface,2,Image 1,1,45,
118.537,,Surface,2,Image 1,1,46,
71.5558,,Surface,2,Image 1,1,47,
83.0378,,Surface,2,Image 1,1,48,
358.728,,Surface,2,Image 1,1,49,
60.0035,,Surface,2,Image 1,1,50,
74.4164,,Surface,2,Image 1,1,51,
90.4791,,Surface,2,Image 1,1,52,
87.8912,,Surface,2,Image 1,1,53,
70.1911,,Surface,2,Image 1,1,54,
134.353,,Surface,2,Image 1,1,55,
134.598,,Surface,2,Image 1,1,56,
73.4776,,Surface,2,Image 1,1,57,
77.4708,,Surface,2,Image 1,1,58,
269.201,,Surface,2,Image 1,1,59,
38.1967,,Surface,2,Image 1,1,60,
45.2012,,Surface,2,Image 1,1,61,
47.9222,,Surface,2,Image 1,1,62,
66.061,,Surface,2,Image 1,1,63,
46.8532,,Surface,2,Image 1,1,64,
41.8898,,Surface,2,Image 1,1,65,
49.6215,,Surface,2,Image 1,1,66,
81.8497,,Surface,2,Image 1,1,67,
69.0056,,Surface,2,Image 1,1,68,
43.6781,,Surface,2,Image 1,1,69,
44.9068,,Surface,2,Image 1,1,70,
65.7795,,Surface,2,Image 1,1,71,
84.8631,,Surface,2,Image 1,1,72,
302.645,,Surface,2,Image 1,1,73,
189.604,,Surface,2,Image 1,1,74,
49.872,,Surface,2,Image 1,1,75,
35.5353,,Surface,2,Image 1,1,76,
41.9095,,Surface,2,Image 1,1,77,
32.0019,,Surface,2,Image 1,1,78,
40.9697,,Surface,2,Image 1,1,79,
37.4276,,Surface,2,Image 1,1,80,
36.4267,,Surface,2,Image 1,1,81,
34.2911,,Surface,2,Image 1,1,82,
35.2234,,Surface,2,Image 1,1,83,
37.3632,,Surface,2,Image 1,1,84,
33.838,,Surface,2,Image 1,1,85,
35.3653,,Surface,2,Image 1,1,86,
36.9813,,Surface,2,Image 1,1,87,
36.1501,,Surface,2,Image 1,1,88,
40.4649,,Surface,2,Image 1,1,89,
62.0683,,Surface,2,Image 1,1,90,
75.0069,,Surface,2,Image 1,1,91,
193.107,,Surface,2,Image 1,1,92,
80.5901,,Surface,2,Image 1,1,93,
81.145,,Surface,2,Image 1,1,94,
85.4167,,Surface,2,Image 1,1,95,
175.691,,Surface,2,Image 1,1,96,
69.8228,,Surface,2,Image 1,1,97,
38.9237,,Surface,2,Image 1,1,98,
47.576,,Surface,2,Image 1,1,99,
62.1475,,Surface,2,Image 1,1,100,
42.0211,,Surface,2,Image 1,1,101,
67.2831,,Surface,2,Image 1,1,102,
72.2023,,Surface,2,Image 1,1,103,
41.4056,,Surface,2,Image 1,1,104,
