
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
20.0563,,Surface,5,Image 1,1,0,
18.6645,,Surface,5,Image 1,1,1,
18.3413,,Surface,5,Image 1,1,2,
17.7988,,Surface,5,Image 1,1,3,
18.3621,,Surface,5,Image 1,1,4,
19.2698,,Surface,5,Image 1,1,5,
19.021,,Surface,5,Image 1,1,6,
20.7948,,Surface,5,Image 1,1,7,
17.2691,,Surface,5,Image 1,1,8,
20.9379,,Surface,5,Image 1,1,9,
20.2417,,Surface,5,Image 1,1,10,
18.201,,Surface,5,Image 1,1,11,
23.177,,Surface,5,Image 1,1,12,
22.7247,,Surface,5,Image 1,1,13,
20.8745,,Surface,5,Image 1,1,14,
19.2577,,Surface,5,Image 1,1,15,
20.0289,,Surface,5,Image 1,1,16,
20.8294,,Surface,5,Image 1,1,17,
21.5876,,Surface,5,Image 1,1,18,
21.2454,,Surface,5,Image 1,1,19,
23.9186,,Surface,5,Image 1,1,20,
22.3353,,Surface,5,Image 1,1,21,
22.9765,,Surface,5,Image 1,1,22,
20.9728,,Surface,5,Image 1,1,23,
20.2186,,Surface,5,Image 1,1,24,
19.4985,,Surface,5,Image 1,1,25,
18.7113,,Surface,5,Image 1,1,26,
19.2356,,Surface,5,Image 1,1,27,
20.9217,,Surface,5,Image 1,1,28,
20.5968,,Surface,5,Image 1,1,29,
22.5998,,Surface,5,Image 1,1,30,
19.8042,,Surface,5,Image 1,1,31,
17.8769,,Surface,5,Image 1,1,32,
17.4889,,Surface,5,Image 1,1,33,
20.5598,,Surface,5,Image 1,1,34,
20.8749,,Surface,5,Image 1,1,35,
21.1005,,Surface,5,Image 1,1,36,
19.2947,,Surface,5,Image 1,1,37,
20.025,,Surface,5,Image 1,1,38,
22.905,,Surface,5,Image 1,1,39,
20.3084,,Surface,5,Image 1,1,40,
36.208,,Surface,5,Image 1,1,41,
26.2977,,Surface,5,Image 1,1,42,
23.3935,,Surface,5,Image 1,1,43,
21.0076,,Surface,5,Image 1,1,44,
17.9421,,Surface,5,Image 1,1,45,
20.747,,Surface,5,Image 1,1,46,
27.785,,Surface,5,Image 1,1,47,
26.5476,,Surface,5,Image 1,1,48,
21.8879,,Surface,5,Image 1,1,49,
29.3759,,Surface,5,Image 1,1,50,
22.1072,,Surface,5,Image 1,1,51,
25.3057,,Surface,5,Image 1,1,52,
24.0341,,Surface,5,Image 1,1,53,
20.2403,,Surface,5,Image 1,1,54,
26.2765,,Surface,5,Image 1,1,55,
23.3399,,Surface,5,Image 1,1,56,
27.751,,Surface,5,Image 1,1,57,
21.2806,,Surface,5,Image 1,1,58,
30.3165,,Surface,5,Image 1,1,59,
26.8518,,Surface,5,Image 1,1,60,
25.1057,,Surface,5,Image 1,1,61,
22.7454,,Surface,5,Image 1,1,62,
26.8633,,Surface,5,Image 1,1,63,
24.1957,,Surface,5,Image 1,1,64,
23.0652,,Surface,5,Image 1,1,65,
24.1628,,Surface,5,Image 1,1,66,
27.168,,Surface,5,Image 1,1,67,
21.9941,,Surface,5,Image 1,1,68,
22.7138,,Surface,5,Image 1,1,69,
23.3453,,Surface,5,Image 1,1,70,
22.5902,,Surface,5,Image 1,1,71,
22.1946,,Surface,5,Image 1,1,72,
24.2374,,Surface,5,Image 1,1,73,
22.3001,,Surface,5,Image 1,1,74,
21.8235,,Surface,5,Image 1,1,75,
21.9707,,Surface,5,Image 1,1,76,
22.211,,Surface,5,Image 1,1,77,
21.938,,Surface,5,Image 1,1,78,
21.6438,,Surface,5,Image 1,1,79,
28.5954,,Surface,5,Image 1,1,80,
28.9748,,Surface,5,Image 1,1,81,
26.0087,,Surface,5,Image 1,1,82,
38.6558,,Surface,5,Image 1,1,83,
22.8944,,Surface,5,Image 1,1,84,
24.4065,,Surface,5,Image 1,1,85,
25.4109,,Surface,5,Image 1,1,86,
24.8627,,Surface,5,Image 1,1,87,
24.0102,,Surface,5,Image 1,1,88,
21.4832,,Surface,5,Image 1,1,89,
22.3554,,Surface,5,Image 1,1,90,
24.4879,,Surface,5,Image 1,1,91,
22.7491,,Surface,5,Image 1,1,92,
22.8663,,Surface,5,Image 1,1,93,
19.9573,,Surface,5,Image 1,1,94,
22.501,,Surface,5,Image 1,1,95,
23.2761,,Surface,5,Image 1,1,96,
22.4191,,Surface,5,Image 1,1,97,
22.4307,,Surface,5,Image 1,1,98,
21.0822,,Surface,5,Image 1,1,99,
20.6024,,Surface,5,Image 1,1,100,
20.0392,,Surface,5,Image 1,1,101,
21.1125,,Surface,5,Image 1,1,102,
20.0345,,Surface,5,Image 1,1,103,
24.9009,,Surface,5,Image 1,1,104,
21.5458,,Surface,5,Image 1,1,105,
22.5301,,Surface,5,Image 1,1,106,
20.1477,,Surface,5,Image 1,1,107,
21.7009,,Surface,5,Image 1,1,108,
20.4532,,Surface,5,Image 1,1,109,
21.0044,,Surface,5,Image 1,1,110,
19.0611,,Surface,5,Image 1,1,111,
19.5541,,Surface,5,Image 1,1,112,
27.8794,,Surface,5,Image 1,1,113,
26.8698,,Surface,5,Image 1,1,114,
29.155,,Surface,5,Image 1,1,115,
26.6034,,Surface,5,Image 1,1,116,
27.0535,,Surface,5,Image 1,1,117,
25.7197,,Surface,5,Image 1,1,118,
24.8055,,Surface,5,Image 1,1,119,
25.0784,,Surface,5,Image 1,1,120,
26.1704,,Surface,5,Image 1,1,121,
23.9375,,Surface,5,Image 1,1,122,
23.9647,,Surface,5,Image 1,1,123,
24.5315,,Surface,5,Image 1,1,124,
24.3071,,Surface,5,Image 1,1,125,
24.0058,,Surface,5,Image 1,1,126,
24.1834,,Surface,5,Image 1,1,127,
25.8753,,Surface,5,Image 1,1,128,
33.8838,,Surface,5,Image 1,1,130,
30.2801,,Surface,5,Image 1,1,131,
29.1081,,Surface,5,Image 1,1,132,
26.5858,,Surface,5,Image 1,1,133,
26.9421,,Surface,5,Image 1,1,134,
25.6656,,Surface,5,Image 1,1,135,
25.4426,,Surface,5,Image 1,1,136,
28.7864,,Surface,5,Image 1,1,137,
25.1322,,Surface,5,Image 1,1,138,
23.1009,,Surface,5,Image 1,1,139,
24.3471,,Surface,5,Image 1,1,140,
24.7553,,Surface,5,Image 1,1,141,
24.0392,,Surface,5,Image 1,1,142,
24.0618,,Surface,5,Image 1,1,143,
22.9448,,Surface,5,Image 1,1,144,
37.3436,,Surface,5,Image 1,1,145,
