
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
57.9112,,Surface,3,Image 1,1,0,
65.5004,,Surface,3,Image 1,1,1,
75.5617,,Surface,3,Image 1,1,2,
64.7805,,Surface,3,Image 1,1,3,
59.8933,,Surface,3,Image 1,1,4,
77.6207,,Surface,3,Image 1,1,5,
70.0489,,Surface,3,Image 1,1,6,
64.3692,,Surface,3,Image 1,1,7,
68.4218,,Surface,3,Image 1,1,8,
64.4843,,Surface,3,Image 1,1,9,
59.9491,,Surface,3,Image 1,1,10,
93.07,,Surface,3,Image 1,1,11,
110.46,,Surface,3,Image 1,1,12,
61.3921,,Surface,3,Image 1,1,13,
65.2571,,Surface,3,Image 1,1,14,
75.4635,,Surface,3,Image 1,1,15,
73.5353,,Surface,3,Image 1,1,16,
75.4865,,Surface,3,Image 1,1,17,
83.5501,,Surface,3,Image 1,1,18,
63.8636,,Surface,3,Image 1,1,19,
62.4424,,Surface,3,Image 1,1,20,
145.872,,Surface,3,Image 1,1,21,
78.0791,,Surface,3,Image 1,1,22,
62.4991,,Surface,3,Image 1,1,23,
63.3004,,Surface,3,Image 1,1,24,
68.4426,,Surface,3,Image 1,1,25,
99.4046,,Surface,3,Image 1,1,26,
114.473,,Surface,3,Image 1,1,27,
106.428,,Surface,3,Image 1,1,28,
87.3705,,Surface,3,Image 1,1,29,
84.0938,,Surface,3,Image 1,1,30,
63.007,,Surface,3,Image 1,1,31,
62.1821,,Surface,3,Image 1,1,32,
85.36,,Surface,3,Image 1,1,33,
84.4853,,Surface,3,Image 1,1,34,
117.399,,Surface,3,Image 1,1,35,
87.2373,,Surface,3,Image 1,1,36,
78.7247,,Surface,3,Image 1,1,37,
67.458,,Surface,3,Image 1,1,38,
61.5615,,Surface,3,Image 1,1,39,
72.5997,,Surface,3,Image 1,1,40,
62.7464,,Surface,3,Image 1,1,41,
83.2864,,Surface,3,Image 1,1,42,
80.9729,,Surface,3,Image 1,1,43,
83.6725,,Surface,3,Image 1,1,44,
68.4365,,Surface,3,Image 1,1,45,
69.4585,,Surface,3,Image 1,1,46,
96.6395,,Surface,3,Image 1,1,47,
67.4911,,Surface,3,Image 1,1,48,
120.156,,Surface,3,Image 1,1,49,
104.506,,Surface,3,Image 1,1,50,
110.409,,Surface,3,Image 1,1,51,
127.442,,Surface,3,Image 1,1,52,
86.4391,,Surface,3,Image 1,1,53,
132.469,,Surface,3,Image 1,1,54,
110.828,,Surface,3,Image 1,1,55,
96.7461,,Surface,3,Image 1,1,56,
105.476,,Surface,3,Image 1,1,57,
91.9723,,Surface,3,Image 1,1,58,
108.96,,Surface,3,Image 1,1,59,
111.779,,Surface,3,Image 1,1,60,
107.835,,Surface,3,Image 1,1,61,
146.324,,Surface,3,Image 1,1,62,
111.413,,Surface,3,Image 1,1,63,
63.1017,,Surface,3,Image 1,1,64,
109.245,,Surface,3,Image 1,1,65,
138.505,,Surface,3,Image 1,1,66,
112.865,,Surface,3,Image 1,1,67,
110.481,,Surface,3,Image 1,1,68,
66.9726,,Surface,3,Image 1,1,69,
123.209,,Surface,3,Image 1,1,70,
99.8073,,Surface,3,Image 1,1,71,
121.587,,Surface,3,Image 1,1,72,
75.7201,,Surface,3,Image 1,1,73,
95.8036,,Surface,3,Image 1,1,74,
83.7174,,Surface,3,Image 1,1,75,
135.87,,Surface,3,Image 1,1,76,
75.2302,,Surface,3,Image 1,1,77,
97.9342,,Surface,3,Image 1,1,78,
87.7195,,Surface,3,Image 1,1,79,
63.8375,,Surface,3,Image 1,1,80,
83.3097,,Surface,3,Image 1,1,81,
129.162,,Surface,3,Image 1,1,82,
60.6215,,Surface,3,Image 1,1,83,
99.6309,,Surface,3,Image 1,1,84,
141.438,,Surface,3,Image 1,1,85,
134.161,,Surface,3,Image 1,1,86,
168.973,,Surface,3,Image 1,1,87,
57.744,,Surface,3,Image 1,1,88,
96.8003,,Surface,3,Image 1,1,89,
108.678,,Surface,3,Image 1,1,90,
141.335,,Surface,3,Image 1,1,91,
90.1339,,Surface,3,Image 1,1,92,
96.8629,,Surface,3,Image 1,1,93,
100.313,,Surface,3,Image 1,1,94,
171.479,,Surface,3,Image 1,1,95,
67.909,,Surface,3,Image 1,1,96,
57.1782,,Surface,3,Image 1,1,97,
65.983,,Surface,3,Image 1,1,98,
111.434,,Surface,3,Image 1,1,99,
112.363,,Surface,3,Image 1,1,100,
82.0164,,Surface,3,Image 1,1,101,
80.8387,,Surface,3,Image 1,1,102,
93.0211,,Surface,3,Image 1,1,103,
79.2616,,Surface,3,Image 1,1,104,
87.7183,,Surface,3,Image 1,1,105,
118.277,,Surface,3,Image 1,1,106,
95.2618,,Surface,3,Image 1,1,107,
88.0976,,Surface,3,Image 1,1,108,
77.4935,,Surface,3,Image 1,1,109,
57.8947,,Surface,3,Image 1,1,110,
59.619,,Surface,3,Image 1,1,111,
79.7684,,Surface,3,Image 1,1,112,
60.7623,,Surface,3,Image 1,1,113,
65.854,,Surface,3,Image 1,1,114,
68.8553,,Surface,3,Image 1,1,115,
63.8158,,Surface,3,Image 1,1,116,
66.4871,,Surface,3,Image 1,1,117,
74.6091,,Surface,3,Image 1,1,118,
68.789,,Surface,3,Image 1,1,119,
90.724,,Surface,3,Image 1,1,120,
80.6775,,Surface,3,Image 1,1,121,
80.5497,,Surface,3,Image 1,1,122,
85.9425,,Surface,3,Image 1,1,123,
68.3558,,Surface,3,Image 1,1,124,
67.5854,,Surface,3,Image 1,1,125,
58.4353,,Surface,3,Image 1,1,126,
